[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130618_MEC_M_059_C_32282_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:23:13

[MS Spectrum]
# of Peaks	174
Raw Spectrum	[0.942->3.175],(scan:[114->382])
Background	No Background Spectrum
Base Peak	m/z 104.22 (Inten : 378,360)
m/z	Absolute Intensity	Relative Intensity
85.1360	19169	5.07
87.1688	28809	7.61
93.2198	34543	9.13
104.2220	378360	100.00
105.2310	24173	6.39
122.2062	21301	5.63
127.2206	19294	5.10
132.1194	25861	6.84
136.2229	22788	6.02
137.1057	19049	5.03
146.2544	65344	17.27
147.2114	36673	9.69
148.1053	20708	5.47
151.1023	22133	5.85
154.0614	23747	6.28
156.0746	36814	9.73
157.1166	19468	5.15
159.0346	25828	6.83
162.1328	55726	14.73
164.0003	44435	11.74
166.0747	30803	8.14
169.0878	22378	5.91
170.0437	51483	13.61
173.0683	27848	7.36
175.0710	142715	37.72
177.0203	24102	6.37
183.0857	20037	5.30
185.0833	37797	9.99
188.1644	30986	8.19
193.1004	21518	5.69
194.0865	19840	5.24
199.0832	21799	5.76
200.1051	22847	6.04
201.0776	19598	5.18
201.9322	21425	5.66
203.2183	129412	34.20
204.0973	73514	19.43
207.0809	19449	5.14
213.0504	22220	5.87
219.0300	27517	7.27
221.1252	30370	8.03
239.1485	20722	5.48
245.1664	21444	5.67
255.0978	31501	8.33
261.0440	23950	6.33
271.1621	85572	22.62
287.1584	163618	43.24
288.2424	26836	7.09
289.1137	19659	5.20
307.0033	48512	12.82
309.0903	20299	5.36
311.0565	30909	8.17
317.0699	24652	6.52
325.1766	27514	7.27
327.1206	26933	7.12
341.2124	25579	6.76
355.1956	23326	6.17
357.1289	23183	6.13
369.2567	34009	8.99
371.2073	57344	15.16
385.2356	71993	19.03
386.2969	19797	5.23
399.2346	36818	9.73
400.2375	20183	5.33
401.2351	22168	5.86
409.0933	22144	5.85
413.2934	30962	8.18
415.2356	50611	13.38
424.2611	45636	12.06
425.1764	41506	10.97
426.2691	22589	5.97
429.2614	91444	24.17
430.2968	26613	7.03
431.2804	19558	5.17
443.2073	21680	5.73
457.3125	26071	6.89
459.2956	33147	8.76
473.3642	25527	6.75
483.0476	25091	6.63
508.7418	21582	5.70
529.3254	22465	5.94
534.2804	25349	6.70
557.1652	20710	5.47
560.2994	20012	5.29
599.7741	19834	5.24
611.5969	19518	5.16
615.4437	25349	6.70
627.1503	20840	5.51
629.1570	23614	6.24
645.0836	20266	5.36
655.7687	19532	5.16
659.1419	23510	6.21
667.4431	18927	5.00
671.3033	21325	5.64
675.2788	32632	8.62
701.3790	19617	5.18
703.5092	20142	5.32
705.1266	25917	6.85
725.5296	19474	5.15
737.2527	22220	5.87
741.5198	38470	10.17
742.5722	24619	6.51
744.5179	23334	6.17
754.5229	31575	8.35
756.4968	33919	8.96
758.5498	28412	7.51
760.5500	29985	7.92
766.4773	19453	5.14
768.4994	28536	7.54
770.5122	58307	15.41
771.4958	25004	6.61
772.5000	49710	13.14
773.5578	24825	6.56
780.5555	51315	13.56
781.5066	31267	8.26
782.5276	95587	25.26
783.5325	46250	12.22
784.5459	53935	14.25
785.5772	19141	5.06
786.5449	28904	7.64
788.5369	19974	5.28
794.5134	24036	6.35
796.5358	85096	22.49
797.5115	41095	10.86
798.5325	135665	35.86
799.5442	66579	17.60
800.5427	34646	9.16
804.5052	28339	7.49
806.5029	35040	9.26
808.5511	44328	11.72
809.5438	24432	6.46
810.5457	32415	8.57
812.5273	19028	5.03
820.5313	38313	10.13
821.4984	19046	5.03
822.5108	46891	12.39
823.5105	21550	5.70
824.5598	72845	19.25
825.5645	42456	11.22
826.5633	37638	9.95
827.5773	19675	5.20
830.4999	19388	5.12
832.5101	23378	6.18
844.4807	20682	5.47
846.5117	26531	7.01
848.5355	26776	7.08
941.6387	24238	6.41
957.9471	20094	5.31
978.3522	20300	5.37
1030.1684	21870	5.78
1036.4515	19011	5.02
1054.5598	19543	5.17
1068.2996	20689	5.47
1073.2719	21338	5.64
1078.6310	19307	5.10
1080.6117	19558	5.17
1089.3954	20233	5.35
1112.3798	19062	5.04
1117.2883	22771	6.02
1136.6194	19983	5.28
1139.3054	19015	5.03
1147.6489	20194	5.34
1161.3856	20852	5.51
1168.5444	22614	5.98
1178.8564	23742	6.27
1184.1608	20121	5.32
1267.4260	20452	5.41
1338.1536	20857	5.51
1372.6881	26026	6.88
1379.3031	23524	6.22
1394.8618	20104	5.31
1398.9723	20761	5.49
1422.3938	22776	6.02
1470.7585	21254	5.62

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	9785	0.7886
10.3982	9709	0.7825
10.4982	9576	0.7717
10.5982	9481	0.7641
10.6982	9500	0.7656
10.7982	9652	0.7779
10.8982	9899	0.7978
10.9982	10165	0.8192
11.0982	10298	0.8299
11.1982	10279	0.8284
11.2982	10089	0.8131
11.3982	9861	0.7947
11.4982	9690	0.7809
11.5982	9747	0.7855
11.6982	10089	0.8131
11.7982	10602	0.8544
11.8982	11020	0.8881
11.9982	11115	0.8958
12.0982	10887	0.8774
12.1982	10469	0.8437
12.2982	10127	0.8161
12.3982	10051	0.8100
12.4982	10203	0.8223
12.5982	10412	0.8391
12.6982	10469	0.8437
12.7982	10355	0.8345
12.8982	10108	0.8146
12.9982	9804	0.7901
13.0982	9576	0.7717
13.1982	9443	0.7610
13.2982	9367	0.7549
13.3982	9329	0.7518
13.4982	9367	0.7549
13.5982	9538	0.7687
13.6982	9766	0.7871
13.7982	9899	0.7978
13.8982	9937	0.8008
13.9982	9975	0.8039
14.0982	10032	0.8085
14.1982	10203	0.8223
14.2982	10526	0.8483
14.3982	10982	0.8851
14.4982	11343	0.9141
14.5982	11495	0.9264
14.6982	11609	0.9356
14.7982	11951	0.9631
14.8982	12464	1.0045
14.9982	12958	1.0443
15.0982	13186	1.0627
15.1982	13072	1.0535
15.2982	12578	1.0137
15.3982	11875	0.9570
15.4982	11210	0.9034
15.5982	10792	0.8697
15.6982	10545	0.8498
15.7982	10260	0.8269
15.8982	9994	0.8054
15.9982	9842	0.7932
16.0982	9842	0.7932
16.1982	9899	0.7978
16.2982	9937	0.8008
16.3982	9937	0.8008
16.4982	9899	0.7978
16.5982	9956	0.8024
16.6982	10165	0.8192
16.7982	10526	0.8483
16.8982	10830	0.8728
16.9982	10944	0.8820
17.0982	10868	0.8759
17.1982	10678	0.8606
17.2982	10431	0.8406
17.3982	10203	0.8223
17.4982	9994	0.8054
17.5982	9842	0.7932
17.6982	9709	0.7825
17.7982	9690	0.7809
17.8982	9785	0.7886
17.9982	9994	0.8054
18.0982	10222	0.8238
18.1982	10374	0.8361
18.2982	10412	0.8391
18.3982	10412	0.8391
18.4982	10450	0.8422
18.5982	10469	0.8437
18.6982	10450	0.8422
18.7982	10393	0.8376
18.8982	10241	0.8253
18.9982	10013	0.8070
19.0982	9747	0.7855
19.1982	9538	0.7687
19.2982	9424	0.7595
19.3982	9367	0.7549
19.4982	9348	0.7534
19.5982	9367	0.7549
19.6982	9386	0.7564
19.7982	9405	0.7580
19.8982	9443	0.7610
19.9982	9500	0.7656
20.0982	9595	0.7733
20.1982	9785	0.7886
20.2982	10032	0.8085
20.3982	10222	0.8238
20.4982	10298	0.8299
20.5982	10260	0.8269
20.6982	10127	0.8161
20.7982	9937	0.8008
20.8982	9728	0.7840
20.9982	9557	0.7702
21.0982	9481	0.7641
21.1982	9424	0.7595
21.2982	9386	0.7564
21.3982	9367	0.7549
21.4982	9367	0.7549
21.5982	9367	0.7549
21.6982	9348	0.7534
21.7982	9329	0.7518
