[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_M_054_C_32208_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:11:40

[MS Spectrum]
# of Peaks	402
Raw Spectrum	[1.033->2.150],(scan:[125->259])
Background	No Background Spectrum
Base Peak	m/z 798.52 (Inten : 248,089)
m/z	Absolute Intensity	Relative Intensity
69.2033	13053	5.26
87.1712	18680	7.53
104.2217	236118	95.17
105.2367	14609	5.89
129.1325	12589	5.07
132.1444	13310	5.37
137.0834	13144	5.30
146.2367	36833	14.85
147.2121	16498	6.65
151.0301	16301	6.57
154.0776	22180	8.94
156.0748	17294	6.97
157.0892	18679	7.53
159.0208	24790	9.99
162.1302	41769	16.84
163.9992	20241	8.16
166.0390	12913	5.20
167.0186	17092	6.89
170.0397	36576	14.74
173.0378	19637	7.92
175.0510	115485	46.55
177.0213	22387	9.02
183.0917	15600	6.29
185.1201	23028	9.28
188.1842	48747	19.65
193.0679	13439	5.42
200.1572	22270	8.98
201.1376	13437	5.42
203.2079	81053	32.67
204.0994	45635	18.39
207.0909	14009	5.65
213.0629	16570	6.68
217.1572	17399	7.01
219.0164	35044	14.13
221.0602	19443	7.84
223.1005	14747	5.94
230.2447	125925	50.76
231.2830	25433	10.25
232.1855	13940	5.62
233.0753	20875	8.41
239.1448	22567	9.10
245.1504	29907	12.05
255.0866	22348	9.01
257.1047	13916	5.61
258.1606	20651	8.32
261.0351	27368	11.03
263.0361	14908	6.01
266.1682	14898	6.01
271.1617	75122	30.28
272.2193	15139	6.10
280.0620	33090	13.34
282.1521	15317	6.17
287.1336	89405	36.04
288.2125	20930	8.44
289.1379	13779	5.55
291.1323	14429	5.82
293.0901	13523	5.45
296.0478	86119	34.71
297.1693	27230	10.98
298.1176	16412	6.62
301.0995	14284	5.76
306.9980	62477	25.18
309.1033	23783	9.59
310.2185	48349	19.49
311.1237	40597	16.36
312.2065	15601	6.29
313.1650	25862	10.42
314.2647	13192	5.32
317.0734	23405	9.43
325.1929	25941	10.46
326.1869	54612	22.01
327.1693	35691	14.39
328.3179	23578	9.50
341.2379	42690	17.21
354.2183	53773	21.67
355.1915	41227	16.62
357.1790	41039	16.54
358.2184	12822	5.17
360.2785	28575	11.52
361.2444	14504	5.85
368.1096	13234	5.33
369.2064	30045	12.11
370.2053	74423	30.00
371.1921	62770	25.30
372.3177	47398	19.11
373.3286	16662	6.72
376.3170	37442	15.09
377.2906	14795	5.96
385.2004	68250	27.51
386.3052	17014	6.86
395.1630	12923	5.21
398.2631	31380	12.65
399.2209	49873	20.10
400.2205	22952	9.25
401.1781	59934	24.16
402.2652	14884	6.00
403.1976	13583	5.48
408.2526	27741	11.18
409.1823	27008	10.89
413.2954	40343	16.26
414.2422	36241	14.61
415.2248	58173	23.45
416.2904	17110	6.90
417.2854	12959	5.22
424.2431	57115	23.02
425.1076	94190	37.97
426.2471	34284	13.82
427.2262	19808	7.98
429.2561	74822	30.16
430.3058	22740	9.17
431.2754	17912	7.22
441.2649	17036	6.87
443.1939	28359	11.43
445.2485	27484	11.08
457.2929	22143	8.93
458.2120	12445	5.02
459.4194	111350	44.88
460.5042	38715	15.61
461.4697	13202	5.32
469.2947	14601	5.89
473.3172	36829	14.85
474.3229	13068	5.27
475.2671	13774	5.55
476.3264	13902	5.60
483.2726	15932	6.42
485.2607	16913	6.82
487.3956	23828	9.60
489.2908	24402	9.84
490.3245	12863	5.18
496.3379	24411	9.84
497.3475	14272	5.75
501.2505	15653	6.31
503.2318	33850	13.64
504.3043	22854	9.21
509.3283	13454	5.42
513.3715	14048	5.66
515.4238	19699	7.94
517.2615	28518	11.50
518.3176	68990	27.81
519.3116	26259	10.58
520.3060	24205	9.76
522.3092	12750	5.14
524.3505	13943	5.62
527.2786	16489	6.65
529.3248	13772	5.55
531.2617	16766	6.76
532.2769	14594	5.88
533.1990	22311	8.99
534.3071	98944	39.88
535.3347	33988	13.70
536.4014	23201	9.35
542.2622	19210	7.74
544.2978	34901	14.07
545.3389	17444	7.03
546.3270	29959	12.08
547.3065	32765	13.21
548.3736	16913	6.82
552.3820	12880	5.19
557.2928	20143	8.12
558.3221	25527	10.29
560.3477	43045	17.35
561.3507	28918	11.66
562.3627	46215	18.63
563.3926	17295	6.97
567.4644	14793	5.96
571.4537	14205	5.73
575.3071	13135	5.29
577.3643	16810	6.78
585.4245	14011	5.65
591.3232	15290	6.16
601.5455	16091	6.49
605.3940	18964	7.64
611.3298	12825	5.17
613.5133	16467	6.64
615.4880	16927	6.82
617.4607	13448	5.42
621.3821	15003	6.05
631.3832	12711	5.12
633.4052	13290	5.36
635.3071	13609	5.49
649.1647	21816	8.79
655.3901	12785	5.15
657.5059	13188	5.32
659.3839	18019	7.26
661.4745	13741	5.54
665.3442	13694	5.52
671.4363	12801	5.16
675.2581	26462	10.67
677.3881	15501	6.25
680.9464	15225	6.14
685.4825	14745	5.94
693.3658	18206	7.34
697.4679	12523	5.05
701.4082	22270	8.98
702.4578	12951	5.22
703.5391	31172	12.56
704.5435	16856	6.79
705.5289	23263	9.38
706.5691	14984	6.04
715.4897	13091	5.28
716.5292	12722	5.13
721.4278	19215	7.75
722.4520	12447	5.02
723.4431	20203	8.14
725.5455	47976	19.34
726.5606	26157	10.54
727.5474	21153	8.53
728.5185	23739	9.57
729.5706	15703	6.33
732.5104	21699	8.75
733.5396	12659	5.10
734.5509	14729	5.94
737.4107	20372	8.21
738.4980	17375	7.00
739.4990	19233	7.75
740.4795	18948	7.64
741.5567	61727	24.88
742.5362	38120	15.37
743.5120	39094	15.76
744.5226	40691	16.40
745.5228	19964	8.05
746.5325	20288	8.18
747.5571	13112	5.29
749.4718	17770	7.16
750.4932	14127	5.69
752.4723	18557	7.48
753.4203	13822	5.57
754.5317	50760	20.46
755.5378	27718	11.17
756.5297	41989	16.92
757.5110	20396	8.22
758.5627	65332	26.33
759.5422	36783	14.83
760.5623	72643	29.28
761.5912	40596	16.36
762.6023	18008	7.26
763.5455	13637	5.50
764.5061	17726	7.15
765.5002	18845	7.60
766.5512	30754	12.40
767.5143	18931	7.63
768.5142	42947	17.31
770.5231	71879	28.97
771.5315	35364	14.25
772.5300	49390	19.91
773.5551	24928	10.05
774.5695	17733	7.15
775.5685	12901	5.20
