[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_M_080_C_32202_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:03:14

[MS Spectrum]
# of Peaks	157
Raw Spectrum	[3.292->5.050],(scan:[396->607])
Background	No Background Spectrum
Base Peak	m/z 798.55 (Inten : 244,004)
m/z	Absolute Intensity	Relative Intensity
104.2284	79231	32.47
132.1473	31458	12.89
146.2343	63928	26.20
147.2493	12594	5.16
154.0741	17667	7.24
162.1409	38144	15.63
163.9906	13882	5.69
170.0616	72775	29.83
175.0755	47523	19.48
200.1060	20273	8.31
203.2213	156110	63.98
204.1607	42786	17.53
271.1698	21409	8.77
287.1526	54232	22.23
307.0035	13504	5.53
371.2109	12746	5.22
385.2656	14391	5.90
429.2398	18448	7.56
534.3159	18079	7.41
560.4216	14608	5.99
562.3766	13078	5.36
576.5652	17409	7.13
589.2107	12758	5.23
623.9405	12486	5.12
633.1299	20082	8.23
638.2277	14557	5.97
641.7310	12613	5.17
650.7767	15300	6.27
656.0649	14759	6.05
659.4113	16155	6.62
668.0302	15030	6.16
673.8549	13526	5.54
677.0388	12809	5.25
682.5687	18903	7.75
685.9503	17284	7.08
687.5883	12810	5.25
688.5768	12278	5.03
691.1291	12895	5.28
695.1494	15501	6.35
700.0214	15012	6.15
703.6169	23996	9.83
704.5981	12811	5.25
711.3371	13297	5.45
725.6011	21410	8.77
726.5469	16454	6.74
732.5577	15210	6.23
737.2202	13902	5.70
739.4629	13413	5.50
741.5532	57939	23.75
742.5673	36270	14.86
743.5568	29151	11.95
744.5029	35553	14.57
745.5074	12723	5.21
754.5598	25062	10.27
755.5413	15235	6.24
756.5228	26805	10.99
757.5443	12729	5.22
758.5663	26930	11.04
759.5028	13780	5.65
760.5765	40276	16.51
761.6102	18585	7.62
766.5078	12387	5.08
768.5664	19293	7.91
770.5281	69145	28.34
771.5342	33134	13.58
772.5250	55594	22.78
773.5418	24320	9.97
774.5437	14282	5.85
780.5608	26954	11.05
781.5138	16256	6.66
782.5555	81023	33.21
783.5447	39844	16.33
784.5239	49332	20.22
785.5765	18337	7.52
786.5557	29923	12.26
787.5881	17286	7.08
788.5987	19945	8.17
794.5333	14962	6.13
796.5411	82760	33.92
797.4982	22119	9.07
798.5461	244004	100.00
799.5411	121205	49.67
800.5328	55994	22.95
801.5816	18127	7.43
804.4760	12323	5.05
806.5538	17413	7.14
808.5754	33223	13.62
809.5560	18068	7.40
810.5811	35900	14.71
811.5834	15296	6.27
812.5411	22660	9.29
813.6013	13955	5.72
814.5694	13145	5.39
820.5500	18717	7.67
822.5604	38536	15.79
823.5253	19086	7.82
824.5742	101440	41.57
825.5524	54180	22.20
826.5467	85090	34.87
827.6311	38388	15.73
828.5839	18896	7.74
846.5457	15696	6.43
848.5520	16897	6.92
850.5694	13032	5.34
851.6153	13446	5.51
852.5942	16963	6.95
853.6526	15226	6.24
869.6727	13481	5.52
871.6769	18959	7.77
872.6697	15015	6.15
895.6666	12723	5.21
897.7276	28759	11.79
898.7309	15643	6.41
899.7347	22684	9.30
923.7380	16168	6.63
925.7430	17310	7.09
927.7793	12994	5.33
941.1752	14163	5.80
955.4119	16087	6.59
968.3775	13033	5.34
984.3707	13881	5.69
999.2156	12869	5.27
1027.6439	13584	5.57
1037.4647	13949	5.72
1042.0131	13512	5.54
1054.7244	13722	5.62
1074.0790	16184	6.63
1082.0933	14611	5.99
1085.4231	12233	5.01
1088.9869	13409	5.50
1096.4775	13078	5.36
1101.4441	15924	6.53
1109.5581	14004	5.74
1116.5454	17523	7.18
1122.3877	12579	5.16
1124.4011	12374	5.07
1131.3824	13063	5.35
1135.4697	12235	5.01
1144.1295	13149	5.39
1165.3607	14759	6.05
1199.3472	12657	5.19
1244.5607	12351	5.06
1272.6033	13182	5.40
1277.1204	12340	5.06
1290.2086	12513	5.13
1317.0588	14337	5.88
1325.6096	15136	6.20
1344.1930	12669	5.19
1366.8390	12640	5.18
1374.9949	12461	5.11
1381.3009	13262	5.44
1391.8837	25677	10.52
1415.4517	15388	6.31
1422.6563	13021	5.34
1436.1670	15185	6.22
1457.3485	13748	5.63
1461.6569	12511	5.13

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	10026	1.4440
10.3982	9792	1.4103
10.4982	9522	1.3714
10.5982	9396	1.3532
10.6982	9450	1.3610
10.7982	9558	1.3766
10.8982	9630	1.3869
10.9982	9648	1.3895
11.0982	9594	1.3818
11.1982	9504	1.3688
11.2982	9414	1.3558
11.3982	9378	1.3507
11.4982	9396	1.3532
11.5982	9432	1.3584
11.6982	9468	1.3636
11.7982	9468	1.3636
11.8982	9432	1.3584
11.9982	9378	1.3507
12.0982	9324	1.3429
12.1982	9306	1.3403
12.2982	9288	1.3377
12.3982	9306	1.3403
12.4982	9306	1.3403
12.5982	9306	1.3403
12.6982	9324	1.3429
12.7982	9324	1.3429
12.8982	9324	1.3429
12.9982	9324	1.3429
13.0982	9396	1.3532
13.1982	9558	1.3766
13.2982	9756	1.4051
13.3982	9900	1.4258
13.4982	9936	1.4310
13.5982	9846	1.4181
13.6982	9666	1.3921
13.7982	9450	1.3610
13.8982	9324	1.3429
13.9982	9270	1.3351
14.0982	9270	1.3351
14.1982	9270	1.3351
14.2982	9252	1.3325
14.3982	9270	1.3351
14.4982	9288	1.3377
14.5982	9324	1.3429
14.6982	9342	1.3455
14.7982	9360	1.3481
14.8982	9360	1.3481
14.9982	9342	1.3455
15.0982	9306	1.3403
15.1982	9288	1.3377
15.2982	9288	1.3377
15.3982	9288	1.3377
15.4982	9324	1.3429
15.5982	9342	1.3455
15.6982	9360	1.3481
15.7982	9378	1.3507
15.8982	9378	1.3507
15.9982	9360	1.3481
16.0982	9378	1.3507
16.1982	9396	1.3532
16.2982	9414	1.3558
16.3982	9432	1.3584
16.4982	9432	1.3584
16.5982	9414	1.3558
16.6982	9414	1.3558
16.7982	9396	1.3532
16.8982	9378	1.3507
16.9982	9360	1.3481
17.0982	9468	1.3636
17.1982	9738	1.4025
17.2982	10098	1.4543
17.3982	10386	1.4958
17.4982	10512	1.5140
17.5982	10422	1.5010
17.6982	10134	1.4595
17.7982	9774	1.4077
17.8982	9504	1.3688
17.9982	9378	1.3507
18.0982	9378	1.3507
18.1982	9396	1.3532
18.2982	9414	1.3558
18.3982	9414	1.3558
18.4982	9432	1.3584
18.5982	9450	1.3610
18.6982	9450	1.3610
18.7982	9450	1.3610
18.8982	9432	1.3584
18.9982	9414	1.3558
19.0982	9378	1.3507
19.1982	9378	1.3507
19.2982	9360	1.3481
19.3982	9360	1.3481
19.4982	9378	1.3507
19.5982	9378	1.3507
19.6982	9378	1.3507
19.7982	9378	1.3507
19.8982	9378	1.3507
19.9982	9396	1.3532
20.0982	9396	1.3532
20.1982	9396	1.3532
20.2982	9396	1.3532
20.3982	9396	1.3532
20.4982	9396	1.3532
20.5982	9378	1.3507
20.6982	9396	1.3532
20.7982	9414	1.3558
20.8982	9414	1.3558
20.9982	9414	1.3558
21.0982	9414	1.3558
21.1982	9396	1.3532
21.2982	9378	1.3507
21.3982	9342	1.3455
21.4982	9342	1.3455
21.5982	9324	1.3429
21.6982	9324	1.3429
21.7982	9342	1.3455
21.8982	9342	1.3455
21.9982	9360	1.3481
22.0982	9360	1.3481
22.1982	9342	1.3455
22.2982	9342	1.3455
22.3982	9342	1.3455
22.4982	9360	1.3481
22.5982	9360	1.3481
22.6982	9378	1.3507
22.7982	9360	1.3481
22.8982	9360	1.3481
22.9982	9324	1.3429
23.0982	9324	1.3429
23.1982	9324	1.3429
23.2982	9342	1.3455
23.3982	9360	1.3481
23.4982	9396	1.3532
23.5982	9396	1.3532
23.6982	9396	1.3532
23.7982	9396	1.3532
23.8982	9378	1.3507
23.9982	9378	1.3507
24.0982	9360	1.3481
24.1982	9360	1.3481
24.2982	9360	1.3481
24.3982	9342	1.3455
24.4982	9342	1.3455
24.5982	9324	1.3429
24.6982	9324	1.3429
24.7982	9324	1.3429
24.8982	9342	1.3455
24.9982	9360	1.3481
25.0982	9360	1.3481
25.1982	9378	1.3507
25.2982	9378	1.3507
25.3982	9360	1.3481
25.4982	9360	1.3481
25.5982	9342	1.3455
25.6982	9342	1.3455
25.7982	9342	1.3455
25.8982	9360	1.3481
25.9982	9360	1.3481
26.0982	9378	1.3507
26.1982	9378	1.3507
26.2982	9378	1.3507
26.3982	9360	1.3481
26.4982	9342	1.3455
26.5982	9342	1.3455
26.6982	9342	1.3455
26.7982	9360	1.3481
26.8982	9360	1.3481
26.9982	9378	1.3507
27.0982	9378	1.3507
