[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130618_MEC_F_076_C_32300_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:33:08

[MS Spectrum]
# of Peaks	733
Raw Spectrum	[1.958->3.950],(scan:[236->475])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 222,291)
m/z	Absolute Intensity	Relative Intensity
69.2081	17586	7.91
87.1777	38126	17.15
93.2178	17613	7.92
104.2275	222291	100.00
105.2218	17906	8.06
113.1423	16351	7.36
115.1182	17433	7.84
118.1542	18998	8.55
122.2125	24340	10.95
123.0845	13006	5.85
127.2441	23253	10.46
129.1445	18855	8.48
131.1791	24087	10.84
132.1125	30577	13.76
133.1847	14211	6.39
135.0031	13218	5.95
136.2032	33325	14.99
137.1203	20112	9.05
138.1376	12680	5.70
139.0823	12313	5.54
140.1447	24767	11.14
141.1693	16606	7.47
143.1255	15445	6.95
144.1602	11708	5.27
145.1011	20389	9.17
146.2225	92975	41.83
147.1980	34898	15.70
148.1913	13962	6.28
150.1722	19173	8.63
151.0732	29603	13.32
152.1391	13473	6.06
153.0676	15407	6.93
154.0922	35868	16.14
155.1234	14369	6.46
156.0650	41428	18.64
157.0906	29817	13.41
158.1310	25116	11.30
159.0642	31747	14.28
162.1395	62843	28.27
164.0240	20542	9.24
165.0678	14035	6.31
166.0680	27729	12.47
167.0641	20449	9.20
169.0900	33533	15.09
170.0281	64984	29.23
171.1326	18729	8.43
172.1070	26178	11.78
173.0707	24381	10.97
175.0857	85994	38.69
176.1411	11338	5.10
177.0437	25909	11.66
179.0868	22759	10.24
181.0447	16732	7.53
183.1027	23588	10.61
184.0833	20928	9.41
185.0658	36940	16.62
186.0982	14755	6.64
187.0726	13260	5.97
188.1447	36258	16.31
189.1940	13607	6.12
191.1151	18534	8.34
192.0590	13245	5.96
193.1095	25171	11.32
194.0876	24071	10.83
195.0953	17850	8.03
197.0686	21691	9.76
199.0694	19934	8.97
200.1018	23212	10.44
201.1080	19158	8.62
201.9915	13778	6.20
203.2501	176009	79.18
204.1460	84789	38.14
205.1825	18827	8.47
207.0932	26718	12.02
208.0332	15533	6.99
209.0556	18163	8.17
210.0675	11973	5.39
211.0912	11639	5.24
213.0884	25969	11.68
215.1654	31567	14.20
217.1127	17043	7.67
219.0025	24437	10.99
221.0839	25591	11.51
223.0900	23475	10.56
225.0684	14558	6.55
226.0940	16702	7.51
227.1121	16666	7.50
229.1104	17710	7.97
230.2066	15868	7.14
231.1169	12235	5.50
232.1138	12908	5.81
233.0873	16104	7.24
235.0935	11938	5.37
237.0945	13828	6.22
239.1608	28929	13.01
241.1163	13812	6.21
242.0739	14262	6.42
243.1039	13682	6.15
244.0647	12053	5.42
245.1588	34455	15.50
247.1602	28183	12.68
248.1376	12853	5.78
249.1314	20862	9.38
251.0621	15663	7.05
253.0916	16122	7.25
255.1000	26782	12.05
257.1269	23281	10.47
259.1186	11436	5.14
260.0510	12464	5.61
261.0461	23935	10.77
263.0680	22075	9.93
265.1350	19333	8.70
266.1348	12224	5.50
267.0996	17289	7.78
268.0695	16566	7.45
269.1271	14380	6.47
271.1699	137463	61.84
272.2282	22329	10.04
277.0760	12120	5.45
279.0605	13724	6.17
281.1095	13165	5.92
282.1064	11931	5.37
283.0821	14674	6.60
285.0982	19597	8.82
287.1706	121056	54.46
288.2431	36535	16.44
289.1938	18508	8.33
290.1181	12325	5.54
291.1193	17457	7.85
293.0944	11718	5.27
296.1032	14341	6.45
297.1537	19209	8.64
299.0876	11373	5.12
301.1046	21681	9.75
304.2287	32723	14.72
305.1773	13962	6.28
306.0247	14746	6.63
306.9691	38734	17.42
309.1053	26332	11.85
310.1421	13312	5.99
311.1469	24355	10.96
312.1652	13382	6.02
313.1257	18279	8.22
317.0445	29443	13.25
318.1321	11545	5.19
319.1118	16774	7.55
320.1945	31674	14.25
321.1722	11894	5.35
322.0910	16427	7.39
323.0764	12381	5.57
325.2185	31465	14.15
326.2157	15969	7.18
327.1689	28207	12.69
328.2274	12858	5.78
329.1146	11435	5.14
