[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_F_063_C_32298_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:31:11

[MS Spectrum]
# of Peaks	310
Raw Spectrum	[0.950->2.900],(scan:[115->349])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 419,642)
m/z	Absolute Intensity	Relative Intensity
104.2267	419642	100.00
105.2499	22776	5.43
132.1422	21664	5.16
146.2364	49704	11.84
154.0644	21479	5.12
156.0672	24505	5.84
162.1440	39126	9.32
170.0582	84318	20.09
175.0590	80817	19.26
188.1953	102063	24.32
200.1129	21618	5.15
203.2631	204190	48.66
204.1491	99782	23.78
215.1823	22369	5.33
221.1676	21781	5.19
245.2191	36776	8.76
247.1640	22582	5.38
255.1146	25251	6.02
271.1618	53432	12.73
287.1675	181839	43.33
288.2398	28131	6.70
296.0544	120186	28.64
307.0081	40233	9.59
311.1053	22089	5.26
325.2055	24873	5.93
327.1791	38372	9.14
341.2266	40878	9.74
355.2202	40045	9.54
357.1840	43925	10.47
369.2851	47126	11.23
371.2109	163577	38.98
372.2874	45601	10.87
373.2347	24016	5.72
383.9508	22007	5.24
385.2544	180705	43.06
386.2835	45648	10.88
387.2527	26613	6.34
399.2177	91290	21.75
400.2621	50486	12.03
401.1992	70774	16.87
413.3290	59234	14.12
415.2542	246933	58.84
416.2956	67578	16.10
417.2393	36448	8.69
425.0726	35610	8.49
426.2531	21349	5.09
429.2801	258566	61.62
430.3235	68901	16.42
431.2971	33015	7.87
443.2845	60939	14.52
445.2369	47912	11.42
457.3319	60465	14.41
459.2859	194773	46.41
460.3253	57088	13.60
461.3202	28561	6.81
473.3104	206660	49.25
474.3754	59446	14.17
475.3284	31989	7.62
482.9037	23000	5.48
487.3631	32524	7.75
489.3193	33609	8.01
501.3475	29156	6.95
503.3179	144823	34.51
504.3715	46533	11.09
505.3470	25214	6.01
517.3515	167640	39.95
518.3813	60856	14.50
519.3567	33578	8.00
520.3762	21434	5.11
529.3964	30041	7.16
531.3794	27169	6.47
533.2761	25840	6.16
534.2767	63122	15.04
543.2806	27077	6.45
545.3271	27919	6.65
547.3553	140695	33.53
548.3921	46624	11.11
549.3740	26785	6.38
557.3575	25454	6.07
560.2083	21355	5.09
561.3912	148395	35.36
562.4170	69227	16.50
563.4111	33214	7.91
571.3939	23013	5.48
575.3812	23208	5.53
577.3862	24715	5.89
591.3944	83137	19.81
592.4342	33363	7.95
601.4326	23792	5.67
605.4319	98876	23.56
606.4366	38440	9.16
607.4412	21232	5.06
615.4451	23678	5.64
619.4019	21060	5.02
621.3575	22965	5.47
629.4166	22731	5.42
633.4393	23059	5.49
635.3991	80835	19.26
636.4396	32640	7.78
645.3682	23228	5.54
649.4346	78286	18.66
650.4533	35010	8.34
659.4423	22037	5.25
675.3298	24595	5.86
679.4479	49855	11.88
693.4442	57634	13.73
694.4559	26153	6.23
701.4774	27348	6.52
703.5208	27661	6.59
715.5276	27357	6.52
719.0374	28778	6.86
721.4501	22457	5.35
723.4780	52826	12.59
724.5139	22434	5.35
725.5295	29464	7.02
729.5089	22737	5.42
732.5457	25475	6.07
737.4752	50411	12.01
738.4865	29445	7.02
739.4838	30344	7.23
740.4675	22229	5.30
741.5458	62067	14.79
742.5601	42508	10.13
743.5373	31364	7.47
744.5303	37652	8.97
745.5596	26677	6.36
754.5024	40980	9.77
756.5026	37000	8.82
758.4929	43194	10.29
759.5142	39021	9.30
760.5465	55220	13.16
761.5644	32414	7.72
767.4750	42474	10.12
768.5264	44047	10.50
770.5270	116077	27.66
771.5195	54029	12.88
772.5210	53622	12.78
773.5631	34084	8.12
774.5674	22214	5.29
780.5249	61668	14.70
781.4705	58901	14.04
782.5317	134432	32.03
783.5278	64991	15.49
784.5479	66891	15.94
785.5724	24124	5.75
786.5471	36614	8.73
787.5442	23154	5.52
788.5463	26773	6.38
789.5819	23657	5.64
790.5742	21144	5.04
794.4765	27633	6.58
796.5289	186707	44.49
797.5081	91404	21.78
798.5198	297817	70.97
799.5299	136465	32.52
800.5344	65742	15.67
801.5920	23452	5.59
804.4992	38268	9.12
806.5099	45467	10.83
807.5438	23102	5.51
808.5461	44241	10.54
809.5439	27732	6.61
810.5279	37759	9.00
811.5252	41628	9.92
812.5524	28094	6.69
818.5289	24927	5.94
820.5332	60908	14.51
821.5026	29547	7.04
822.5178	71604	17.06
823.5148	32914	7.84
824.5552	112742	26.87
825.5395	68052	16.22
826.5390	84781	20.20
827.5691	42588	10.15
828.5504	27122	6.46
830.5405	22250	5.30
832.5426	24579	5.86
844.5093	33534	7.99
845.5558	21195	5.05
846.5351	30193	7.19
847.5559	23530	5.61
848.5424	33689	8.03
849.5709	21347	5.09
855.5568	23727	5.65
869.5241	38139	9.09
870.5776	26163	6.23
871.6608	34499	8.22
872.6602	26809	6.39
895.6290	23067	5.50
897.6739	40173	9.57
898.6580	24850	5.92
899.6526	44317	10.56
900.6675	26714	6.37
913.4102	25239	6.01
923.6993	21614	5.15
925.6650	25030	5.96
941.5077	25982	6.19
943.5756	22956	5.47
983.7109	26543	6.33
985.9993	23216	5.53
993.3195	22421	5.34
997.1862	25054	5.97
999.4984	23898	5.69
1015.3896	21999	5.24
1018.0339	36338	8.66
1021.6134	25951	6.18
1023.6063	21937	5.23
1025.4625	24258	5.78
1029.7534	35996	8.58
1031.9861	24712	5.89
1035.4978	22219	5.29
1039.3113	23025	5.49
1042.0913	22608	5.39
1043.8749	27857	6.64
1045.7643	25526	6.08
1049.0010	25658	6.11
1054.0632	28788	6.86
1056.0747	23375	5.57
1057.7391	24828	5.92
1061.7106	22147	5.28
1065.3990	28343	6.75
1070.2407	25172	6.00
1073.6970	38053	9.07
1078.2563	29093	6.93
1082.0872	24253	5.78
1084.1368	28789	6.86
1087.3175	30182	7.19
1089.6991	37889	9.03
1092.0273	28675	6.83
1095.5719	25541	6.09
1097.4220	25249	6.02
1101.7888	26956	6.42
1105.8712	21986	5.24
1110.2546	40554	9.66
1112.7068	28301	6.74
1115.9043	27895	6.65
1117.9825	31437	7.49
1121.4110	22158	5.28
1123.7928	23311	5.55
1125.6068	23678	5.64
1127.3680	23824	5.68
1129.3575	33597	8.01
1137.7837	32178	7.67
1141.7972	27587	6.57
1145.6307	28544	6.80
1149.3793	33139	7.90
1151.3000	25220	6.01
1159.5612	30696	7.31
1166.8806	30051	7.16
1169.9767	26533	6.32
1174.7795	31053	7.40
1176.9447	23541	5.61
1178.8210	24244	5.78
1183.3806	25590	6.10
1187.9406	32598	7.77
1194.6908	21352	5.09
1201.1401	24747	5.90
1203.4464	21227	5.06
1207.5375	25501	6.08
1214.9624	22904	5.46
1224.4623	25051	5.97
1245.9647	26200	6.24
1248.2894	21457	5.11
1250.9442	33946	8.09
1256.4448	26091	6.22
1283.9327	24796	5.91
1305.2139	21306	5.08
1310.8105	33696	8.03
1313.6327	27011	6.44
1315.8693	21055	5.02
1327.2493	21302	5.08
1330.4675	30831	7.35
1337.2963	28182	6.72
1341.7389	35685	8.50
1343.9873	25907	6.17
1345.9236	24070	5.74
1347.8663	23703	5.65
1351.9078	28409	6.77
1354.1985	32425	7.73
1362.0892	27067	6.45
1366.7831	22216	5.29
1370.1211	23956	5.71
1375.6810	25201	6.01
1380.4897	26966	6.43
1386.2697	22488	5.36
1391.4749	21458	5.11
1394.2196	25289	6.03
1397.2637	23397	5.58
1401.5013	25375	6.05
1405.2566	28312	6.75
1408.1606	28321	6.75
1410.4941	30141	7.18
1416.6824	26548	6.33
1422.1228	24848	5.92
1426.6826	22280	5.31
1436.8755	22278	5.31
1444.6652	28543	6.80
1448.9965	23312	5.56
1465.8910	22690	5.41
1467.8217	23148	5.52
1470.9064	28009	6.67
1478.7235	24075	5.74
1483.9082	23623	5.63
1513.9592	22485	5.36
1517.6831	28270	6.74
1528.0756	21057	5.02
1535.7214	22877	5.45
1541.8549	27993	6.67
1546.1276	31690	7.55
1568.2229	21408	5.10

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	11264	0.7055
10.3982	11044	0.6918
10.4982	10846	0.6794
10.5982	10846	0.6794
10.6982	11000	0.6890
10.7982	11176	0.7000
10.8982	11286	0.7069
10.9982	11418	0.7152
11.0982	11704	0.7331
11.1982	12100	0.7579
11.2982	12496	0.7827
11.3982	12782	0.8006
11.4982	12892	0.8075
11.5982	12694	0.7951
11.6982	12298	0.7703
11.7982	11968	0.7496
11.8982	11792	0.7386
11.9982	11704	0.7331
12.0982	11638	0.7290
12.1982	11616	0.7276
12.2982	11770	0.7372
12.3982	12276	0.7689
12.4982	13178	0.8254
12.5982	14344	0.8985
12.6982	15444	0.9674
12.7982	16104	1.0087
12.8982	16170	1.0128
12.9982	15862	0.9935
13.0982	15510	0.9715
13.1982	15466	0.9687
13.2982	15730	0.9853
13.3982	16082	1.0073
13.4982	16324	1.0225
13.5982	16390	1.0266
