[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130627_MEC_F_079_C_32226_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:19:57

[MS Spectrum]
# of Peaks	419
Raw Spectrum	[3.475->4.492],(scan:[418->540])
Background	No Background Spectrum
Base Peak	m/z 798.54 (Inten : 153,759)
m/z	Absolute Intensity	Relative Intensity
104.2322	53371	34.71
112.1687	9575	6.23
146.2343	46504	30.24
147.2486	8875	5.77
162.1368	12985	8.45
170.0594	10205	6.64
175.0854	24769	16.11
185.1490	8690	5.65
188.1858	11186	7.28
200.2487	22422	14.58
203.2298	83001	53.98
204.1562	30064	19.55
214.2553	85737	55.76
215.2469	16150	10.50
230.2536	14745	9.59
239.1572	7820	5.09
242.2406	11421	7.43
245.1842	10793	7.02
255.0907	8889	5.78
261.0067	7780	5.06
271.1612	26453	17.20
287.1595	37092	24.12
288.2346	13878	9.03
297.2092	16128	10.49
307.0099	24442	15.90
309.0700	7688	5.00
311.2178	16771	10.91
313.1660	23538	15.31
317.0430	10059	6.54
325.2373	15150	9.85
327.1848	24539	15.96
341.2422	27454	17.86
355.2407	21053	13.69
357.1896	22813	14.84
369.2854	26354	17.14
370.2982	7943	5.17
371.2266	48687	31.66
372.3241	20032	13.03
373.2726	7827	5.09
385.2583	43111	28.04
386.3061	12357	8.04
399.2537	29165	18.97
400.3442	63446	41.26
401.2825	31184	20.28
402.3435	9019	5.87
409.1591	9188	5.98
413.2991	23268	15.13
414.2605	8519	5.54
415.2591	33591	21.85
416.2939	11315	7.36
417.2907	8090	5.26
425.1156	39975	26.00
426.3266	44876	29.19
427.3136	17867	11.62
428.3238	26872	17.48
429.2483	65171	42.39
430.3362	17846	11.61
431.2857	9125	5.93
441.2143	26139	17.00
442.2471	10421	6.78
443.2607	21639	14.07
444.2982	8281	5.39
445.2830	17514	11.39
452.3401	7991	5.20
454.3694	16334	10.62
455.3608	8877	5.77
457.3232	19534	12.70
459.2894	25387	16.51
460.3449	9095	5.92
469.3136	7716	5.02
473.3263	27273	17.74
474.4069	10415	6.77
485.3056	8758	5.70
487.3919	11092	7.21
489.3408	10799	7.02
496.3319	10523	6.84
501.3565	13055	8.49
503.3176	19074	12.41
504.3464	9752	6.34
517.3500	19298	12.55
518.3229	23852	15.51
519.3644	8441	5.49
520.3487	9442	6.14
523.3590	8712	5.67
527.2616	12399	8.06
529.4218	16742	10.89
531.3466	9849	6.41
534.3113	34211	22.25
535.3356	12019	7.82
544.3213	9628	6.26
545.3679	14376	9.35
546.3685	14415	9.38
547.3306	20704	13.47
548.3753	10451	6.80
557.3441	8743	5.69
560.2971	14940	9.72
561.3732	23590	15.34
562.4008	23201	15.09
563.4139	9874	6.42
571.3795	7980	5.19
573.3958	9240	6.01
575.3620	9485	6.17
576.4216	9024	5.87
577.4249	9435	6.14
589.4235	11594	7.54
591.4052	10580	6.88
592.4177	8318	5.41
605.4077	16759	10.90
611.3715	8603	5.60
617.4513	10497	6.83
619.3865	8820	5.74
621.3906	7803	5.07
629.4084	8271	5.38
633.4463	14787	9.62
635.3574	9644	6.27
637.4887	9669	6.29
645.0909	12274	7.98
647.3934	8244	5.36
649.4261	12316	8.01
655.4217	7805	5.08
659.4036	11822	7.69
661.4887	11631	7.56
663.4460	8722	5.67
665.4581	10598	6.89
671.5397	10259	6.67
673.5287	9975	6.49
675.2820	22774	14.81
676.3350	9949	6.47
677.3925	15752	10.24
679.4512	8887	5.78
687.5632	14955	9.73
688.5411	11028	7.17
689.5280	13521	8.79
693.4179	11915	7.75
699.4233	8051	5.24
701.4277	12965	8.43
702.4542	8642	5.62
703.5464	23670	15.39
704.5428	11812	7.68
705.5090	15352	9.98
706.5264	8071	5.25
707.5029	9163	5.96
709.4448	7746	5.04
711.5027	7727	5.03
713.5082	9619	6.26
721.4189	13193	8.58
723.4539	10554	6.86
725.5379	26487	17.23
726.5581	12734	8.28
727.5211	7775	5.06
728.4969	7688	5.00
732.5187	10676	6.94
734.5782	16692	10.86
735.5513	11670	7.59
737.4174	14029	9.12
738.4971	8538	5.55
739.5368	12628	8.21
741.5529	47286	30.75
742.5654	27838	18.10
743.5270	17911	11.65
744.5267	17711	11.52
745.5343	9781	6.36
746.5401	11955	7.78
747.5457	7911	5.15
749.4888	14023	9.12
751.4899	9010	5.86
754.5340	18284	11.89
755.5038	8739	5.68
756.5563	32645	21.23
757.5427	18082	11.76
758.5446	33671	21.90
759.5549	19370	12.60
760.5661	44448	28.91
761.5607	24420	15.88
762.5541	13588	8.84
763.5076	8057	5.24
765.4781	13402	8.72
766.5118	12571	8.18
767.5006	11437	7.44
768.5627	16896	10.99
769.5162	10955	7.12
770.5374	34607	22.51
771.5219	16830	10.95
772.5425	63062	41.01
773.5378	29322	19.07
774.5417	15794	10.27
775.5599	8786	5.71
778.4589	9760	6.35
780.5505	53529	34.81
781.5107	31192	20.29
782.5524	102392	66.59
783.5578	50232	32.67
784.5585	40606	26.41
785.5364	19077	12.41
786.5612	29379	19.11
787.5759	19791	12.87
788.5701	18059	11.75
789.5550	11387	7.41
790.5299	15796	10.27
791.5408	8887	5.78
792.4730	8988	5.85
793.4976	18459	12.01
794.5405	21618	14.06
796.5469	96933	63.04
797.5118	46655	30.34
798.5351	153759	100.00
799.5392	72201	46.96
800.5382	35634	23.18
801.5695	13022	8.47
802.5129	13556	8.82
804.5424	40238	26.17
805.5063	19907	12.95
806.5173	46142	30.01
807.5507	23696	15.41
808.5538	47330	30.78
809.5448	28727	18.68
810.5417	36451	23.71
811.5695	19741	12.84
812.5591	15361	9.99
813.5547	9730	6.33
814.5312	11772	7.66
816.5402	11776	7.66
818.5043	18627	12.11
820.5272	71450	46.47
821.5429	37504	24.39
822.5319	61663	40.10
823.5131	29286	19.05
824.5464	71719	46.64
825.5682	40923	26.62
826.5576	35119	22.84
827.5471	17085	11.11
828.5583	17890	11.64
829.5133	9196	5.98
830.5163	23893	15.54
831.5052	13959	9.08
832.5434	35322	22.97
833.5330	17392	11.31
834.5356	18935	12.31
835.5832	12070	7.85
836.5607	9366	6.09
837.5471	15682	10.20
838.5698	9739	6.33
844.5391	24309	15.81
845.5131	12455	8.10
846.5439	36457	23.71
847.5109	17890	11.64
848.5582	45720	29.73
849.5719	26754	17.40
850.5781	22606	14.70
851.5855	16657	10.83
852.5465	11983	7.79
853.5547	15663	10.19
854.5767	10838	7.05
855.6000	8624	5.61
856.6303	10633	6.92
858.5881	8398	5.46
869.5362	10028	6.52
870.5266	12295	8.00
871.6382	10801	7.02
872.5638	13566	8.82
873.6335	7739	5.03
874.5780	9116	5.93
881.6108	18080	11.76
882.6543	10332	6.72
883.6969	8497	5.53
885.5456	8087	5.26
895.6827	13904	9.04
896.6243	8541	5.55
897.6303	24059	15.65
898.6705	14339	9.33
899.6774	10099	6.57
909.6172	8337	5.42
913.2148	9021	5.87
919.6052	8896	5.79
923.7209	10673	6.94
925.6210	14648	9.53
926.6659	8571	5.57
941.5486	9256	6.02
947.1755	9979	6.49
955.2382	9879	6.42
957.7306	8377	5.45
969.6749	11707	7.61
975.0661	8987	5.84
982.0059	10279	6.69
985.4164	9022	5.87
989.1445	9980	6.49
993.9690	8980	5.84
997.7980	8760	5.70
1001.3163	10719	6.97
1003.2003	11241	7.31
1007.1548	14847	9.66
1009.2889	8515	5.54
1013.7300	11314	7.36
1014.7336	7781	5.06
1021.5222	8074	5.25
1023.6236	8795	5.72
1029.5107	11288	7.34
1042.1478	13206	8.59
1044.0150	9397	6.11
1046.8209	9966	6.48
1048.4764	8054	5.24
1052.0887	11094	7.22
1054.0153	11021	7.17
1057.3655	16084	10.46
1058.8370	8150	5.30
1062.0321	7930	5.16
1065.1262	9525	6.19
1067.7958	7987	5.19
1073.7322	9952	6.47
1074.9901	8213	5.34
1077.3378	8820	5.74
1084.3026	11516	7.49
1086.0464	9777	6.36
1087.4275	8326	5.41
1089.7871	16270	10.58
1093.9507	11245	7.31
1098.8918	12673	8.24
1101.7136	11759	7.65
1103.8145	9358	6.09
1106.8180	9499	6.18
1110.3008	13491	8.77
1112.1580	10853	7.06
1114.2112	9408	6.12
1117.6534	8544	5.56
1120.0038	10250	6.67
1122.9452	11665	7.59
1128.1780	9380	6.10
1129.7317	8273	5.38
1131.2458	7904	5.14
1133.8804	14657	9.53
1142.6985	7712	5.02
1149.8085	9218	6.00
1152.0121	10686	6.95
1153.8031	8420	5.48
1156.1580	9465	6.16
1160.1460	8240	5.36
1161.3680	8966	5.83
1169.5175	10511	6.84
1172.2338	10175	6.62
1175.2797	7743	5.04
1178.9329	9990	6.50
1180.7700	8987	5.84
1184.4058	14278	9.29
1187.8293	8703	5.66
1189.6859	11249	7.32
1191.2686	10265	6.68
1193.2839	10512	6.84
1195.7815	7871	5.12
1204.3541	14616	9.51
1207.9121	8882	5.78
1210.8549	9801	6.37
1225.0266	9937	6.46
1227.5790	9666	6.29
1235.8447	7900	5.14
1238.2478	9025	5.87
1240.0558	9234	6.01
1242.0128	9517	6.19
1250.4615	10030	6.52
1254.1202	8811	5.73
1261.0306	8468	5.51
1262.8667	10273	6.68
1267.5337	8403	5.47
1278.8516	8474	5.51
1282.7760	8202	5.33
1284.8308	10554	6.86
1286.4757	9181	5.97
1290.3574	12039	7.83
1294.8811	10983	7.14
1301.9862	8461	5.50
1303.8567	8732	5.68
1305.6440	8937	5.81
1310.3280	9706	6.31
1311.8064	8272	5.38
1314.1604	7791	5.07
1315.5250	8716	5.67
1317.1788	9290	6.04
1318.7373	8706	5.66
1324.2050	11323	7.36
1326.1870	8892	5.78
1328.0026	9628	6.26
1336.2563	10699	6.96
1337.9813	8345	5.43
1341.5121	7823	5.09
1342.9376	9607	6.25
1346.3812	10966	7.13
1354.0579	10963	7.13
1357.4152	7733	5.03
1360.4880	11738	7.63
1363.6278	10891	7.08
1366.2612	12996	8.45
1368.2092	10206	6.64
1371.3918	12739	8.29
1375.4130	11628	7.56
1381.5707	11611	7.55
1391.9355	8485	5.52
1394.6224	13028	8.47
1406.2239	10951	7.12
1408.1104	12262	7.97
1412.1686	9330	6.07
1417.4482	9726	6.33
1419.1523	9170	5.96
1426.3191	8079	5.25
1433.0670	9330	6.07
1437.2131	8034	5.23
1445.0406	9873	6.42
1452.2888	11452	7.45
1459.7245	8863	5.76
1468.5330	10979	7.14
1471.6792	10067	6.55
1480.7810	10132	6.59
1487.3372	7838	5.10
