[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130612_MEC_M_083_C_32218_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:16:06

[MS Spectrum]
# of Peaks	101
Raw Spectrum	[0.950->2.225],(scan:[115->268])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 520,805)
m/z	Absolute Intensity	Relative Intensity
104.2268	520805	100.00
105.2430	30159	5.79
146.2247	56215	10.79
156.0635	46759	8.98
162.1298	35052	6.73
170.0533	93955	18.04
175.0493	66785	12.82
203.2118	206178	39.59
204.1498	62263	11.96
221.1792	28249	5.42
271.1510	48496	9.31
287.1312	101553	19.50
296.0455	71360	13.70
327.1510	27707	5.32
369.2572	32655	6.27
371.1951	61583	11.82
385.2368	73427	14.10
399.2438	36646	7.04
413.2820	38896	7.47
415.2316	104443	20.05
416.2857	30674	5.89
425.1034	39952	7.67
429.2572	124042	23.82
430.2933	33182	6.37
443.2808	31916	6.13
457.3390	32659	6.27
459.2521	75741	14.54
473.2989	90167	17.31
474.3272	29301	5.63
503.3052	78085	14.99
504.3326	29479	5.66
517.3502	103490	19.87
518.3165	51839	9.95
534.2915	53088	10.19
547.3328	81839	15.71
548.3889	28004	5.38
561.3590	101247	19.44
562.3375	48263	9.27
591.3818	57106	10.96
605.4003	78017	14.98
606.4014	29171	5.60
635.3754	54524	10.47
649.4110	70366	13.51
650.4329	30117	5.78
675.2315	28006	5.38
679.4174	37835	7.26
693.4130	46570	8.94
723.4240	30083	5.78
725.4752	31862	6.12
737.4572	39403	7.57
738.4796	27699	5.32
741.5052	68365	13.13
742.4767	50613	9.72
743.5032	37260	7.15
744.5033	40222	7.72
754.4969	57396	11.02
756.4780	43386	8.33
758.4711	32631	6.27
760.4922	39845	7.65
767.4297	27370	5.26
768.4481	44668	8.58
770.4844	120571	23.15
771.5106	56482	10.85
772.4907	61286	11.77
773.5110	27643	5.31
780.5046	60072	11.53
781.4572	53549	10.28
782.4694	102801	19.74
783.5215	47075	9.04
784.5098	44867	8.61
786.5006	27028	5.19
794.4722	27059	5.20
796.4815	138515	26.60
797.4602	74784	14.36
798.4832	209072	40.14
799.5179	91715	17.61
800.5256	45141	8.67
802.4459	27995	5.38
804.4510	27462	5.27
806.5035	29905	5.74
808.5336	39094	7.51
810.5100	32599	6.26
811.4878	28569	5.49
818.4539	33117	6.36
820.4860	33703	6.47
822.5067	43406	8.33
824.5095	76330	14.66
825.4952	56830	10.91
826.5000	58886	11.31
827.5360	28074	5.39
828.5110	26119	5.02
844.4825	29819	5.73
846.4849	30207	5.80
869.5437	33693	6.47
1010.1346	27358	5.25
1028.7971	27181	5.22
1054.8805	29836	5.73
1088.6847	36138	6.94
1134.8595	27375	5.26
1147.8069	26455	5.08
1325.0227	27906	5.36

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	16566	0.8307
10.3982	15972	0.8009
10.4982	14806	0.7425
10.5982	13882	0.6961
10.6982	13090	0.6564
10.7982	12672	0.6355
10.8982	12364	0.6200
10.9982	12364	0.6200
11.0982	12694	0.6366
11.1982	13134	0.6586
11.2982	13508	0.6774
11.3982	13662	0.6851
11.4982	13574	0.6807
11.5982	13376	0.6708
11.6982	13200	0.6619
11.7982	13156	0.6597
11.8982	13200	0.6619
11.9982	13332	0.6686
12.0982	13530	0.6785
12.1982	13728	0.6884
12.2982	13882	0.6961
12.3982	14058	0.7050
12.4982	14212	0.7127
12.5982	14146	0.7094
12.6982	13838	0.6939
12.7982	13354	0.6697
12.8982	12760	0.6399
12.9982	12122	0.6079
13.0982	11902	0.5968
13.1982	12562	0.6299
13.2982	14234	0.7138
13.3982	16544	0.8296
13.4982	18766	0.9411
13.5982	20130	1.0095
13.6982	20086	1.0072
13.7982	18810	0.9433
13.8982	17072	0.8561
13.9982	15554	0.7800
14.0982	14520	0.7281
14.1982	13904	0.6972
14.2982	13552	0.6796
14.3982	13266	0.6652
14.4982	13266	0.6652
14.5982	14036	0.7039
14.6982	15862	0.7954
14.7982	18040	0.9046
14.8982	19602	0.9830
14.9982	19998	1.0028
15.0982	19448	0.9753
15.1982	18458	0.9256
15.2982	17644	0.8848
15.3982	17446	0.8749
15.4982	17974	0.9013
15.5982	18634	0.9344
15.6982	18700	0.9377
15.7982	17930	0.8991
15.8982	16786	0.8418
15.9982	16060	0.8054
