[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_067_C_32294_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:29:14

[MS Spectrum]
# of Peaks	321
Raw Spectrum	[1.000->3.000],(scan:[121->361])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 401,708)
m/z	Absolute Intensity	Relative Intensity
1200.9043	25890	6.44
1203.6737	22885	5.70
1209.4148	22957	5.71
1213.8539	34647	8.62
1216.4208	28087	6.99
1226.2103	27285	6.79
1229.1716	24145	6.01
1231.3855	23852	5.94
1233.4838	26046	6.48
1241.4175	21252	5.29
1250.2345	24375	6.07
1260.6189	22939	5.71
1265.1488	25556	6.36
1271.7209	22105	5.50
1273.6124	23970	5.97
1276.0472	24453	6.09
1278.2466	24176	6.02
1281.3801	20936	5.21
1285.0354	21738	5.41
1287.1510	26048	6.48
1290.5533	23068	5.74
1300.9083	24395	6.07
1304.4025	20280	5.05
1318.5612	21087	5.25
1321.5741	22328	5.56
1326.1343	27097	6.75
1328.3621	24848	6.19
1330.6617	31237	7.78
1332.6930	20126	5.01
1334.3906	23342	5.81
1336.4459	29537	7.35
1339.9480	20132	5.01
1351.4519	26296	6.55
1354.3479	23851	5.94
1360.0192	29394	7.32
1362.2560	25049	6.24
1366.2418	29686	7.39
1368.3572	25483	6.34
1370.0934	21309	5.30
1373.4727	31661	7.88
1376.1666	23792	5.92
1378.1443	28334	7.05
1381.2393	24996	6.22
1383.2080	26203	6.52
1386.2391	27030	6.73
1390.4424	25857	6.44
1394.9855	23447	5.84
1396.7733	23331	5.81
1403.6072	26147	6.51
1405.4811	21736	5.41
1408.9824	23827	5.93
1412.7788	28385	7.07
1415.7833	23627	5.88
1418.9874	32580	8.11
1424.4895	28536	7.10
1428.9055	21753	5.42
1431.3344	25254	6.29
1440.4117	22596	5.62
1446.5187	30326	7.55
1454.7158	22350	5.56
1458.1061	23470	5.84
1464.9921	22105	5.50
1470.6835	22971	5.72
1476.5687	24241	6.03
1483.6617	21149	5.26
1485.9374	26068	6.49
1489.8528	24172	6.02
1492.4343	20153	5.02
1501.4290	21547	5.36
1528.8495	24024	5.98
1540.4279	21450	5.34
1547.6584	22221	5.53
1549.5970	22250	5.54
1556.2810	28475	7.09
1570.4724	22983	5.72
1583.4930	20259	5.04
1586.1084	22911	5.70

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	11970	0.8172
10.3982	11592	0.7914
10.4982	11004	0.7512
10.5982	10563	0.7211
10.6982	10311	0.7039
10.7982	10332	0.7053
10.8982	10290	0.7025
10.9982	10164	0.6939
11.0982	10080	0.6881
11.1982	10374	0.7082
11.2982	11298	0.7713
11.3982	12747	0.8702
11.4982	14196	0.9691
11.5982	15246	1.0408
11.6982	15624	1.0666
11.7982	15309	1.0451
11.8982	14700	1.0035
11.9982	14343	0.9792
12.0982	14469	0.9878
12.1982	14826	1.0121
12.2982	14952	1.0207
12.3982	14637	0.9992
12.4982	14049	0.9591
12.5982	13545	0.9247
12.6982	13356	0.9118
12.7982	13419	0.9161
12.8982	13461	0.9189
12.9982	13251	0.9046
13.0982	12768	0.8716
13.1982	12327	0.8415
13.2982	12201	0.8329
13.3982	12579	0.8587
13.4982	13377	0.9132
13.5982	14259	0.9734
13.6982	15057	1.0279
13.7982	15687	1.0709
13.8982	16023	1.0938
13.9982	16023	1.0938
14.0982	15708	1.0723
14.1982	15225	1.0394
14.2982	14574	0.9949
14.3982	14070	0.9605
14.4982	14049	0.9591
14.5982	14658	1.0007
14.6982	15498	1.0580
14.7982	16128	1.1010
14.8982	16464	1.1239
14.9982	16611	1.1340
15.0982	16464	1.1239
15.1982	15939	1.0881
15.2982	15288	1.0437
15.3982	14868	1.0150
15.4982	14616	0.9978
15.5982	14301	0.9763
15.6982	13986	0.9548
15.7982	13839	0.9447
15.8982	13902	0.9490
15.9982	14091	0.9620
16.0982	14532	0.9921
16.1982	15393	1.0508
16.2982	16401	1.1196
16.3982	17052	1.1641
16.4982	16968	1.1584
16.5982	16359	1.1168
16.6982	15561	1.0623
16.7982	14889	1.0164
16.8982	14469	0.9878
16.9982	14280	0.9749
17.0982	14133	0.9648
17.1982	13755	0.9390
17.2982	13146	0.8974
17.3982	12474	0.8516
17.4982	12054	0.8229
17.5982	11949	0.8157
17.6982	12096	0.8258
17.7982	12306	0.8401
17.8982	12579	0.8587
17.9982	12978	0.8860
18.0982	13608	0.9290
18.1982	14280	0.9749
18.2982	14679	1.0021
18.3982	14532	0.9921
18.4982	13860	0.9462
18.5982	12873	0.8788
18.6982	11970	0.8172
18.7982	11550	0.7885
18.8982	11634	0.7942
18.9982	11907	0.8129
19.0982	12033	0.8215
19.1982	11907	0.8129
19.2982	11571	0.7899
19.3982	11172	0.7627
19.4982	10836	0.7397
19.5982	10710	0.7311
19.6982	10857	0.7412
19.7982	11256	0.7684
19.8982	11760	0.8028
19.9982	12264	0.8372
20.0982	12621	0.8616
20.1982	12705	0.8673
20.2982	12432	0.8487
20.3982	11970	0.8172
20.4982	11529	0.7871
20.5982	11319	0.7727
20.6982	11298	0.7713
20.7982	11403	0.7784
20.8982	11529	0.7871
20.9982	11592	0.7914
21.0982	11529	0.7871
21.1982	11403	0.7784
21.2982	11298	0.7713
21.3982	11298	0.7713
21.4982	11382	0.7770
21.5982	11424	0.7799
21.6982	11340	0.7741
21.7982	11130	0.7598
21.8982	10857	0.7412
21.9982	10563	0.7211
22.0982	10353	0.7068
22.1982	10248	0.6996
22.2982	10311	0.7039
22.3982	10479	0.7154
22.4982	10689	0.7297
22.5982	10836	0.7397
22.6982	10857	0.7412
22.7982	10773	0.7354
22.8982	10605	0.7240
22.9982	10500	0.7168
23.0982	10563	0.7211
23.1982	10794	0.7369
23.2982	11004	0.7512
23.3982	11088	0.7569
23.4982	11046	0.7541
23.5982	10983	0.7498
23.6982	11004	0.7512
23.7982	11193	0.7641
23.8982	11466	0.7828
23.9982	11655	0.7957
24.0982	11613	0.7928
24.1982	11340	0.7741
24.2982	10962	0.7483
24.3982	10584	0.7225
24.4982	10374	0.7082
24.5982	10290	0.7025
24.6982	10290	0.7025
24.7982	10311	0.7039
24.8982	10332	0.7053
24.9982	10353	0.7068
25.0982	10395	0.7096
25.1982	10437	0.7125
25.2982	10437	0.7125
25.3982	10416	0.7111
25.4982	10395	0.7096
25.5982	10395	0.7096
25.6982	10416	0.7111
25.7982	10416	0.7111
25.8982	10416	0.7111
25.9982	10395	0.7096
26.0982	10374	0.7082
26.1982	10416	0.7111
26.2982	10458	0.7139
26.3982	10500	0.7168
26.4982	10521	0.7182
26.5982	10458	0.7139
26.6982	10395	0.7096
26.7982	10458	0.7139
26.8982	10731	0.7326
26.9982	11172	0.7627
27.0982	11529	0.7871
27.1982	11676	0.7971
27.2982	11613	0.7928
27.3982	11382	0.7770
27.4982	11046	0.7541
27.5982	10794	0.7369
27.6982	10689	0.7297
27.7982	10668	0.7283
27.8982	10626	0.7254
27.9982	10542	0.7197
28.0982	10437	0.7125
28.1982	10374	0.7082
28.2982	10332	0.7053
28.3982	10290	0.7025
28.4982	10269	0.7010
28.5982	10353	0.7068
28.6982	10542	0.7197
28.7982	10773	0.7354
28.8982	10941	0.7469
28.9982	10983	0.7498
29.0982	10920	0.7455
29.1982	10773	0.7354
29.2982	10647	0.7268
29.3982	10584	0.7225
29.4982	10647	0.7268
29.5982	10794	0.7369
29.6982	10941	0.7469
29.7982	11004	0.7512
29.8982	11025	0.7526
29.9982	11088	0.7569
30.0982	11214	0.7655
30.1982	11340	0.7741
30.2982	11361	0.7756
30.3982	11277	0.7698
30.4982	11067	0.7555
30.5982	10773	0.7354
30.6982	10437	0.7125
30.7982	10269	0.7010
30.8982	10416	0.7111
30.9982	10731	0.7326
31.0982	11067	0.7555
31.1982	11256	0.7684
31.2982	11256	0.7684
31.3982	11046	0.7541
31.4982	10731	0.7326
31.5982	10416	0.7111
31.6982	10269	0.7010
31.7982	10248	0.6996
31.8982	10311	0.7039
31.9982	10353	0.7068
32.0982	10374	0.7082
32.1982	10374	0.7082
32.2982	10374	0.7082
32.3982	10332	0.7053
32.4982	10290	0.7025
32.5982	10248	0.6996
32.6982	10227	0.6982
32.7982	10248	0.6996
32.8982	10311	0.7039
32.9982	10437	0.7125
33.0982	10626	0.7254
33.1982	10815	0.7383
33.2982	10962	0.7483
33.3982	11067	0.7555
33.4982	11193	0.7641
33.5982	11340	0.7741
33.6982	11466	0.7828
33.7982	11466	0.7828
33.8982	11340	0.7741
33.9982	11088	0.7569
34.0982	10752	0.7340
34.1982	10458	0.7139
34.2982	10269	0.7010
34.3982	10227	0.6982
34.4982	10248	0.6996
34.5982	10269	0.7010
34.6982	10290	0.7025
34.7982	10269	0.7010
34.8982	10248	0.6996
34.9982	10227	0.6982
35.0982	10206	0.6967
35.1982	10206	0.6967
35.2982	10248	0.6996
35.3982	10353	0.7068
35.4982	10500	0.7168
35.5982	10626	0.7254
35.6982	10731	0.7326
35.7982	10794	0.7369
35.8982	10794	0.7369
35.9982	10731	0.7326
36.0982	10626	0.7254
36.1982	10521	0.7182
36.2982	10416	0.7111
36.3982	10332	0.7053
36.4982	10269	0.7010
36.5982	10269	0.7010
36.6982	10269	0.7010
36.7982	10248	0.6996
36.8982	10248	0.6996
36.9982	10227	0.6982
37.0982	10227	0.6982
37.1982	10227	0.6982
37.2982	10248	0.6996
37.3982	10269	0.7010
37.4982	10332	0.7053
37.5982	10479	0.7154
37.6982	10647	0.7268
37.7982	10773	0.7354
37.8982	10794	0.7369
37.9982	10689	0.7297
38.0982	10542	0.7197
38.1982	10458	0.7139
38.2982	10479	0.7154
38.3982	10542	0.7197
38.4982	10626	0.7254
38.5982	11088	0.7569
38.6982	12558	0.8573
38.7982	15729	1.0738
38.8982	21168	1.4451
38.9982	28896	1.9726
39.0982	37779	2.5791
39.1982	45444	3.1023
39.2982	49203	3.3589
39.3982	47544	3.2457
39.4982	40971	2.7970
39.5982	31542	2.1533
39.6982	21987	1.5010
39.7982	14679	1.0021
39.8982	10689	0.7297
39.9982	9450	0.6451
40.0982	9660	0.6595
40.1982	10164	0.6939
40.2982	10542	0.7197
40.3982	10773	0.7354
40.4982	10899	0.7440
40.5982	10941	0.7469
40.6982	11067	0.7555
40.7982	11487	0.7842
40.8982	12369	0.8444
40.9982	13755	0.9390
41.0982	15414	1.0523
41.1982	16884	1.1526
41.2982	17598	1.2014
41.3982	17304	1.1813
41.4982	16107	1.0996
41.5982	14427	0.9849
41.6982	12684	0.8659
41.7982	11340	0.7741
41.8982	10563	0.7211
41.9982	10311	0.7039
42.0982	10290	0.7025
42.1982	10311	0.7039
42.2982	10311	0.7039
42.3982	10311	0.7039
42.4982	10290	0.7025
42.5982	10227	0.6982
42.6982	10185	0.6953
42.7982	10290	0.7025
42.8982	10605	0.7240
42.9982	11004	0.7512
43.0982	11361	0.7756
43.1982	11487	0.7842
