[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130627_MEC_M_066_C_32224_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:18:18

[MS Spectrum]
# of Peaks	294
Raw Spectrum	[2.500->4.500],(scan:[301->541])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 321,166)
m/z	Absolute Intensity	Relative Intensity
104.2252	321166	100.00
146.2350	69747	21.72
156.0946	16756	5.22
157.0968	16211	5.05
162.1369	41241	12.84
175.0987	51246	15.96
203.2248	126974	39.54
204.1513	48334	15.05
271.1730	70668	22.00
280.0767	16607	5.17
287.1497	40110	12.49
288.2505	16669	5.19
296.0668	21995	6.85
369.3080	21235	6.61
370.3127	24679	7.68
372.2664	25206	7.85
398.3048	26789	8.34
400.3062	69649	21.69
401.3046	21945	6.83
425.0991	45864	14.28
426.3342	65841	20.50
427.3543	19391	6.04
428.3711	35413	11.03
429.3216	26503	8.25
454.3519	17824	5.55
496.3520	16444	5.12
518.3280	46537	14.49
534.3146	42677	13.29
544.3514	24904	7.75
546.3373	30016	9.35
560.3652	26344	8.20
561.3543	17955	5.59
562.3319	28345	8.83
671.5604	22055	6.87
687.5667	16759	5.22
703.5573	30163	9.39
704.5726	16323	5.08
725.5543	71597	22.29
726.5509	36874	11.48
727.5322	17360	5.41
728.5227	19545	6.09
734.5663	18537	5.77
741.5519	56122	17.47
742.5616	34366	10.70
743.5365	20573	6.41
744.5276	21938	6.83
754.5428	50412	15.70
755.5078	23884	7.44
756.5407	76126	23.70
757.5338	36495	11.36
758.5342	47451	14.77
759.5430	22031	6.86
760.5599	44937	13.99
761.5718	24705	7.69
766.5121	21157	6.59
768.5351	27121	8.44
770.5033	44527	13.86
771.5093	19446	6.05
772.5476	57900	18.03
773.5394	27725	8.63
774.5408	16501	5.14
778.4703	18128	5.64
780.5496	108485	33.78
781.5115	53347	16.61
782.5413	158926	49.48
783.5549	79340	24.70
784.5516	49913	15.54
785.5811	18625	5.80
786.5546	31743	9.88
787.5520	18845	5.87
788.5483	26688	8.31
790.5461	21353	6.65
794.5161	29158	9.08
796.5375	96457	30.03
797.5103	45332	14.11
798.5328	127813	39.80
799.5491	63076	19.64
800.5787	33101	10.31
802.5361	20150	6.27
804.5451	65708	20.46
805.5112	32653	10.17
806.5406	86582	26.96
807.5488	43657	13.59
808.5587	97397	30.33
809.5722	54125	16.85
810.6012	50876	15.84
811.6102	24416	7.60
812.5681	18817	5.86
813.6023	16392	5.10
814.5854	17417	5.42
816.5883	18547	5.77
818.5383	20946	6.52
820.5418	54494	16.97
821.5081	27425	8.54
822.5212	66249	20.63
823.5618	34800	10.84
824.5472	78141	24.33
825.5829	47424	14.77
826.5746	40923	12.74
827.6144	29687	9.24
828.5740	35646	11.10
829.5192	19341	6.02
830.5121	48262	15.03
831.5432	25574	7.96
832.5366	46151	14.37
833.5771	25284	7.87
834.5703	22467	7.00
835.6044	19659	6.12
836.5834	16882	5.26
841.6238	21559	6.71
843.6411	25097	7.81
844.5748	29928	9.32
845.5653	19172	5.97
846.5365	35021	10.90
847.5410	17850	5.56
848.5380	29541	9.20
849.5913	20074	6.25
850.5882	19367	6.03
851.6628	28187	8.78
852.6464	20740	6.46
853.6752	38127	11.87
854.6783	29787	9.27
855.7032	32185	10.02
856.6699	24584	7.65
867.6509	32064	9.98
868.6171	19493	6.07
869.6721	61300	19.09
870.6740	41112	12.80
871.6941	48082	14.97
872.6868	33431	10.41
873.7135	16423	5.11
877.6823	29778	9.27
879.7571	69794	21.73
880.7527	43615	13.58
881.7442	89248	27.79
882.7572	51249	15.96
883.7506	30825	9.60
884.7706	16266	5.06
893.6972	41819	13.02
894.6309	25818	8.04
895.7069	113109	35.22
896.6639	74573	23.22
897.7130	149905	46.68
898.7455	82984	25.84
899.7348	49640	15.46
900.7484	24628	7.67
901.7618	16471	5.13
903.7217	21902	6.82
905.7434	40156	12.50
906.7469	25876	8.06
907.7540	51623	16.07
908.7784	32410	10.09
909.7700	31069	9.67
910.7769	19310	6.01
917.6390	16349	5.09
919.7349	32773	10.20
920.7159	20217	6.29
921.7483	67298	20.95
922.7528	40059	12.47
923.7509	84710	26.38
924.7409	48489	15.10
925.7275	56196	17.50
926.7228	27499	8.56
927.7220	25856	8.05
929.7379	17828	5.55
941.6667	17774	5.53
943.6637	26687	8.31
945.7241	22316	6.95
947.7409	18244	5.68
949.7518	18590	5.79
951.7618	20471	6.37
953.7458	18505	5.76
959.2095	16811	5.23
969.7100	16659	5.19
985.3198	16755	5.22
988.2349	16982	5.29
994.0522	19735	6.14
997.2700	19599	6.10
999.3254	19848	6.18
1002.2975	18112	5.64
1009.5479	16153	5.03
1013.9919	21791	6.78
1015.9629	16123	5.02
1018.0438	20788	6.47
1020.0615	18336	5.71
1025.3577	21239	6.61
1033.2442	17104	5.33
1035.2754	22666	7.06
1038.3231	17232	5.37
1042.2721	21528	6.70
1045.7957	22457	6.99
1049.1650	17204	5.36
1051.0653	22609	7.04
1053.8400	18198	5.67
1056.3549	17644	5.49
1059.3207	16590	5.17
1063.5475	17053	5.31
1065.6830	17043	5.31
1067.2289	18046	5.62
1073.3141	21237	6.61
1075.4409	25431	7.92
1080.4309	18094	5.63
1082.2418	20282	6.32
1084.1598	19570	6.09
1088.2328	23803	7.41
1089.9469	17063	5.31
1091.5621	21004	6.54
1097.4799	16891	5.26
1099.3192	20615	6.42
1102.6082	21815	6.79
1105.6731	20676	6.44
1107.6160	24245	7.55
1109.7531	16413	5.11
1112.7462	17942	5.59
1115.0493	25350	7.89
1123.4744	21949	6.83
1130.1970	22323	6.95
1132.1482	20265	6.31
1139.3018	20112	6.26
1141.3489	21136	6.58
1143.2146	16724	5.21
1147.7428	36215	11.28
1155.3956	17025	5.30
1158.1343	20820	6.48
1164.8409	16670	5.19
1166.9858	24350	7.58
1170.3424	21592	6.72
1173.9757	22109	6.88
1175.9480	16676	5.19
1178.9039	21545	6.71
1184.6969	17918	5.58
1186.7009	21396	6.66
1190.0724	22626	7.04
1195.6193	17671	5.50
1198.7108	20799	6.48
1201.7189	24061	7.49
1206.2732	18908	5.89
1211.4569	18352	5.71
1213.4617	17940	5.59
1225.8403	21202	6.60
1240.2412	16141	5.03
1244.4578	19638	6.11
1257.3981	18440	5.74
1259.6331	18687	5.82
1262.1583	22573	7.03
1267.9282	16110	5.02
1287.1799	22314	6.95
1293.0948	23907	7.44
1303.8781	16200	5.04
1308.0959	18824	5.86
1311.6074	18427	5.74
1318.3284	20600	6.41
1320.6381	20116	6.26
1331.5494	16081	5.01
1333.4968	17155	5.34
1338.6216	17733	5.52
1344.0947	16652	5.18
1346.3182	19430	6.05
1348.8597	16843	5.24
1350.6431	16272	5.07
1353.4705	19022	5.92
1357.5417	20328	6.33
1360.4109	18395	5.73
1362.4702	19187	5.97
1366.6077	30138	9.38
1369.2742	20331	6.33
1371.4058	18883	5.88
1373.3795	18914	5.89
1375.4119	18955	5.90
1378.8483	17138	5.34
1384.8229	20127	6.27
1388.6204	24206	7.54
1393.5902	17897	5.57
1395.5820	21174	6.59
1397.6349	18993	5.91
1400.8246	16230	5.05
1407.3917	22641	7.05
1415.7550	19925	6.20
1417.7882	19546	6.09
1421.2500	24165	7.52
1424.1342	19170	5.97
1428.5419	21538	6.71
1430.9391	22769	7.09
1433.0856	16610	5.17
1443.6567	17150	5.34
1448.4994	17578	5.47
1454.6350	19026	5.92
1459.3990	17467	5.44
1464.0161	23768	7.40
1468.2832	18776	5.85
1482.6152	16816	5.24
1505.8027	21298	6.63
1509.2972	16707	5.20
1540.9994	26743	8.33

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	13248	1.0279
10.3982	13179	1.0226
10.4982	12949	1.0047
10.5982	12673	0.9833
10.6982	12466	0.9672
10.7982	12351	0.9583
10.8982	12351	0.9583
10.9982	12489	0.9690
