[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_M_062_C_32210_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:14:00

[MS Spectrum]
# of Peaks	407
Raw Spectrum	[0.917->4.358],(scan:[111->524])
Background	No Background Spectrum
Base Peak	m/z 203.26 (Inten : 336,507)
m/z	Absolute Intensity	Relative Intensity
104.2262	310295	92.21
105.2402	17184	5.11
112.1701	18646	5.54
129.1860	16933	5.03
132.1448	26185	7.78
146.2337	92821	27.58
147.2089	27313	8.12
154.0749	24423	7.26
156.0680	42921	12.75
159.0160	17352	5.16
162.1394	110995	32.98
163.9876	22683	6.74
170.0546	68992	20.50
175.0809	112784	33.52
177.0217	17296	5.14
184.1399	24204	7.19
185.0704	34633	10.29
188.1801	39852	11.84
200.0912	40184	11.94
201.9191	21194	6.30
203.2551	336507	100.00
204.1453	161110	47.88
205.1485	18973	5.64
207.0877	17813	5.29
219.0186	31034	9.22
221.0983	23081	6.86
233.0967	20317	6.04
242.0698	24059	7.15
245.2010	36045	10.71
255.1046	17879	5.31
261.0491	20779	6.17
271.1655	53720	15.96
287.1837	127818	37.98
288.2715	22939	6.82
307.0055	48988	14.56
309.0891	17238	5.12
311.0851	19318	5.74
317.0811	19591	5.82
325.1853	18030	5.36
327.1505	21939	6.52
341.2288	22698	6.75
355.2025	24765	7.36
357.1865	29713	8.83
369.2723	22796	6.77
371.2095	47567	14.14
372.2580	20184	6.00
385.2608	40147	11.93
399.2404	33459	9.94
400.2622	22440	6.67
401.2027	32415	9.63
413.2892	21566	6.41
415.2424	48795	14.50
425.1122	38167	11.34
426.2332	20243	6.02
429.2664	49535	14.72
443.2604	21579	6.41
445.2669	18659	5.54
459.2879	27625	8.21
473.3394	22982	6.83
503.3267	18027	5.36
517.3313	18017	5.35
518.3225	24810	7.37
529.4179	36158	10.75
534.3094	38062	11.31
560.3316	24848	7.38
561.3860	21462	6.38
562.3688	17973	5.34
564.8910	18467	5.49
567.8421	21693	6.45
570.7012	18194	5.41
573.5447	17125	5.09
577.4348	18932	5.63
579.7983	19813	5.89
582.5966	23034	6.85
585.6711	20888	6.21
591.3091	20371	6.05
594.5718	24539	7.29
597.2438	26268	7.81
599.9041	25014	7.43
603.3377	19339	5.75
605.2438	25665	7.63
609.0585	26517	7.88
612.1205	35811	10.64
614.9692	24214	7.20
617.6368	22887	6.80
621.0377	31419	9.34
623.5388	31633	9.40
626.7583	28380	8.43
629.5803	33946	10.09
632.9858	31813	9.45
635.5330	28603	8.50
638.3965	38947	11.57
641.4164	30021	8.92
643.8062	22465	6.68
647.3995	27364	8.13
649.2444	21931	6.52
650.8023	27280	8.11
652.9919	24971	7.42
656.0252	36283	10.78
659.4831	38521	11.45
661.7337	20745	6.16
665.0598	30911	9.19
667.5296	36243	10.77
670.9354	33494	9.95
673.7946	28519	8.48
677.1434	33571	9.98
679.4161	18603	5.53
682.4413	41083	12.21
685.5280	30855	9.17
687.5321	23225	6.90
689.5329	20548	6.11
691.2672	27248	8.10
693.3068	25888	7.69
694.5741	17085	5.08
696.7323	26500	7.88
700.2689	40323	11.98
703.5124	29152	8.66
705.8364	19840	5.90
709.1608	24344	7.23
711.5443	39735	11.81
715.1313	29298	8.71
718.3141	28571	8.49
721.6157	44685	13.28
725.6079	29771	8.85
726.5794	26235	7.80
729.3689	32478	9.65
732.7927	36823	10.94
737.2589	29356	8.72
741.5368	48179	14.32
742.5731	27205	8.08
744.5248	32142	9.55
748.0864	27287	8.11
754.5099	24488	7.28
755.4401	20099	5.97
756.4994	37342	11.10
757.5415	17187	5.11
758.5843	32183	9.56
759.5196	22185	6.59
760.5469	30416	9.04
761.5974	19613	5.83
766.4271	23900	7.10
768.5581	17909	5.32
770.4857	51147	15.20
771.4961	19758	5.87
772.5479	64082	19.04
773.5441	32685	9.71
774.5348	17609	5.23
777.0601	24984	7.42
780.5706	56268	16.72
781.5031	35804	10.64
782.5379	93055	27.65
783.5661	47246	14.04
784.5864	40826	12.13
786.5532	24613	7.31
788.4985	27320	8.12
792.4910	17978	5.34
794.5208	21765	6.47
796.5366	102897	30.58
797.5084	49842	14.81
798.5397	160192	47.60
799.5422	79186	23.53
800.5400	39163	11.64
802.5593	19548	5.81
804.5262	48570	14.43
805.5481	25683	7.63
806.5338	46236	13.74
807.5435	22465	6.68
808.5617	44125	13.11
809.5504	27046	8.04
810.5272	32829	9.76
811.5713	17091	5.08
814.5630	20104	5.97
818.4883	21283	6.32
820.5497	88116	26.19
821.5345	47236	14.04
822.5210	72498	21.54
823.5506	35862	10.66
824.5569	80051	23.79
825.5642	47269	14.05
826.5917	39672	11.79
827.5928	17595	5.23
828.5234	24045	7.15
830.5095	24472	7.27
832.5097	30747	9.14
834.5469	17175	5.10
844.5143	30017	8.92
846.5276	37916	11.27
847.5356	22055	6.55
848.5336	34646	10.30
849.5840	20633	6.13
850.5764	20361	6.05
852.6061	17321	5.15
906.1514	18215	5.41
911.5124	24036	7.14
920.1876	22002	6.54
928.0591	18256	5.43
