[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_068_C_32296_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:30:26

[MS Spectrum]
# of Peaks	254
Raw Spectrum	[0.925->1.983],(scan:[112->239])
Background	No Background Spectrum
Base Peak	m/z 798.51 (Inten : 336,599)
m/z	Absolute Intensity	Relative Intensity
85.1437	20995	6.24
93.2184	46108	13.70
104.2307	301760	89.65
105.2354	17905	5.32
112.0949	18144	5.39
146.2396	17036	5.06
147.1804	18541	5.51
156.0771	18578	5.52
163.9957	40322	11.98
166.0631	18440	5.48
170.0573	39531	11.74
173.0706	22971	6.82
175.0637	85635	25.44
185.0900	20011	5.95
194.0878	18116	5.38
201.9326	17025	5.06
203.2277	43508	12.93
204.0866	24730	7.35
221.1652	21388	6.35
233.0962	17741	5.27
243.1198	21168	6.29
255.1056	30978	9.20
261.0572	21184	6.29
271.1586	32612	9.69
287.1393	118876	35.32
288.2007	20818	6.18
296.0506	31956	9.49
307.0016	24067	7.15
317.0715	18657	5.54
325.1494	18550	5.51
371.1843	20728	6.16
384.1571	17994	5.35
385.2653	24423	7.26
401.1528	19661	5.84
415.2299	34022	10.11
425.1022	41617	12.36
429.2511	44840	13.32
459.2816	42385	12.59
473.3281	30922	9.19
503.3205	30503	9.06
517.3727	33731	10.02
523.5536	23168	6.88
527.0830	25830	7.67
529.3198	20686	6.15
534.2525	18292	5.43
538.9093	18916	5.62
541.5361	27078	8.04
545.0143	27024	8.03
547.3082	28553	8.48
548.7899	23557	7.00
550.5822	20329	6.04
553.5900	30040	8.92
555.7642	22576	6.71
557.6055	30632	9.10
559.2062	17832	5.30
560.9101	37321	11.09
563.0020	49571	14.73
565.3326	17845	5.30
567.9481	38469	11.43
571.4201	60332	17.92
575.1431	30923	9.19
577.4083	62331	18.52
580.2041	49056	14.57
582.7857	41527	12.34
585.5992	55145	16.38
589.2310	71851	21.35
591.3086	28336	8.42
592.8014	35239	10.47
594.4863	39692	11.79
597.5913	63826	18.96
599.9546	37433	11.12
603.0508	48998	14.56
605.1013	35319	10.49
606.8541	73571	21.86
609.0846	23264	6.91
611.9446	51001	15.15
615.4347	76564	22.75
617.6216	21809	6.48
621.2767	58490	17.38
624.1119	57180	16.99
626.9478	41095	12.21
629.4860	62160	18.47
633.1823	78273	23.25
635.3284	25202	7.49
638.1484	67091	19.93
641.7220	63888	18.98
644.0779	27080	8.05
647.3217	42530	12.64
650.6845	72491	21.54
652.7800	25025	7.43
656.0413	61498	18.27
659.7172	91782	27.27
664.7893	66898	19.87
667.9749	67791	20.14
671.1855	45436	13.50
673.4980	49219	14.62
675.2603	17377	5.16
677.3161	72213	21.45
679.3671	18935	5.63
682.3615	56081	16.66
685.8072	50390	14.97
687.6141	16903	5.02
