[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130618_MEC_M_078_C_32308_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:38:52

[MS Spectrum]
# of Peaks	105
Raw Spectrum	[0.925->2.417],(scan:[112->291])
Background	No Background Spectrum
Base Peak	m/z 104.22 (Inten : 774,515)
m/z	Absolute Intensity	Relative Intensity
104.2210	774515	100.00
105.2419	40225	5.19
162.1361	50090	6.47
170.0499	39046	5.04
175.0583	69024	8.91
188.1752	39410	5.09
203.2048	50247	6.49
204.0809	90193	11.65
245.2036	47338	6.11
271.1639	92471	11.94
287.2001	273582	35.32
288.2549	46817	6.04
306.9955	54992	7.10
369.2684	44971	5.81
371.2103	67735	8.75
385.2109	70817	9.14
399.2934	56818	7.34
400.2948	49830	6.43
413.2632	68155	8.80
415.2188	45363	5.86
425.1147	50745	6.55
429.2329	123221	15.91
529.3375	41666	5.38
555.4351	45043	5.82
564.9878	48464	6.26
567.6406	54360	7.02
573.2650	53949	6.97
585.3047	53080	6.85
591.3644	40564	5.24
594.2463	58743	7.58
599.5537	72802	9.40
605.1445	64893	8.38
607.9861	55176	7.12
611.6435	70222	9.07
617.3243	64222	8.29
621.0387	49208	6.35
625.6462	39898	5.15
629.4860	71098	9.18
633.3239	56184	7.25
635.4005	41179	5.32
637.6533	45609	5.89
643.1888	48015	6.20
649.1913	48466	6.26
651.8265	94193	12.16
655.6332	73805	9.53
661.6522	48235	6.23
673.3167	60866	7.86
675.2174	49141	6.34
679.2365	42366	5.47
682.1956	44766	5.78
693.2231	52114	6.73
695.4533	69205	8.94
703.5508	56075	7.24
704.5881	40692	5.25
709.8761	44249	5.71
717.0419	43346	5.60
721.3344	55130	7.12
725.5392	44520	5.75
732.2797	63208	8.16
741.5138	53439	6.90
744.5157	43275	5.59
750.0081	39565	5.11
754.4741	50093	6.47
756.5360	43449	5.61
758.5615	88903	11.48
759.5129	49508	6.39
760.5643	151148	19.52
761.5825	80690	10.42
770.4907	64419	8.32
772.4894	57608	7.44
776.5652	58717	7.58
780.5518	95956	12.39
781.5099	57874	7.47
782.5461	174951	22.59
783.5585	89048	11.50
784.5829	74219	9.58
786.5623	74711	9.65
787.5427	43915	5.67
788.5678	60152	7.77
796.5368	109781	14.17
797.5136	52530	6.78
798.5315	189856	24.51
799.5425	93811	12.11
800.5763	48027	6.20
804.5036	49096	6.34
806.5112	63916	8.25
808.5622	80627	10.41
809.5470	48110	6.21
810.5420	63974	8.26
818.5010	40081	5.17
820.5112	52887	6.83
822.5076	58187	7.51
824.5522	80548	10.40
825.5404	47763	6.17
826.5372	54334	7.02
846.5200	39388	5.09
935.5266	40918	5.28
940.7728	46704	6.03
965.3706	45389	5.86
970.1180	42500	5.49
1013.9739	62035	8.01
1028.6826	47031	6.07
1072.9412	55413	7.15
1087.4624	43345	5.60
1130.5033	51508	6.65

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	14820	0.3722
10.3982	14670	0.3684
10.4982	14640	0.3677
10.5982	14670	0.3684
10.6982	14670	0.3684
10.7982	14670	0.3684
10.8982	14670	0.3684
10.9982	14700	0.3692
11.0982	14910	0.3744
11.1982	15360	0.3857
11.2982	15990	0.4016
11.3982	16680	0.4189
11.4982	17130	0.4302
11.5982	17160	0.4310
11.6982	16800	0.4219
11.7982	16200	0.4068
11.8982	15600	0.3918
11.9982	15180	0.3812
12.0982	15060	0.3782
12.1982	15120	0.3797
12.2982	15240	0.3827
12.3982	15450	0.3880
12.4982	15810	0.3970
12.5982	16230	0.4076
12.6982	16500	0.4144
12.7982	16560	0.4159
12.8982	16470	0.4136
12.9982	16350	0.4106
13.0982	16320	0.4099
13.1982	16470	0.4136
13.2982	16800	0.4219
13.3982	17010	0.4272
13.4982	17130	0.4302
13.5982	17370	0.4362
13.6982	18030	0.4528
13.7982	18930	0.4754
13.8982	19740	0.4957
13.9982	20130	0.5055
14.0982	20070	0.5040
14.1982	19590	0.4920
14.2982	18870	0.4739
14.3982	18270	0.4588
14.4982	18030	0.4528
14.5982	18000	0.4520
14.6982	17910	0.4498
14.7982	17700	0.4445
14.8982	17580	0.4415
14.9982	17640	0.4430
15.0982	17850	0.4483
15.1982	18030	0.4528
15.2982	18120	0.4551
15.3982	18030	0.4528
15.4982	17640	0.4430
15.5982	16950	0.4257
15.6982	16140	0.4053
15.7982	15450	0.3880
15.8982	15060	0.3782
15.9982	15000	0.3767
16.0982	15300	0.3842
16.1982	15810	0.3970
16.2982	16380	0.4114
16.3982	16980	0.4264
16.4982	17820	0.4475
16.5982	18840	0.4731
16.6982	19950	0.5010
16.7982	20940	0.5259
16.8982	21570	0.5417
16.9982	21510	0.5402
17.0982	20610	0.5176
17.1982	19170	0.4814
17.2982	17640	0.4430
17.3982	16380	0.4114
17.4982	15870	0.3986
17.5982	16260	0.4083
17.6982	17250	0.4332
17.7982	18120	0.4551
17.8982	18570	0.4664
17.9982	18690	0.4694
18.0982	18690	0.4694
18.1982	18660	0.4686
18.2982	18600	0.4671
18.3982	18480	0.4641
18.4982	18150	0.4558
18.5982	17430	0.4377
18.6982	16590	0.4166
18.7982	15960	0.4008
18.8982	15750	0.3955
18.9982	15720	0.3948
19.0982	15540	0.3903
19.1982	15300	0.3842
19.2982	15270	0.3835
19.3982	15750	0.3955
19.4982	16770	0.4212
19.5982	17940	0.4505
19.6982	18810	0.4724
19.7982	19110	0.4799
19.8982	18780	0.4716
19.9982	18030	0.4528
20.0982	17190	0.4317
20.1982	16620	0.4174
20.2982	16440	0.4129
20.3982	16440	0.4129
20.4982	16440	0.4129
20.5982	16380	0.4114
20.6982	16320	0.4099
20.7982	16320	0.4099
20.8982	16320	0.4099
20.9982	16350	0.4106
21.0982	16260	0.4083
21.1982	16020	0.4023
21.2982	15780	0.3963
21.3982	15690	0.3940
21.4982	15780	0.3963
21.5982	16050	0.4031
21.6982	16560	0.4159
21.7982	17190	0.4317
21.8982	17610	0.4423
21.9982	17700	0.4445
22.0982	17400	0.4370
22.1982	16860	0.4234
22.2982	16140	0.4053
22.3982	15450	0.3880
22.4982	15060	0.3782
22.5982	15000	0.3767
22.6982	15030	0.3775
22.7982	15000	0.3767
22.8982	15000	0.3767
22.9982	15120	0.3797
23.0982	15330	0.3850
23.1982	15540	0.3903
23.2982	15660	0.3933
23.3982	15630	0.3925
23.4982	15450	0.3880
23.5982	15090	0.3790
23.6982	14700	0.3692
23.7982	14580	0.3662
23.8982	14910	0.3744
23.9982	15600	0.3918
24.0982	16380	0.4114
24.1982	16950	0.4257
24.2982	17190	0.4317
24.3982	17100	0.4294
24.4982	16740	0.4204
24.5982	16290	0.4091
24.6982	15960	0.4008
24.7982	15870	0.3986
24.8982	15960	0.4008
24.9982	16080	0.4038
25.0982	16230	0.4076
25.1982	16380	0.4114
25.2982	16440	0.4129
25.3982	16470	0.4136
25.4982	16500	0.4144
25.5982	16650	0.4181
25.6982	16860	0.4234
25.7982	16950	0.4257
25.8982	16740	0.4204
25.9982	16230	0.4076
26.0982	15540	0.3903
26.1982	14970	0.3760
26.2982	14820	0.3722
26.3982	15090	0.3790
26.4982	15600	0.3918
26.5982	16050	0.4031
26.6982	16200	0.4068
26.7982	16020	0.4023
26.8982	15630	0.3925
26.9982	15270	0.3835
27.0982	15150	0.3805
27.1982	15270	0.3835
27.2982	15510	0.3895
27.3982	15720	0.3948
27.4982	15960	0.4008
27.5982	16260	0.4083
27.6982	16620	0.4174
27.7982	16890	0.4242
27.8982	16980	0.4264
27.9982	16830	0.4227
28.0982	16410	0.4121
28.1982	15840	0.3978
28.2982	15300	0.3842
28.3982	15060	0.3782
28.4982	15240	0.3827
28.5982	15720	0.3948
28.6982	16290	0.4091
28.7982	16650	0.4181
28.8982	16710	0.4196
28.9982	16410	0.4121
29.0982	15810	0.3970
29.1982	15150	0.3805
29.2982	14700	0.3692
29.3982	14580	0.3662
29.4982	14610	0.3669
29.5982	14640	0.3677
29.6982	14640	0.3677
29.7982	14700	0.3692
29.8982	14880	0.3737
29.9982	15180	0.3812
30.0982	15540	0.3903
30.1982	15810	0.3970
30.2982	16020	0.4023
30.3982	16320	0.4099
30.4982	16740	0.4204
30.5982	17130	0.4302
30.6982	17310	0.4347
30.7982	17160	0.4310
30.8982	16680	0.4189
30.9982	15930	0.4001
31.0982	15180	0.3812
31.1982	14700	0.3692
