[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_058_C_32292_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:27:56

[MS Spectrum]
# of Peaks	79
Raw Spectrum	[0.900->2.900],(scan:[109->349])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 589,151)
m/z	Absolute Intensity	Relative Intensity
104.2259	589151	100.00
105.2495	31901	5.41
146.2309	128182	21.76
156.0763	48366	8.21
162.1417	55731	9.46
170.0594	64442	10.94
175.0541	89536	15.20
188.1746	35420	6.01
203.2321	181047	30.73
204.1051	109284	18.55
219.0199	31545	5.35
221.1481	30337	5.15
271.1672	105623	17.93
287.1608	175398	29.77
307.0087	51663	8.77
327.1594	34871	5.92
341.2233	37977	6.45
355.1996	37247	6.32
357.1524	33394	5.67
369.2617	40280	6.84
371.2047	68570	11.64
385.2416	67219	11.41
399.2130	43938	7.46
413.2986	37844	6.42
415.2364	63627	10.80
425.1028	56811	9.64
429.2578	78940	13.40
529.3895	34311	5.82
534.2738	35558	6.04
645.3894	30410	5.16
659.1650	30059	5.10
675.2416	33022	5.61
701.2656	30487	5.17
725.5183	31358	5.32
741.5333	45614	7.74
754.4786	35218	5.98
760.5562	36742	6.24
770.4802	41783	7.09
780.5125	48723	8.27
781.4688	36099	6.13
782.5424	96672	16.41
783.5558	50346	8.55
784.5920	38257	6.49
796.5408	85288	14.48
797.5089	44017	7.47
798.5249	156690	26.60
799.5452	75293	12.78
800.5782	39444	6.70
804.5020	34667	5.88
806.5049	42766	7.26
808.5299	58210	9.88
809.5447	31203	5.30
810.5792	34667	5.88
820.4794	37079	6.29
822.5235	52012	8.83
824.5533	76108	12.92
825.5699	44622	7.57
826.6051	42198	7.16
846.5109	30130	5.11
848.5438	29541	5.01
963.7830	30436	5.17
969.8771	29798	5.06
1029.5159	29787	5.06
1032.5170	38221	6.49
1044.9919	31868	5.41
1064.9456	30366	5.15
1087.5221	30330	5.15
1092.6129	38242	6.49
1095.4105	35137	5.96
1099.9980	34196	5.80
1103.7928	30841	5.23
1110.2682	33522	5.69
1112.9564	39604	6.72
1124.1398	29934	5.08
1128.8003	36975	6.28
1151.9109	33748	5.73
1154.6133	30947	5.25
1345.0115	33447	5.68
1369.7626	33880	5.75

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	11319	0.5277
10.3982	11676	0.5443
10.4982	11949	0.5570
10.5982	12096	0.5639
10.6982	12075	0.5629
10.7982	11886	0.5541
10.8982	11508	0.5365
10.9982	11088	0.5169
11.0982	10752	0.5012
11.1982	10605	0.4944
11.2982	10710	0.4993
11.3982	10983	0.5120
11.4982	11235	0.5237
11.5982	11382	0.5306
11.6982	11466	0.5345
11.7982	11592	0.5404
11.8982	11760	0.5482
11.9982	12012	0.5600
12.0982	12369	0.5766
12.1982	12726	0.5932
12.2982	12873	0.6001
12.3982	12726	0.5932
12.4982	12537	0.5844
12.5982	12495	0.5825
12.6982	12579	0.5864
12.7982	12684	0.5913
12.8982	12726	0.5932
12.9982	12789	0.5962
13.0982	12873	0.6001
13.1982	12978	0.6050
13.2982	13062	0.6089
13.3982	13167	0.6138
13.4982	13293	0.6197
13.5982	13377	0.6236
13.6982	13398	0.6246
13.7982	13545	0.6314
13.8982	13839	0.6451
13.9982	14070	0.6559
14.0982	14007	0.6530
14.1982	13671	0.6373
14.2982	13314	0.6207
14.3982	13104	0.6109
14.4982	13020	0.6070
14.5982	13020	0.6070
14.6982	12999	0.6060
14.7982	12936	0.6030
14.8982	13062	0.6089
14.9982	13650	0.6363
15.0982	14763	0.6882
15.1982	16149	0.7528
15.2982	17283	0.8057
15.3982	17661	0.8233
15.4982	17094	0.7969
15.5982	15918	0.7420
15.6982	14805	0.6902
15.7982	14133	0.6588
15.8982	13944	0.6500
15.9982	14028	0.6539
16.0982	14154	0.6598
16.1982	14112	0.6579
16.2982	13860	0.6461
16.3982	13461	0.6275
16.4982	13104	0.6109
16.5982	12936	0.6030
16.6982	12894	0.6011
16.7982	12894	0.6011
16.8982	12999	0.6060
16.9982	13251	0.6177
17.0982	13587	0.6334
17.1982	13776	0.6422
17.2982	13734	0.6402
17.3982	13503	0.6295
17.4982	13167	0.6138
17.5982	12747	0.5942
17.6982	12285	0.5727
17.7982	11949	0.5570
17.8982	11718	0.5463
17.9982	11466	0.5345
18.0982	11088	0.5169
18.1982	10710	0.4993
18.2982	10542	0.4914
18.3982	10836	0.5051
18.4982	11676	0.5443
18.5982	12936	0.6030
18.6982	14154	0.6598
18.7982	14931	0.6960
18.8982	14973	0.6980
18.9982	14280	0.6657
19.0982	13104	0.6109
19.1982	11907	0.5551
19.2982	11025	0.5140
19.3982	10584	0.4934
19.4982	10458	0.4875
19.5982	10563	0.4924
19.6982	10773	0.5022
19.7982	10983	0.5120
19.8982	11088	0.5169
19.9982	11067	0.5159
20.0982	10941	0.5100
20.1982	10815	0.5042
20.2982	10731	0.5002
20.3982	10689	0.4983
20.4982	10647	0.4963
20.5982	10605	0.4944
20.6982	10500	0.4895
20.7982	10395	0.4846
20.8982	10290	0.4797
20.9982	10269	0.4787
21.0982	10290	0.4797
21.1982	10290	0.4797
21.2982	10269	0.4787
21.3982	10311	0.4807
21.4982	10395	0.4846
21.5982	10563	0.4924
21.6982	10710	0.4993
21.7982	10815	0.5042
21.8982	10836	0.5051
21.9982	10836	0.5051
22.0982	10899	0.5081
22.1982	10983	0.5120
22.2982	11088	0.5169
22.3982	11088	0.5169
22.4982	10962	0.5110
22.5982	10731	0.5002
22.6982	10500	0.4895
22.7982	10395	0.4846
22.8982	10395	0.4846
22.9982	10500	0.4895
23.0982	10626	0.4953
23.1982	10773	0.5022
23.2982	10920	0.5091
23.3982	11004	0.5130
23.4982	11004	0.5130
23.5982	10941	0.5100
23.6982	10857	0.5061
23.7982	10731	0.5002
23.8982	10584	0.4934
23.9982	10479	0.4885
24.0982	10500	0.4895
24.1982	10626	0.4953
24.2982	10794	0.5032
24.3982	10920	0.5091
24.4982	10983	0.5120
24.5982	10920	0.5091
24.6982	10731	0.5002
24.7982	10500	0.4895
24.8982	10353	0.4826
24.9982	10374	0.4836
25.0982	10584	0.4934
25.1982	10815	0.5042
25.2982	10941	0.5100
25.3982	10962	0.5110
25.4982	10878	0.5071
25.5982	10752	0.5012
25.6982	10647	0.4963
25.7982	10605	0.4944
25.8982	10605	0.4944
25.9982	10584	0.4934
26.0982	10521	0.4905
26.1982	10479	0.4885
26.2982	10563	0.4924
26.3982	10752	0.5012
26.4982	10962	0.5110
26.5982	11109	0.5179
26.6982	11151	0.5198
26.7982	11130	0.5188
26.8982	11067	0.5159
26.9982	10962	0.5110
27.0982	10836	0.5051
27.1982	10710	0.4993
27.2982	10542	0.4914
27.3982	10374	0.4836
27.4982	10269	0.4787
27.5982	10227	0.4767
27.6982	10269	0.4787
27.7982	10416	0.4856
27.8982	10647	0.4963
27.9982	10920	0.5091
28.0982	11067	0.5159
28.1982	11067	0.5159
28.2982	10899	0.5081
28.3982	10647	0.4963
28.4982	10416	0.4856
28.5982	10311	0.4807
28.6982	10332	0.4816
28.7982	10374	0.4836
28.8982	10353	0.4826
28.9982	10311	0.4807
29.0982	10227	0.4767
29.1982	10164	0.4738
29.2982	10122	0.4719
29.3982	10185	0.4748
29.4982	10290	0.4797
29.5982	10458	0.4875
29.6982	10605	0.4944
29.7982	10731	0.5002
29.8982	10899	0.5081
29.9982	11109	0.5179
