[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_F_061_C_32286_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:25:10

[MS Spectrum]
# of Peaks	390
Raw Spectrum	[1.908->3.483],(scan:[230->419])
Background	No Background Spectrum
Base Peak	m/z 798.55 (Inten : 389,051)
m/z	Absolute Intensity	Relative Intensity
985.0088	71353	18.34
988.3938	22599	5.81
994.4806	46100	11.85
999.6014	71669	18.42
1003.4278	25156	6.47
1008.7571	45900	11.80
1014.1691	76083	19.56
1018.6889	20270	5.21
1020.7265	23348	6.00
1023.2914	41739	10.73
1025.4727	23065	5.93
1028.9762	77000	19.79
1032.4798	27181	6.99
1037.8375	49257	12.66
1043.5868	83787	21.54
1048.1531	32572	8.37
1050.3519	24797	6.37
1052.7346	39016	10.03
1054.9055	22419	5.76
1058.3425	81036	20.83
1061.7117	26893	6.91
1065.0881	26667	6.85
1067.2111	28513	7.33
1072.9353	81594	20.97
1077.2206	27325	7.02
1082.0497	33505	8.61
1083.8685	24737	6.36
1087.4106	88814	22.83
1090.0513	23100	5.94
1091.6490	20621	5.30
1096.3699	40956	10.53
1102.2920	87538	22.50
1105.3068	23782	6.11
1107.3059	28742	7.39
1109.3416	24014	6.17
1111.3845	34887	8.97
1116.9225	63469	16.31
1119.9449	21299	5.47
1121.6897	28173	7.24
1123.6322	25755	6.62
1125.9847	41249	10.60
1128.1902	24166	6.21
1131.7941	62296	16.01
1134.3761	30381	7.81
1139.5897	31266	8.04
1141.2759	22756	5.85
1146.4094	48780	12.54
1149.4209	36924	9.49
1153.4403	21132	5.43
1156.4064	23611	6.07
1160.5281	37553	9.65
1163.4113	21293	5.47
1167.8788	24520	6.30
1171.2750	28906	7.43
1173.1907	21340	5.49
1175.7294	49535	12.73
1184.5737	45758	11.76
1187.4822	22524	5.79
1189.6298	28461	7.32
1192.8890	24025	6.18
1197.3000	22337	5.74
1199.9197	21048	5.41
1205.0326	31318	8.05
1209.3257	23675	6.09
1219.4387	24463	6.29
1223.9705	20252	5.21
1226.0878	22271	5.72
1229.3369	24156	6.21
1234.6262	31798	8.17
1237.1094	21091	5.42
1239.2242	26682	6.86
1245.1444	25204	6.48
1249.1130	34693	8.92
1259.0430	32583	8.37
1262.2698	19586	5.03
1264.3806	26841	6.90
1273.5303	26330	6.77
1277.3536	22228	5.71
1281.2607	36741	9.44
1289.0850	24132	6.20
1293.1527	25268	6.49
1303.7371	45690	11.74
1309.6947	24173	6.21
1313.5305	19883	5.11
1317.2865	23444	6.03
1322.5574	33024	8.49
1325.4507	43662	11.22
1339.3818	28708	7.38
1341.7898	26748	6.88
1344.1400	22881	5.88
1347.8527	64619	16.61
1353.2560	21586	5.55
1360.7539	26698	6.86
1369.4106	73492	18.89
1372.4857	20364	5.23
1375.6305	21601	5.55
1377.3802	20622	5.30
1380.5597	21138	5.43
1383.5651	33943	8.72
1385.9944	20882	5.37
1387.9231	20911	5.37
1391.6123	70279	18.06
1395.8448	22092	5.68
1399.2319	21624	5.56
1406.7162	19727	5.07
1408.4502	20138	5.18
1410.3048	20322	5.22
1413.5736	68776	17.68
1430.0798	19582	5.03
1435.3608	68757	17.67
1439.1346	25176	6.47
1441.5369	28167	7.24
1449.2797	28967	7.45
1452.1359	20729	5.33
1454.1422	22543	5.79
1457.5370	74375	19.12
1471.8361	28332	7.28
1479.3444	51464	13.23
1483.6501	26711	6.87
1486.3065	26638	6.85
1490.1023	30962	7.96
1493.5500	27357	7.03
1498.2751	19636	5.05
