[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_M_070_C_32206_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:06:24

[MS Spectrum]
# of Peaks	692
Raw Spectrum	[5.208->6.033],(scan:[626->725])
Background	No Background Spectrum
Base Peak	m/z 798.54 (Inten : 211,348)
m/z	Absolute Intensity	Relative Intensity
104.2314	163013	77.13
112.1669	30052	14.22
132.1362	14428	6.83
137.1366	10843	5.13
146.2361	88297	41.78
147.2766	19127	9.05
156.0726	30915	14.63
162.1425	32082	15.18
170.0546	22795	10.79
175.0901	52853	25.01
185.0641	12894	6.10
188.1654	16162	7.65
203.2283	165991	78.54
204.1542	58587	27.72
230.2571	21444	10.15
245.1894	14079	6.66
247.1983	14688	6.95
271.1830	34027	16.10
287.1635	38752	18.34
288.2688	17420	8.24
304.2448	14048	6.65
307.0154	21194	10.03
311.1808	17215	8.15
313.1781	11150	5.28
317.0701	14544	6.88
320.2010	13505	6.39
325.2624	18024	8.53
326.2265	10987	5.20
327.1507	22324	10.56
328.3224	13724	6.49
341.2424	29647	14.03
343.2275	12165	5.76
354.1616	14222	6.73
355.2274	35778	16.93
357.1595	22572	10.68
360.3027	19582	9.27
367.2191	11510	5.45
369.2920	53687	25.40
370.2760	40219	19.03
371.2155	57985	27.44
372.2956	40899	19.35
373.3342	14741	6.97
376.3170	28083	13.29
377.3148	12328	5.83
385.2494	71664	33.91
386.3051	19652	9.30
387.2870	14814	7.01
391.2277	11174	5.29
392.2570	13506	6.39
395.2348	10611	5.02
397.2270	10631	5.03
398.2749	21749	10.29
399.2385	45621	21.59
400.3445	85026	40.23
401.2843	41007	19.40
402.2952	12656	5.99
408.2732	21222	10.04
409.1823	23433	11.09
410.2924	12450	5.89
413.2932	56669	26.81
414.3001	25437	12.04
415.2350	60960	28.84
416.3091	21833	10.33
417.2871	15877	7.51
422.2761	11871	5.62
424.2573	39444	18.66
425.1288	77969	36.89
426.3105	74919	35.45
427.3207	32716	15.48
428.3247	52885	25.02
429.2446	107016	50.63
430.3061	30504	14.43
431.2572	19961	9.44
438.2675	11199	5.30
439.3318	12054	5.70
441.3479	25968	12.29
442.3058	17603	8.33
443.2676	36201	17.13
444.3332	17534	8.30
445.2795	19333	9.15
446.2576	11848	5.61
448.2704	11183	5.29
452.3535	15924	7.53
454.3882	29519	13.97
455.3623	22383	10.59
456.3233	14617	6.92
457.3137	38072	18.01
458.3477	11676	5.52
459.3008	41989	19.87
460.3489	15631	7.40
464.3084	10746	5.08
467.3274	11501	5.44
469.4131	19858	9.40
470.4251	11640	5.51
473.3300	38887	18.40
474.3196	14985	7.09
475.2798	12342	5.84
476.3251	13063	6.18
480.3416	13159	6.23
482.3879	17258	8.17
483.3828	13675	6.47
485.2826	14117	6.68
487.3189	17363	8.22
489.3396	11490	5.44
492.2715	11748	5.56
496.3616	29401	13.91
497.3478	15817	7.48
501.3560	21017	9.94
502.3479	15221	7.20
503.3082	25604	12.11
504.3231	23166	10.96
508.3269	11269	5.33
509.3242	12521	5.92
511.3348	13028	6.16
513.3481	11142	5.27
517.3275	29433	13.93
518.3131	76471	36.18
519.3962	25838	12.23
520.3943	26881	12.72
522.3768	18279	8.65
523.3688	16180	7.66
524.3781	13926	6.59
525.3807	11109	5.26
527.2433	23678	11.20
528.3232	11028	5.22
529.3762	21818	10.32
530.3879	16113	7.62
531.3804	15867	7.51
532.3737	13386	6.33
534.3269	93652	44.31
535.3873	29353	13.89
536.3950	22752	10.77
537.4136	11149	5.28
541.3116	10839	5.13
542.3466	16339	7.73
543.3250	10890	5.15
544.3558	30363	14.37
545.3495	20275	9.59
546.3556	31874	15.08
547.3736	26521	12.55
548.3777	15948	7.55
549.3695	11194	5.30
552.3563	13930	6.59
558.3328	18375	8.69
559.3160	11069	5.24
560.3716	47562	22.50
561.3642	34007	16.09
562.3295	44725	21.16
563.4036	17009	8.05
564.3967	11944	5.65
568.3052	15392	7.28
570.4106	12207	5.78
571.3905	11971	5.66
572.4020	10698	5.06
