[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130619_MEC_F_071_C_32314_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:41:33

[MS Spectrum]
# of Peaks	306
Raw Spectrum	[3.050->4.900],(scan:[367->589])
Background	No Background Spectrum
Base Peak	m/z 798.54 (Inten : 347,427)
m/z	Absolute Intensity	Relative Intensity
104.2321	231378	66.60
132.1468	28292	8.14
146.2320	53568	15.42
156.0735	40826	11.75
158.1897	26030	7.49
159.0769	18075	5.20
162.1430	48037	13.83
163.9910	19840	5.71
170.0573	65967	18.99
173.0732	23573	6.79
175.0585	68567	19.74
184.1382	19128	5.51
185.0731	25727	7.41
188.1989	51798	14.91
200.1172	21448	6.17
203.2287	73698	21.21
204.1081	62386	17.96
215.1797	20025	5.76
219.0124	29915	8.61
221.1606	30569	8.80
222.0275	32548	9.37
255.1085	19285	5.55
271.1694	56041	16.13
287.1551	100666	28.97
288.1993	18255	5.25
307.0034	20050	5.77
317.0784	18096	5.21
409.0763	23507	6.77
425.1194	37435	10.77
429.2432	46638	13.42
506.5290	18163	5.23
513.5837	18435	5.31
518.6561	26235	7.55
521.0887	38130	10.97
523.6846	32705	9.41
528.9371	46519	13.39
531.1325	33740	9.71
534.0585	33303	9.59
535.8912	38473	11.07
538.6704	48879	14.07
541.6032	40598	11.69
543.3212	38201	11.00
545.5024	54315	15.63
547.5999	47166	13.58
550.5802	58368	16.80
553.1847	65910	18.97
555.6163	59113	17.01
557.7165	50519	14.54
559.2006	36294	10.45
560.7118	61318	17.65
562.7903	69180	19.91
565.1359	69077	19.88
568.0070	81950	23.59
570.5955	80543	23.18
573.1812	86187	24.81
575.3346	45960	13.23
577.2579	117168	33.72
579.8926	81786	23.54
582.4793	107938	31.07
585.4097	106735	30.72
587.2872	45516	13.10
590.0090	51331	14.77
591.4166	69273	19.94
594.3262	118403	34.08
597.4788	104748	30.15
599.9441	107564	30.96
603.2909	92262	26.56
604.9390	56677	16.31
606.7982	102425	29.48
608.9335	81952	23.59
612.0388	127662	36.74
615.0468	113206	32.58
617.7178	63927	18.40
621.1234	131740	37.92
623.8347	120129	34.58
626.6836	100820	29.02
629.6420	134925	38.84
632.8665	101187	29.12
633.9982	20333	5.85
635.1960	86168	24.80
638.4133	134762	38.79
641.6713	118840	34.21
643.8928	90720	26.11
645.2181	34616	9.96
647.3532	120198	34.60
649.2982	17729	5.10
650.6050	110362	31.77
652.9097	74895	21.56
656.0760	156205	44.96
659.7217	159508	45.91
660.2982	22820	6.57
661.7611	63509	18.28
665.0256	121679	35.02
666.8982	18212	5.24
667.7552	153129	44.08
670.7108	125496	36.12
673.7463	144773	41.67
676.9230	85184	24.52
678.2277	73317	21.10
679.4985	53984	15.54
682.4549	140674	40.49
685.7437	114040	32.82
688.3982	17514	5.04
689.3177	77676	22.36
691.2919	87233	25.11
693.2982	23625	6.80
694.6729	85355	24.57
696.6042	74808	21.53
700.2616	160211	46.11
703.0982	20959	6.03
703.9335	168221	48.42
704.7982	23050	6.63
705.8290	52679	15.16
707.3292	42186	12.14
709.1868	80373	23.13
711.7969	148914	42.86
712.3982	18331	5.28
715.2225	110358	31.76
717.8018	94848	27.30
720.8982	19587	5.64
722.4709	117527	33.83
726.4136	147951	42.58
729.5206	88564	25.49
732.9181	117216	33.74
735.1536	57869	16.66
737.3390	91152	26.24
738.5764	41561	11.96
740.4437	41154	11.85
741.5143	48557	13.98
742.5884	36518	10.51
743.4982	25202	7.25
744.1404	155077	44.64
748.2029	117777	33.90
749.9050	27886	8.03
751.2480	34719	9.99
754.3982	19704	5.67
755.3864	73180	21.06
756.4889	55383	15.94
757.5008	22611	6.51
758.6279	97910	28.18
759.5139	81679	23.51
760.5393	93955	27.04
761.5956	56730	16.33
762.5235	37628	10.83
766.1142	109377	31.48
767.5622	20762	5.98
768.5331	30501	8.78
770.4568	136279	39.23
771.5300	35346	10.17
772.5123	76242	21.94
773.5513	43574	12.54
774.5336	23432	6.74
777.1664	75855	21.83
778.6173	22246	6.40
780.5915	121037	34.84
781.4935	82743	23.82
782.5012	175741	50.58
783.5432	79210	22.80
784.5468	101620	29.25
785.5722	35345	10.17
786.5745	68849	19.82
787.5982	23778	6.84
788.5086	82282	23.68
789.6506	20631	5.94
790.5790	20837	6.00
792.3875	86568	24.92
794.5049	46378	13.35
796.5256	253833	73.06
797.5075	121313	34.92
798.5386	347427	100.00
799.5309	171703	49.42
800.5206	72179	20.78
801.5750	23884	6.87
