[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_060_C_32290_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:26:40

[MS Spectrum]
# of Peaks	49
Raw Spectrum	[1.000->3.000],(scan:[121->361])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 716,362)
m/z	Absolute Intensity	Relative Intensity
104.2275	716362	100.00
105.2486	38239	5.34
146.2243	41603	5.81
162.1411	44221	6.17
170.0576	51459	7.18
175.0580	94515	13.19
203.2518	118022	16.48
204.1496	56792	7.93
219.0284	40818	5.70
221.1501	59126	8.25
271.1724	92433	12.90
287.1581	119345	16.66
307.0056	42590	5.95
371.2016	48309	6.74
385.2148	59169	8.26
399.2321	35904	5.01
413.2795	37255	5.20
415.2414	60017	8.38
425.1031	38715	5.40
429.2573	83801	11.70
459.2964	46396	6.48
473.3097	44377	6.19
534.3161	39478	5.51
758.5451	45176	6.31
760.5879	71725	10.01
770.5071	40687	5.68
772.5080	37916	5.29
780.5475	63470	8.86
781.5096	36282	5.06
782.5520	124414	17.37
783.5619	66343	9.26
784.5909	59653	8.33
786.5581	44868	6.26
796.5418	115985	16.19
797.5110	55532	7.75
798.5306	201334	28.11
799.5366	95534	13.34
800.5749	49148	6.86
804.5109	41717	5.82
806.5402	62764	8.76
808.5420	76024	10.61
809.5397	39223	5.48
810.5397	44722	6.24
820.5201	56358	7.87
822.5438	84970	11.86
823.5106	41783	5.83
824.5512	109669	15.31
825.5694	58268	8.13
826.5878	53177	7.42

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	3936	0.3971
10.3982	3920	0.3955
10.4982	3952	0.3987
10.5982	3984	0.4019
10.6982	4016	0.4052
10.7982	4040	0.4076
10.8982	4032	0.4068
10.9982	4000	0.4036
11.0982	3952	0.3987
11.1982	3912	0.3947
11.2982	3888	0.3923
11.3982	3888	0.3923
11.4982	3896	0.3931
11.5982	3920	0.3955
11.6982	3936	0.3971
11.7982	3952	0.3987
11.8982	3936	0.3971
11.9982	3904	0.3939
12.0982	3880	0.3915
12.1982	3952	0.3987
12.2982	4168	0.4205
12.3982	4472	0.4512
12.4982	4736	0.4778
12.5982	4904	0.4948
12.6982	4960	0.5004
12.7982	4904	0.4948
12.8982	4768	0.4810
12.9982	4640	0.4681
13.0982	4592	0.4633
13.1982	4624	0.4665
13.2982	4672	0.4714
13.3982	4688	0.4730
13.4982	4656	0.4697
13.5982	4576	0.4617
13.6982	4464	0.4504
13.7982	4376	0.4415
13.8982	4360	0.4399
13.9982	4384	0.4423
14.0982	4376	0.4415
14.1982	4312	0.4350
14.2982	4192	0.4229
14.3982	4080	0.4116
14.4982	4048	0.4084
14.5982	4168	0.4205
14.6982	4408	0.4447
14.7982	4720	0.4762
14.8982	5048	0.5093
14.9982	5344	0.5392
15.0982	5536	0.5585
15.1982	5520	0.5569
15.2982	5296	0.5343
15.3982	4968	0.5012
15.4982	4696	0.4738
15.5982	4544	0.4584
15.6982	4496	0.4536
15.7982	4496	0.4536
15.8982	4520	0.4560
15.9982	4552	0.4593
16.0982	4664	0.4706
16.1982	4856	0.4899
16.2982	5056	0.5101
16.3982	5128	0.5174
16.4982	5000	0.5045
16.5982	4696	0.4738
16.6982	4360	0.4399
16.7982	4168	0.4205
16.8982	4184	0.4221
16.9982	4304	0.4342
17.0982	4400	0.4439
17.1982	4440	0.4480
17.2982	4440	0.4480
17.3982	4440	0.4480
17.4982	4448	0.4488
17.5982	4440	0.4480
17.6982	4392	0.4431
17.7982	4280	0.4318
17.8982	4128	0.4165
17.9982	3992	0.4028
18.0982	3920	0.3955
18.1982	3904	0.3939
18.2982	3912	0.3947
18.3982	3928	0.3963
18.4982	3928	0.3963
18.5982	3936	0.3971
18.6982	3936	0.3971
18.7982	3936	0.3971
18.8982	3928	0.3963
18.9982	3920	0.3955
19.0982	3912	0.3947
19.1982	3912	0.3947
19.2982	3912	0.3947
