[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_F_066_C_32204_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:04:58

[MS Spectrum]
# of Peaks	145
Raw Spectrum	[0.933->2.208],(scan:[113->266])
Background	No Background Spectrum
Base Peak	m/z 798.51 (Inten : 260,738)
m/z	Absolute Intensity	Relative Intensity
87.1722	14698	5.64
104.2223	119843	45.96
127.1731	20340	7.80
132.1391	25370	9.73
143.1011	15872	6.09
145.0892	15345	5.89
146.2263	64055	24.57
147.2603	16294	6.25
148.0959	14225	5.46
154.0707	19913	7.64
156.0844	15787	6.05
159.0318	16293	6.25
162.1337	46189	17.71
163.9957	36708	14.08
166.0432	14478	5.55
170.0497	75134	28.82
173.0803	20897	8.01
175.0612	70154	26.91
177.0315	13123	5.03
185.1260	20588	7.90
188.1729	15328	5.88
193.0975	13749	5.27
200.1012	14204	5.45
201.0851	13086	5.02
201.9222	14006	5.37
203.2102	119029	45.65
204.1487	38648	14.82
207.0917	15004	5.75
213.0583	13616	5.22
233.1173	15687	6.02
239.1396	14519	5.57
245.1365	13430	5.15
255.0962	22259	8.54
261.0517	20173	7.74
263.0860	13429	5.15
271.1669	36472	13.99
287.1476	74135	28.43
288.2047	14238	5.46
306.9972	25528	9.79
311.0475	13707	5.26
317.0677	21883	8.39
325.1688	14189	5.44
327.1526	14406	5.53
368.0221	13300	5.10
369.1865	13309	5.10
370.2645	16773	6.43
371.1802	22959	8.81
376.3162	13960	5.35
384.0163	13291	5.10
385.2473	20456	7.85
415.2367	14553	5.58
424.2182	17881	6.86
425.1127	32225	12.36
426.2580	13227	5.07
429.2433	30042	11.52
441.2341	14506	5.56
518.3198	14944	5.73
534.3113	27441	10.52
560.3643	16355	6.27
562.3323	16738	6.42
659.1844	15453	5.93
675.2795	25233	9.68
677.3702	13848	5.31
687.5079	13960	5.35
703.4913	16168	6.20
705.4774	13394	5.14
725.5490	19898	7.63
737.4325	13291	5.10
739.4637	13321	5.11
741.5462	45104	17.30
742.5610	27380	10.50
743.5412	19976	7.66
744.5240	20927	8.03
754.5438	26033	9.98
755.4952	13466	5.16
756.5119	26884	10.31
757.5457	13607	5.22
758.5543	27612	10.59
759.5388	15596	5.98
760.5614	31131	11.94
761.5976	18482	7.09
765.4805	13478	5.17
766.5399	18126	6.95
768.5446	22495	8.63
770.5408	58233	22.33
771.5311	28801	11.05
772.5220	39207	15.04
773.5466	18206	6.98
780.5499	72754	27.90
781.5092	39020	14.97
782.5349	121338	46.54
783.5671	65373	25.07
784.5542	56091	21.51
785.5739	21877	8.39
786.5412	29528	11.32
787.5771	17208	6.60
788.5752	15347	5.89
793.4791	14239	5.46
794.5209	33488	12.84
796.5254	176823	67.82
797.5070	81908	31.41
798.5141	260738	100.00
799.5248	111719	42.85
800.5320	51689	19.82
801.5959	17769	6.81
802.5602	13886	5.33
804.5333	28402	10.89
805.5135	13902	5.33
806.5483	45387	17.41
807.5148	21797	8.36
808.5656	67945	26.06
809.5430	36514	14.00
810.5377	45299	17.37
811.5721	23754	9.11
812.5626	18685	7.17
818.5025	18460	7.08
820.5452	49245	18.89
821.5162	25039	9.60
822.5276	87016	33.37
823.5158	41223	15.81
824.5516	142841	54.78
825.5600	74901	28.73
826.5669	63002	24.16
827.6076	27246	10.45
828.5654	23676	9.08
830.5267	19665	7.54
832.5399	19199	7.36
844.5428	27815	10.67
845.5048	14920	5.72
846.5029	33290	12.77
847.5436	17168	6.58
848.5425	26415	10.13
849.5753	15368	5.89
850.5719	14824	5.69
870.5258	14048	5.39
872.5388	14164	5.43
897.6855	13357	5.12
1187.8379	14991	5.75
1190.3771	13768	5.28
1312.9396	15904	6.10
1381.7655	13925	5.34
1397.1230	15072	5.78
1416.5142	13470	5.17
1420.3217	13059	5.01
1482.6423	15848	6.08

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	8416	1.2896
10.3982	8416	1.2896
10.4982	8384	1.2847
10.5982	8368	1.2822
10.6982	8352	1.2798
10.7982	8336	1.2773
10.8982	8336	1.2773
10.9982	8320	1.2749
11.0982	8304	1.2724
11.1982	8304	1.2724
11.2982	8304	1.2724
11.3982	8304	1.2724
11.4982	8320	1.2749
11.5982	8320	1.2749
11.6982	8320	1.2749
11.7982	8320	1.2749
11.8982	8304	1.2724
11.9982	8272	1.2675
12.0982	8224	1.2602
12.1982	8240	1.2626
12.2982	8320	1.2749
12.3982	8464	1.2970
12.4982	8608	1.3190
12.5982	8704	1.3337
12.6982	8704	1.3337
12.7982	8608	1.3190
12.8982	8448	1.2945
12.9982	8304	1.2724
13.0982	8208	1.2577
13.1982	8192	1.2553
13.2982	8192	1.2553
13.3982	8192	1.2553
13.4982	8208	1.2577
13.5982	8208	1.2577
13.6982	8224	1.2602
13.7982	8240	1.2626
13.8982	8240	1.2626
13.9982	8240	1.2626
14.0982	8224	1.2602
14.1982	8224	1.2602
14.2982	8240	1.2626
14.3982	8256	1.2651
14.4982	8272	1.2675
14.5982	8272	1.2675
14.6982	8272	1.2675
14.7982	8256	1.2651
14.8982	8272	1.2675
14.9982	8272	1.2675
15.0982	8272	1.2675
15.1982	8288	1.2700
15.2982	8272	1.2675
15.3982	8272	1.2675
15.4982	8256	1.2651
15.5982	8256	1.2651
15.6982	8256	1.2651
15.7982	8256	1.2651
15.8982	8288	1.2700
15.9982	8320	1.2749
16.0982	8352	1.2798
16.1982	8368	1.2822
16.2982	8368	1.2822
16.3982	8368	1.2822
16.4982	8368	1.2822
16.5982	8368	1.2822
16.6982	8384	1.2847
16.7982	8416	1.2896
