[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130627_MEC_F_059_N_32227_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:22:25

[MS Spectrum]
# of Peaks	126
Raw Spectrum	[1.483->3.233],(scan:[179->389])
Background	No Background Spectrum
Base Peak	m/z 227.21 (Inten : 370,757)
m/z	Absolute Intensity	Relative Intensity
104.2191	270402	72.93
158.1945	60041	16.19
162.1309	20508	5.53
170.0204	19359	5.22
175.0898	41652	11.23
203.1184	35772	9.65
204.0856	40016	10.79
215.1983	59605	16.08
219.0038	22137	5.97
221.0686	22630	6.10
227.2088	370757	100.00
228.2490	53988	14.56
239.1583	30815	8.31
245.1008	21279	5.74
271.1610	95470	25.75
287.1424	29739	8.02
291.0743	19097	5.15
299.1899	22480	6.06
301.0631	18617	5.02
304.2254	116054	31.30
305.2691	28703	7.74
306.9554	46579	12.56
309.0940	23460	6.33
311.1907	28510	7.69
320.2003	31243	8.43
325.2336	30561	8.24
327.1960	19830	5.35
332.3217	18789	5.07
341.2168	23068	6.22
355.2197	39052	10.53
369.2689	43372	11.70
371.2028	22313	6.02
381.2350	20836	5.62
383.1540	26562	7.16
384.3535	29237	7.89
385.2568	31613	8.53
399.2513	52495	14.16
400.3204	32917	8.88
413.2546	103465	27.91
414.2728	28257	7.62
415.2165	32835	8.86
425.1801	73233	19.75
426.2444	24389	6.58
429.2422	64969	17.52
431.2247	24933	6.72
441.2064	29306	7.90
443.2765	49606	13.38
457.3186	42703	11.52
459.2636	35887	9.68
473.3002	34024	9.18
487.3722	49166	13.26
488.3648	18793	5.07
489.3087	18705	5.05
496.3391	29342	7.91
501.3636	44184	11.92
502.3010	19147	5.16
503.3002	43396	11.70
504.3379	22014	5.94
517.3275	32506	8.77
518.3026	97786	26.37
519.3623	28720	7.75
529.4000	21869	5.90
531.4247	28452	7.67
534.2813	43086	11.62
536.4354	26358	7.11
544.3215	25791	6.96
545.3394	35385	9.54
546.3151	43095	11.62
547.3151	44510	12.01
561.3738	33521	9.04
562.3943	26715	7.21
575.4394	19401	5.23
591.3771	26243	7.08
605.4408	31108	8.39
635.3964	20382	5.50
649.4476	24488	6.60
659.2070	21979	5.93
675.1240	21160	5.71
679.4138	19414	5.24
693.4605	21337	5.75
701.4135	18751	5.06
723.4063	18540	5.00
725.5135	23007	6.21
754.4874	18856	5.09
756.5042	23912	6.45
758.5417	31218	8.42
760.5450	25085	6.77
767.5588	19960	5.38
780.5378	121611	32.80
781.4982	62995	16.99
782.4943	123271	33.25
783.5378	55706	15.02
784.5771	30804	8.31
786.5499	19129	5.16
794.5452	19948	5.38
796.5314	53057	14.31
797.5314	28227	7.61
798.5212	45266	12.21
799.5447	21401	5.77
802.4609	25130	6.78
803.4836	21980	5.93
804.5159	63391	17.10
805.5021	29875	8.06
806.5078	67253	18.14
807.5458	33109	8.93
808.5402	64022	17.27
809.5600	34986	9.44
810.5693	28208	7.61
811.5582	19324	5.21
818.5020	19640	5.30
820.5045	30739	8.29
822.5284	28593	7.71
824.5458	27295	7.36
825.5670	20331	5.48
828.5259	27004	7.28
830.4722	28786	7.76
831.4886	20958	5.65
832.5379	29031	7.83
925.3151	19133	5.16
1021.3682	19153	5.17
1026.5962	18825	5.08
1122.0438	21289	5.74
1333.8877	19637	5.30
1336.9403	20250	5.46
1357.0194	23322	6.29
1397.7821	21539	5.81

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	10279	0.8974
10.3982	10298	0.8990
10.4982	10222	0.8924
10.5982	10146	0.8858
10.6982	10051	0.8775
10.7982	10013	0.8742
10.8982	9975	0.8708
10.9982	9956	0.8692
11.0982	9937	0.8675
11.1982	9899	0.8642
11.2982	9899	0.8642
11.3982	9899	0.8642
11.4982	9899	0.8642
11.5982	9918	0.8659
11.6982	9918	0.8659
11.7982	9899	0.8642
11.8982	9880	0.8625
11.9982	9842	0.8592
12.0982	9823	0.8576
12.1982	9804	0.8559
12.2982	9823	0.8576
12.3982	9842	0.8592
12.4982	9842	0.8592
12.5982	9842	0.8592
12.6982	9804	0.8559
12.7982	9785	0.8542
12.8982	9766	0.8526
12.9982	9766	0.8526
13.0982	9766	0.8526
13.1982	9785	0.8542
13.2982	9804	0.8559
13.3982	9804	0.8559
13.4982	9804	0.8559
13.5982	9804	0.8559
13.6982	9804	0.8559
13.7982	9842	0.8592
13.8982	9861	0.8609
13.9982	9861	0.8609
14.0982	9861	0.8609
14.1982	9861	0.8609
14.2982	9842	0.8592
14.3982	9823	0.8576
14.4982	9823	0.8576
14.5982	9842	0.8592
14.6982	9880	0.8625
14.7982	9918	0.8659
14.8982	9975	0.8708
14.9982	9994	0.8725
15.0982	9994	0.8725
15.1982	9956	0.8692
15.2982	9937	0.8675
15.3982	9918	0.8659
15.4982	9918	0.8659
15.5982	9918	0.8659
15.6982	9956	0.8692
15.7982	9956	0.8692
15.8982	9956	0.8692
15.9982	9937	0.8675
16.0982	9899	0.8642
16.1982	9899	0.8642
16.2982	10013	0.8742
16.3982	10222	0.8924
16.4982	10545	0.9206
16.5982	10982	0.9587
