[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_M_070_N_32205_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:49:28

[MS Spectrum]
# of Peaks	556
Raw Spectrum	[0.975->2.067],(scan:[118->249])
Background	No Background Spectrum
Base Peak	m/z 104.22 (Inten : 239,606)
m/z	Absolute Intensity	Relative Intensity
69.2001	16492	6.88
87.1681	24436	10.20
104.2206	239606	100.00
105.2377	15131	6.31
112.1630	12995	5.42
113.1816	13279	5.54
122.1975	13438	5.61
127.2632	16996	7.09
132.1340	13387	5.59
136.2112	15848	6.61
146.2653	23794	9.93
147.2109	14219	5.93
148.1278	12563	5.24
151.0471	14128	5.90
154.0889	21063	8.79
156.0478	12128	5.06
157.1004	20299	8.47
159.0206	15946	6.66
162.1281	20719	8.65
169.1009	13785	5.75
170.0324	31905	13.32
172.0927	12080	5.04
175.0852	37342	15.58
177.0685	14194	5.92
183.0961	14706	6.14
185.1101	18214	7.60
191.1204	12516	5.22
203.1817	84544	35.28
204.1443	29989	12.52
213.1015	12697	5.30
219.0198	25864	10.79
221.0645	23848	9.95
230.2537	19012	7.93
239.1396	22764	9.50
245.1053	16338	6.82
255.0909	12341	5.15
257.1255	12431	5.19
271.1668	78085	32.59
272.2318	12037	5.02
280.0708	21356	8.91
287.0888	40515	16.91
291.0974	13565	5.66
296.0598	21303	8.89
297.1980	26094	10.89
301.0971	14457	6.03
306.9959	29718	12.40
309.1189	18700	7.80
310.1703	12009	5.01
311.1911	31192	13.02
313.1292	16730	6.98
325.2381	25149	10.50
327.1481	20550	8.58
328.3051	18566	7.75
341.2304	66860	27.90
342.2915	15416	6.43
354.1855	17069	7.12
355.2295	65011	27.13
356.2488	15582	6.50
357.1552	34541	14.42
360.2830	12184	5.09
369.2719	53234	22.22
370.2510	19409	8.10
371.1722	49910	20.83
372.2914	15044	6.28
385.2292	80438	33.57
386.2884	19641	8.20
399.2711	72443	30.23
400.2890	28742	12.00
