[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130523_MEC_M_083_N_32217_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:04:15

[MS Spectrum]
# of Peaks	94
Raw Spectrum	[0.917->2.758],(scan:[111->332])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 660,705)
m/z	Absolute Intensity	Relative Intensity
104.2277	660705	100.00
105.2455	35776	5.41
146.2339	45677	6.91
162.1380	34185	5.17
175.0886	33912	5.13
203.2231	103195	15.62
204.1125	80027	12.11
215.2006	52924	8.01
219.0150	37981	5.75
227.1967	34313	5.19
233.0798	53292	8.07
271.1684	113784	17.22
287.1535	63568	9.62
307.0089	38455	5.82
355.2252	89590	13.56
369.2682	92233	13.96
371.2152	72626	10.99
385.2602	93005	14.08
399.2606	135975	20.58
400.3132	38556	5.84
413.2945	141922	21.48
414.2618	35403	5.36
415.2408	123100	18.63
425.1544	46173	6.99
429.2790	131610	19.92
430.3022	35341	5.35
443.2985	120124	18.18
444.3139	36524	5.53
457.3202	145073	21.96
458.3530	38197	5.78
459.2692	127588	19.31
460.3276	36687	5.55
473.3116	115845	17.53
474.3810	33669	5.10
487.3693	81716	12.37
501.3694	87046	13.17
503.3142	102907	15.58
517.3911	112263	16.99
518.3326	88468	13.39
529.4069	54083	8.19
531.4103	59571	9.02
534.2914	62578	9.47
545.4304	52516	7.95
547.3544	89483	13.54
561.3931	105379	15.95
562.4060	48462	7.33
575.4434	41237	6.24
589.4476	41316	6.25
591.3975	73566	11.13
605.4249	78339	11.86
619.4338	33735	5.11
635.4008	58604	8.87
649.4501	58276	8.82
679.4384	46428	7.03
693.4922	43260	6.55
723.4512	48535	7.35
725.5046	42116	6.37
737.5103	47060	7.12
760.5496	34416	5.21
767.4976	51266	7.76
780.5300	125717	19.03
781.4662	103638	15.69
782.5219	188006	28.46
783.5454	90255	13.66
784.5756	48800	7.39
796.5326	130144	19.70
797.5067	62747	9.50
798.5142	155450	23.53
799.5465	72188	10.93
800.5533	37924	5.74
802.5049	60226	9.12
804.5018	74852	11.33
805.5067	35930	5.44
806.5210	86101	13.03
807.5447	44420	6.72
808.5583	93776	14.19
809.5649	57343	8.68
810.5508	43667	6.61
811.5208	47115	7.13
818.5086	54023	8.18
820.4970	62103	9.40
822.5094	65915	9.98
824.5547	78082	11.82
825.5652	60073	9.09
826.5609	42915	6.50
828.5334	59534	9.01
830.5306	45195	6.84
832.5323	37419	5.66
844.5249	50138	7.59
846.5267	39185	5.93
973.8488	33757	5.11
1115.7800	39225	5.94
1166.9470	33762	5.11
1181.4626	34421	5.21

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	11264	0.4459
10.3982	10956	0.4337
10.4982	10626	0.4206
10.5982	10406	0.4119
10.6982	10406	0.4119
10.7982	10472	0.4145
10.8982	10560	0.4180
10.9982	10736	0.4250
11.0982	11044	0.4372
11.1982	11396	0.4511
11.2982	11616	0.4598
11.3982	11660	0.4616
11.4982	11528	0.4563
11.5982	11220	0.4441
11.6982	10824	0.4285
11.7982	10494	0.4154
11.8982	10318	0.4084
11.9982	10274	0.4067
12.0982	10230	0.4050
12.1982	10186	0.4032
12.2982	10208	0.4041
12.3982	10472	0.4145
12.4982	11022	0.4363
12.5982	11682	0.4624
12.6982	12232	0.4842
12.7982	12430	0.4920
12.8982	12254	0.4851
12.9982	11792	0.4668
13.0982	11264	0.4459
13.1982	10912	0.4320
13.2982	10868	0.4302
13.3982	11022	0.4363
13.4982	11242	0.4450
13.5982	11484	0.4546
13.6982	11836	0.4685
13.7982	12276	0.4859
13.8982	12584	0.4981
13.9982	12650	0.5007
14.0982	12474	0.4938
14.1982	12210	0.4833
14.2982	11946	0.4729
14.3982	11792	0.4668
14.4982	11704	0.4633
14.5982	11660	0.4616
14.6982	11748	0.4650
14.7982	12210	0.4833
14.8982	13244	0.5243
14.9982	14696	0.5817
15.0982	16016	0.6340
15.1982	16720	0.6619
15.2982	16610	0.6575
15.3982	15884	0.6288
15.4982	14872	0.5887
15.5982	13926	0.5513
15.6982	13200	0.5225
15.7982	12562	0.4973
15.8982	11902	0.4711
15.9982	11286	0.4468
16.0982	11000	0.4354
16.1982	11242	0.4450
16.2982	11902	0.4711
16.3982	12562	0.4973
16.4982	12914	0.5112
16.5982	12848	0.5086
16.6982	12430	0.4920
16.7982	11814	0.4677
16.8982	11220	0.4441
16.9982	10912	0.4320
17.0982	10978	0.4346
17.1982	11330	0.4485
17.2982	11792	0.4668
17.3982	12210	0.4833
17.4982	12496	0.4947
17.5982	12650	0.5007
17.6982	12738	0.5042
17.7982	12804	0.5068
17.8982	12936	0.5121
17.9982	13112	0.5190
18.0982	13222	0.5234
18.1982	13112	0.5190
18.2982	12782	0.5060
18.3982	12298	0.4868
18.4982	11858	0.4694
18.5982	11506	0.4555
18.6982	11242	0.4450
18.7982	11066	0.4380
18.8982	10934	0.4328
18.9982	10802	0.4276
19.0982	10604	0.4198
19.1982	10428	0.4128
19.2982	10340	0.4093
19.3982	10340	0.4093
19.4982	10362	0.4102
19.5982	10362	0.4102
19.6982	10362	0.4102
19.7982	10340	0.4093
19.8982	10340	0.4093
19.9982	10362	0.4102
20.0982	10384	0.4110
20.1982	10428	0.4128
20.2982	10450	0.4137
20.3982	10494	0.4154
20.4982	10538	0.4171
20.5982	10538	0.4171
20.6982	10516	0.4163
20.7982	10538	0.4171
20.8982	10582	0.4189
20.9982	10670	0.4224
21.0982	10780	0.4267
21.1982	10890	0.4311
21.2982	11000	0.4354
21.3982	11110	0.4398
21.4982	11176	0.4424
21.5982	11176	0.4424
21.6982	11132	0.4407
21.7982	10978	0.4346
21.8982	10780	0.4267
21.9982	10538	0.4171
22.0982	10362	0.4102
22.1982	10318	0.4084
22.2982	10340	0.4093
22.3982	10384	0.4110
22.4982	10428	0.4128
22.5982	10494	0.4154
22.6982	10516	0.4163
22.7982	10538	0.4171
22.8982	10560	0.4180
22.9982	10670	0.4224
23.0982	10868	0.4302
23.1982	11044	0.4372
23.2982	11176	0.4424
23.3982	11198	0.4433
23.4982	11088	0.4389
23.5982	10890	0.4311
23.6982	10648	0.4215
23.7982	10450	0.4137
23.8982	10362	0.4102
23.9982	10318	0.4084
24.0982	10318	0.4084
24.1982	10340	0.4093
24.2982	10362	0.4102
24.3982	10406	0.4119
24.4982	10494	0.4154
24.5982	10692	0.4232
24.6982	11000	0.4354
24.7982	11330	0.4485
24.8982	11572	0.4581
24.9982	11660	0.4616
25.0982	11550	0.4572
25.1982	11286	0.4468
25.2982	11022	0.4363
25.3982	10912	0.4320
25.4982	11022	0.4363
25.5982	11198	0.4433
25.6982	11308	0.4476
25.7982	11264	0.4459
25.8982	11066	0.4380
25.9982	10758	0.4259
26.0982	10516	0.4163
26.1982	10384	0.4110
26.2982	10362	0.4102
26.3982	10384	0.4110
26.4982	10406	0.4119
26.5982	10472	0.4145
26.6982	10560	0.4180
26.7982	10626	0.4206
26.8982	10648	0.4215
26.9982	10626	0.4206
27.0982	10582	0.4189
27.1982	10494	0.4154
27.2982	10428	0.4128
27.3982	10406	0.4119
27.4982	10450	0.4137
27.5982	10516	0.4163
27.6982	10560	0.4180
27.7982	10604	0.4198
27.8982	10582	0.4189
27.9982	10560	0.4180
28.0982	10494	0.4154
28.1982	10450	0.4137
28.2982	10450	0.4137
28.3982	10516	0.4163
28.4982	10626	0.4206
28.5982	10736	0.4250
28.6982	10780	0.4267
28.7982	10780	0.4267
28.8982	10736	0.4250
28.9982	10736	0.4250
29.0982	10780	0.4267
29.1982	10868	0.4302
29.2982	10934	0.4328
29.3982	10934	0.4328
29.4982	10824	0.4285
29.5982	10648	0.4215
29.6982	10472	0.4145
29.7982	10362	0.4102
29.8982	10340	0.4093
29.9982	10340	0.4093
30.0982	10384	0.4110
30.1982	10406	0.4119
