[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_067_N_32293_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:55:41

[MS Spectrum]
# of Peaks	808
Raw Spectrum	[4.033->5.325],(scan:[485->640])
Background	No Background Spectrum
Base Peak	m/z 204.10 (Inten : 219,180)
m/z	Absolute Intensity	Relative Intensity
57.2119	11528	5.26
69.2252	14237	6.50
85.1478	11971	5.46
87.1900	27248	12.43
104.2366	126690	57.80
112.1655	31540	14.39
114.1165	13486	6.15
115.1033	13685	6.24
129.1625	11719	5.35
132.1505	99504	45.40
136.1870	15577	7.11
146.2688	29305	13.37
147.2028	13329	6.08
151.0638	16788	7.66
152.0944	14232	6.49
154.0887	49192	22.44
156.0880	17007	7.76
157.1033	18447	8.42
159.0544	19395	8.85
162.1461	64986	29.65
163.9931	17295	7.89
166.0428	11708	5.34
167.0271	15766	7.19
169.0195	15314	6.99
170.0612	150050	68.46
171.1357	14944	6.82
172.0923	32348	14.76
173.0669	20540	9.37
175.0626	53001	24.18
177.0246	17356	7.92
181.0605	11178	5.10
183.1060	16514	7.53
184.0950	14353	6.55
185.0880	32802	14.97
186.0895	12115	5.53
188.1139	12213	5.57
191.1351	12411	5.66
192.0868	12458	5.68
193.0982	14135	6.45
195.1131	11018	5.03
197.0399	14455	6.60
199.1040	15763	7.19
200.1059	20019	9.13
201.1075	16032	7.31
201.9849	12113	5.53
203.2029	102272	46.66
204.0955	219180	100.00
205.1542	26171	11.94
207.0820	20201	9.22
208.0511	14696	6.70
209.0807	12791	5.84
213.0633	20684	9.44
215.0564	13947	6.36
217.1615	17561	8.01
219.0219	62255	28.40
221.0711	33714	15.38
223.0691	18178	8.29
225.0421	11866	5.41
226.1329	23826	10.87
227.1524	15409	7.03
229.1140	15941	7.27
230.2576	32529	14.84
231.1667	13012	5.94
232.1336	19007	8.67
233.0840	22668	10.34
237.0860	11318	5.16
239.1543	25367	11.57
241.0924	11810	5.39
242.0932	28311	12.92
243.1287	17610	8.03
244.1001	11679	5.33
245.1251	24448	11.15
247.1968	20201	9.22
