[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_058_N_32283_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:33:41

[MS Spectrum]
# of Peaks	80
Raw Spectrum	[1.000->3.000],(scan:[121->361])
Background	No Background Spectrum
Base Peak	m/z 104.21 (Inten : 573,042)
m/z	Absolute Intensity	Relative Intensity
87.1666	30795	5.37
104.2139	573042	100.00
105.2323	33723	5.88
148.1651	30210	5.27
170.0449	58211	10.16
175.0727	90909	15.86
203.2352	118550	20.69
204.1498	47359	8.26
215.1922	62359	10.88
219.0035	43885	7.66
221.0882	35240	6.15
227.1737	54614	9.53
271.1683	147847	25.80
287.1362	111239	19.41
306.9977	52618	9.18
355.2194	36630	6.39
369.2306	32255	5.63
371.2089	36746	6.41
385.2088	53339	9.31
399.2612	46367	8.09
413.2991	45517	7.94
415.2351	51805	9.04
425.1207	52758	9.21
429.2749	68376	11.93
443.2760	37346	6.52
457.3298	33286	5.81
459.2809	45941	8.02
473.3198	35910	6.27
503.3330	34591	6.04
517.3705	28799	5.03
529.4149	51545	8.99
534.2985	30129	5.26
547.3785	40617	7.09
561.3320	38380	6.70
675.2903	40278	7.03
677.4304	33458	5.84
679.4412	30999	5.41
693.4524	29300	5.11
758.5330	44375	7.74
760.5666	48235	8.42
761.5928	29877	5.21
772.5121	33219	5.80
780.5515	105356	18.39
781.5079	58639	10.23
782.5526	156522	27.31
783.5566	80257	14.01
784.5920	64460	11.25
786.5463	37567	6.56
794.5242	31972	5.58
796.5468	123952	21.63
797.5018	59996	10.47
798.5294	149634	26.11
799.5498	71571	12.49
800.5828	37509	6.55
804.5406	61374	10.71
805.5094	30131	5.26
806.5405	80889	14.12
807.5452	41422	7.23
808.5530	83404	14.55
809.5742	46879	8.18
810.5793	41409	7.23
811.5593	29027	5.07
820.5389	62441	10.90
821.5075	32061	5.59
822.5431	86728	15.13
823.5449	43113	7.52
824.5500	86107	15.03
825.5616	49498	8.64
826.5730	36142	6.31
832.5468	32778	5.72
846.5147	28991	5.06
1015.6074	38858	6.78
1062.8375	38667	6.75
1074.0144	35023	6.11
1078.7773	29991	5.23
1113.9099	29242	5.10
1163.6141	35377	6.17
1168.3448	28693	5.01
1179.5458	32396	5.65
1321.9016	28941	5.05

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	11880	0.5084
10.3982	11832	0.5063
10.4982	11760	0.5033
10.5982	11712	0.5012
10.6982	11712	0.5012
10.7982	11832	0.5063
10.8982	11976	0.5125
10.9982	12096	0.5176
11.0982	12144	0.5197
11.1982	12144	0.5197
11.2982	12192	0.5217
11.3982	12288	0.5258
11.4982	12360	0.5289
11.5982	12408	0.5310
11.6982	12384	0.5300
11.7982	12240	0.5238
11.8982	12000	0.5135
11.9982	11736	0.5022
12.0982	11568	0.4950
12.1982	11640	0.4981
12.2982	12096	0.5176
12.3982	12744	0.5454
12.4982	13344	0.5710
12.5982	13728	0.5875
12.6982	13896	0.5947
12.7982	13824	0.5916
12.8982	13536	0.5793
12.9982	13176	0.5638
13.0982	12840	0.5495
13.1982	12552	0.5371
13.2982	12240	0.5238
13.3982	11976	0.5125
13.4982	11856	0.5074
13.5982	11880	0.5084
13.6982	11904	0.5094
13.7982	11904	0.5094
13.8982	12024	0.5145
13.9982	12384	0.5300
14.0982	12960	0.5546
14.1982	13536	0.5793
14.2982	13944	0.5967
14.3982	14064	0.6018
14.4982	13824	0.5916
14.5982	13392	0.5731
14.6982	13056	0.5587
14.7982	13104	0.5608
14.8982	13512	0.5782
14.9982	14064	0.6018
15.0982	14544	0.6224
15.1982	14856	0.6357
15.2982	14976	0.6409
15.3982	15048	0.6440
15.4982	15168	0.6491
15.5982	15312	0.6553
15.6982	15336	0.6563
15.7982	15072	0.6450
15.8982	14616	0.6255
15.9982	14136	0.6049
16.0982	13992	0.5988
16.1982	14256	0.6101
16.2982	14760	0.6316
16.3982	15216	0.6511
16.4982	15456	0.6614
16.5982	15456	0.6614
16.6982	15144	0.6481
16.7982	14592	0.6244
16.8982	13944	0.5967
16.9982	13320	0.5700
17.0982	12744	0.5454
17.1982	12288	0.5258
17.2982	12024	0.5145
17.3982	11928	0.5104
17.4982	11880	0.5084
17.5982	11832	0.5063
17.6982	11784	0.5043
17.7982	11784	0.5043
17.8982	11808	0.5053
17.9982	11976	0.5125
18.0982	12264	0.5248
18.1982	12624	0.5402
18.2982	12888	0.5515
18.3982	12960	0.5546
18.4982	12792	0.5474
18.5982	12456	0.5330
18.6982	12096	0.5176
18.7982	11856	0.5074
18.8982	11904	0.5094
18.9982	12240	0.5238
19.0982	12744	0.5454
19.1982	13176	0.5638
19.2982	13392	0.5731
19.3982	13344	0.5710
19.4982	12984	0.5556
19.5982	12480	0.5341
19.6982	12000	0.5135
19.7982	11736	0.5022
19.8982	11664	0.4991
19.9982	11712	0.5012
20.0982	11712	0.5012
20.1982	11688	0.5002
20.2982	11640	0.4981
20.3982	11568	0.4950
20.4982	11592	0.4961
20.5982	11784	0.5043
20.6982	12120	0.5187
20.7982	12456	0.5330
20.8982	12816	0.5484
20.9982	13200	0.5649
21.0982	13464	0.5762
21.1982	13512	0.5782
21.2982	13296	0.5690
21.3982	12984	0.5556
21.4982	12552	0.5371
21.5982	12120	0.5187
21.6982	11784	0.5043
21.7982	11664	0.4991
21.8982	11688	0.5002
21.9982	11712	0.5012
22.0982	11688	0.5002
22.1982	11688	0.5002
22.2982	11784	0.5043
22.3982	11952	0.5115
22.4982	12168	0.5207
22.5982	12408	0.5310
22.6982	12648	0.5413
22.7982	12840	0.5495
22.8982	12936	0.5536
22.9982	12936	0.5536
23.0982	12840	0.5495
23.1982	12624	0.5402
23.2982	12360	0.5289
23.3982	12096	0.5176
23.4982	11904	0.5094
23.5982	11784	0.5043
23.6982	11760	0.5033
23.7982	11784	0.5043
23.8982	11856	0.5074
23.9982	11928	0.5104
24.0982	11976	0.5125
