[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_060_N_32289_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:48:59

[MS Spectrum]
# of Peaks	623
Raw Spectrum	[3.233->4.775],(scan:[389->574])
Background	No Background Spectrum
Base Peak	m/z 227.22 (Inten : 313,795)
m/z	Absolute Intensity	Relative Intensity
69.2260	22524	7.18
87.1919	44264	14.11
104.2373	204376	65.13
105.2306	17806	5.67
112.1692	28575	9.11
114.1665	18907	6.03
115.1077	23762	7.57
127.2116	16281	5.19
132.1348	17099	5.45
141.1232	16208	5.17
146.2571	18286	5.83
154.1026	20643	6.58
156.0751	16619	5.30
157.1176	29548	9.42
158.2086	68258	21.75
159.1424	25065	7.99
162.1474	27965	8.91
169.0928	16745	5.34
170.0598	32371	10.32
173.0804	16825	5.36
175.0809	37400	11.92
177.0811	15911	5.07
183.1015	20592	6.56
185.1117	25864	8.24
197.0900	16783	5.35
203.1745	59472	18.95
204.0913	78804	25.11
213.1086	23450	7.47
215.2158	128999	41.11
216.2800	18331	5.84
217.1361	20861	6.65
219.0250	42902	13.67
221.0799	34245	10.91
227.2205	313795	100.00
228.2676	49001	15.62
230.2672	45896	14.63
239.1652	34969	11.14
245.1199	24392	7.77
249.1277	19054	6.07
255.1003	21939	6.99
257.1545	29542	9.41
261.0675	19021	6.06
263.0670	19189	6.12
267.1133	15757	5.02
271.1756	200443	63.88
272.2349	30084	9.59
280.0892	18600	5.93
284.3277	23582	7.52
285.2119	17093	5.45
287.1345	83966	26.76
288.2532	27621	8.80
291.0848	16804	5.36
296.0721	18408	5.87
297.1980	31034	9.89
299.1746	19265	6.14
301.0529	24662	7.86
304.2797	44050	14.04
306.9989	35052	11.17
309.1484	30814	9.82
310.1734	20991	6.69
311.1983	45489	14.50
312.3106	28253	9.00
313.2244	21408	6.82
314.3085	15958	5.09
317.1286	21037	6.70
319.1178	16803	5.35
325.2597	54216	17.28
326.3178	44427	14.16
327.2399	35755	11.39
328.3462	32927	10.49
329.3052	16595	5.29
332.3486	29938	9.54
339.1075	15796	5.03
341.2469	72061	22.96
342.3148	20710	6.60
354.1968	40659	12.96
355.2330	107487	34.25
356.3333	47850	15.25
357.2187	37584	11.98
360.2848	23886	7.61
361.2427	16638	5.30
369.2839	116239	37.04
370.2807	38761	12.35
371.2302	65706	20.94
372.3345	64425	20.53
373.3905	22132	7.05
376.2506	16279	5.19
381.2158	19790	6.31
383.0885	22017	7.02
384.0982	16456	5.24
385.2436	113141	36.06
386.3480	23415	7.46
387.2369	16248	5.18
391.2193	16594	5.29
393.1208	15692	5.00
397.1328	17845	5.69
398.1818	31965	10.19
399.2662	107476	34.25
400.3262	43287	13.79
