[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/30625_MEC_M_062_N_32209_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:56:11

[MS Spectrum]
# of Peaks	809
Raw Spectrum	[1.883->2.808],(scan:[227->338])
Background	No Background Spectrum
Base Peak	m/z 227.21 (Inten : 159,043)
m/z	Absolute Intensity	Relative Intensity
534.3304	41295	25.96
535.2982	11960	7.52
536.1291	41122	25.86
538.3486	55486	34.89
540.8403	47475	29.85
541.4982	9434	5.93
542.3982	9472	5.96
543.3072	39540	24.86
544.2982	9884	6.21
545.2982	12460	7.83
546.2982	14476	9.10
547.3697	86532	54.41
548.4212	35323	22.21
549.2982	9272	5.83
550.6140	56153	35.31
552.2982	11957	7.52
552.8735	66071	41.54
554.9982	10334	6.50
555.4437	67974	42.74
556.7982	8468	5.32
557.7386	55775	35.07
558.9982	11047	6.95
559.9982	11673	7.34
561.3416	61456	38.64
562.4268	57582	36.21
563.3896	28637	18.01
564.1982	10089	6.34
564.9789	69071	43.43
566.9982	9475	5.96
567.8038	71160	44.74
569.0982	8370	5.26
570.4006	95170	59.84
571.2982	11219	7.05
572.2982	12260	7.71
573.6840	61031	38.37
574.3982	11173	7.03
575.3015	50842	31.97
576.2982	13128	8.25
577.0854	90951	57.19
578.2982	10516	6.61
579.7383	81976	51.54
580.5982	10719	6.74
581.4982	9093	5.72
582.4218	92332	58.05
583.3982	9478	5.96
584.3982	12190	7.66
585.2643	93246	58.63
586.4982	10231	6.43
587.7738	76369	48.02
588.4982	13218	8.31
589.7008	48523	30.51
590.3982	11807	7.42
591.3392	92417	58.11
592.4983	30599	19.24
593.1982	10714	6.74
594.6256	81357	51.15
595.3982	9772	6.14
596.3982	13260	8.34
597.1581	96993	60.99
598.2982	9164	5.76
599.1982	12899	8.11
599.8688	99811	62.76
600.9982	10798	6.79
601.9982	12623	7.94
603.2826	67826	42.65
604.2982	11832	7.44
605.1810	80060	50.34
606.7767	64645	40.65
607.2982	11360	7.14
608.1982	13852	8.71
608.8910	95959	60.34
609.9982	8164	5.13
610.9982	10681	6.72
611.9173	111914	70.37
612.9982	10093	6.35
614.6472	97416	61.25
615.4982	12870	8.09
616.4982	12810	8.05
617.3748	103358	64.99
618.4982	11380	7.16
619.3060	42698	26.85
620.1982	12748	8.02
621.0251	95371	59.97
621.9982	10674	6.71
623.5538	107497	67.59
624.2982	16050	10.09
625.2982	9427	5.93
626.4492	108786	68.40
627.4982	10531	6.62
628.4982	10386	6.53
629.5797	106382	66.89
630.6982	11298	7.10
632.2746	99698	62.69
633.1982	13194	8.30
634.1982	14409	9.06
635.4702	112539	70.76
636.3982	12751	8.02
637.3982	11905	7.49
638.4034	116998	73.56
639.4982	10345	6.50
640.3982	11897	7.48
641.2990	98462	61.91
642.2982	9668	6.08
643.1982	10058	6.32
643.9479	86545	54.42
645.2654	24952	15.69
646.0982	11310	7.11
647.1288	105903	66.59
648.2982	10973	6.90
649.3090	67832	42.65
650.6154	53622	33.72
651.3982	10842	6.82
652.6780	99519	62.57
654.8982	8195	5.15
656.1420	109413	68.79
657.0982	10750	6.76
658.0982	11684	7.35
658.8946	86025	54.09
660.2982	12884	8.10
661.7604	75499	47.47
662.4982	11202	7.04
663.3455	40182	25.26
664.1982	11925	7.50
665.0228	87959	55.31
665.9982	9373	5.89
667.4884	102046	64.16
668.3982	11158	7.02
669.3982	8674	5.45
670.6139	110948	69.76
671.5982	12574	7.91
672.5982	10007	6.29
673.6578	108496	68.22
675.2931	25253	15.88
676.2982	13620	8.56
677.2982	14598	9.18
678.2982	17995	11.31
679.4797	93962	59.08
680.3982	10103	6.35
681.3982	10314	6.49
682.3621	103559	65.11
683.4982	9093	5.72
684.4982	9247	5.81
685.4731	90252	56.75
686.3982	8936	5.62
687.3982	11413	7.18
688.3982	18700	11.76
689.2099	74448	46.81
690.2982	9561	6.01
691.2964	72436	45.54
692.2982	9271	5.83
693.3438	73199	46.02
694.6507	40659	25.56
695.3982	11021	6.93
696.6109	90493	56.90
697.6982	9161	5.76
700.1747	92644	58.25
701.4546	22601	14.21
702.2982	10680	6.72
703.8485	78289	49.23
704.4982	15041	9.46
705.6972	60827	38.25
706.4982	10143	6.38
707.3481	51025	32.08
708.3982	10783	6.78
709.1347	69891	43.94
710.3982	11148	7.01
711.4304	104723	65.85
712.2982	11089	6.97
714.9431	75600	47.53
715.7982	9933	6.25
716.7982	8150	5.12
718.2058	83932	52.77
718.9982	8423	5.30
720.9982	11451	7.20
721.9982	19309	12.14
723.4044	68433	43.03
724.4887	22792	14.33
725.5157	54874	34.50
726.5803	60358	37.95
727.7205	13763	8.65
729.4089	69899	43.95
730.2982	8033	5.05
732.2982	11088	6.97
732.9444	90616	56.98
734.1982	8428	5.30
735.5303	29150	18.33
736.4982	8397	5.28
737.2418	62092	39.04
738.3982	10683	6.72
739.3982	12454	7.83
740.3982	16032	10.08
741.4667	54032	33.97
742.5575	25982	16.34
743.4982	16549	10.41
744.2565	114443	71.96
745.3982	9142	5.75
747.2982	8908	5.60
748.0067	55848	35.12
749.5356	28633	18.00
750.4982	9330	5.87
751.1610	57730	36.30
753.4502	24958	15.69
754.4982	13132	8.26
755.1648	82723	52.01
756.5756	36151	22.73
757.4982	8667	5.45
759.0046	85479	53.75
759.5982	16899	10.63
760.5789	28885	18.16
761.3982	11313	7.11
762.1499	64076	40.29
765.2982	10293	6.47
765.9556	88316	55.53
767.5160	49031	30.83
768.5702	28901	18.17
769.4982	13152	8.27
770.4895	60261	37.89
771.5795	13256	8.33
772.5146	39340	24.74
773.5291	40288	25.33
774.5925	15081	9.48
777.4263	78153	49.14
778.2982	8182	5.14
780.5362	87961	55.31
781.4959	77133	48.50
782.5323	108784	68.40
783.5806	60333	37.94
784.6109	50595	31.81
785.6107	14556	9.15
786.5278	20733	13.04
787.5982	11983	7.53
788.2182	78951	49.64
789.6158	13435	8.45
790.5231	18538	11.66
791.4982	9182	5.77
792.1074	53024	33.34
793.5509	24240	15.24
794.5982	13533	8.51
795.5982	14781	9.29
796.5402	114801	72.18
797.5063	59102	37.16
798.5269	141829	89.18
799.5668	80691	50.74
800.6130	30705	19.31
802.4982	11926	7.50
802.9768	57001	35.84
804.5084	49941	31.40
805.4982	14908	9.37
806.4904	64007	40.25
807.5009	25719	16.17
808.5343	62351	39.20
809.5695	41564	26.13
810.5248	55519	34.91
811.5545	35094	22.07
812.5659	24144	15.18
813.4982	9118	5.73
814.4902	31761	19.97
815.6227	13575	8.54
817.5982	10957	6.89
818.4940	26501	16.66
820.5748	59819	37.61
821.5314	44451	27.95
822.5220	58994	37.09
823.5110	28478	17.91
824.5380	73484	46.20
825.5576	50413	31.70
826.5682	33714	21.20
827.5982	10635	6.69
828.5187	35823	22.52
829.5252	16636	10.46
830.5486	26615	16.73
831.4982	10108	6.36
832.4985	60115	37.80
833.5923	22362	14.06
834.5978	19513	12.27
835.5982	9429	5.93
836.1156	42877	26.96
837.5804	22770	14.32
839.5112	24156	15.19
840.5890	10335	6.50
841.6117	20721	13.03
843.4744	27077	17.02
844.5148	31814	20.00
845.4990	15860	9.97
846.5469	33868	21.29
847.5294	24218	15.23
848.5296	32030	20.14
849.6013	23310	14.66
850.5760	22334	14.04
851.6447	21854	13.74
852.6293	15041	9.46
853.5982	9879	6.21
854.5937	24509	15.41
855.5773	24254	15.25
856.6247	22649	14.24
858.1495	31463	19.78
859.6204	8390	5.28
861.5223	16030	10.08
862.5510	10426	6.56
865.2922	27518	17.30
867.6159	20060	12.61
869.5753	41466	26.07
870.6443	22495	14.14
871.6610	28529	17.94
872.6495	22314	14.03
873.6575	12865	8.09
874.5923	8295	5.22
876.4984	25981	16.34
877.6566	13383	8.41
879.7037	24901	15.66
880.6982	8313	5.23
881.7051	39074	24.57
882.7190	20467	12.87
883.6971	18052	11.35
885.5872	14352	9.02
886.5912	12934	8.13
887.6414	13072	8.22
891.3052	29612	18.62
893.6774	22301	14.02
895.6801	49036	30.83
896.6643	35075	22.05
897.6956	66802	42.00
898.7205	35272	22.18
899.6713	29848	18.77
900.6648	18672	11.74
901.6690	12593	7.92
902.6223	8506	5.35
903.6457	9378	5.90
905.5502	27712	17.42
906.7202	12641	7.95
907.7532	18646	11.72
909.7086	17605	11.07
911.2475	24212	15.22
913.5446	15758	9.91
915.6174	12247	7.70
917.6467	9462	5.95
920.6460	18252	11.48
921.6888	34353	21.60
922.7503	19830	12.47
923.7587	40437	25.43
924.7476	27968	17.59
925.7234	39342	24.74
926.7386	21539	13.54
927.7431	13390	8.42
929.7712	15286	9.61
931.7040	9321	5.86
935.2504	24871	15.64
941.6349	15930	10.02
943.6224	18674	11.74
944.7325	16690	10.49
945.7415	11055	6.95
950.0292	27199	17.10
951.7901	10504	6.60
953.7557	15732	9.89
955.3734	25214	15.85
957.6475	13197	8.30
959.5413	24026	15.11
964.7212	34012	21.39
969.6865	28492	17.91
970.6869	14165	8.91
971.6857	11352	7.14
974.1589	22151	13.93
979.5948	29937	18.82
985.0302	24398	15.34
988.6890	11769	7.40
990.1755	13227	8.32
994.0334	29845	18.77
999.4754	28047	17.63
1001.5841	8080	5.08
1003.3098	18430	11.59
1005.1344	8449	5.31
1008.9940	34622	21.77
1013.6506	24575	15.45
1014.6951	12728	8.00
1018.1450	20208	12.71
1023.5800	29525	18.56
1027.2706	21577	13.57
1029.3962	24399	15.34
1032.5312	23163	14.56
1034.5049	9534	5.99
1037.9750	28065	17.65
1043.4919	30414	19.12
1047.5433	27823	17.49
1053.1207	26876	16.90
1057.7211	22932	14.42
1058.7894	10959	6.89
1060.0841	12620	7.93
1062.2335	21654	13.62
1065.3839	13182	8.29
1067.4698	19625	12.34
1071.9009	34103	21.44
1076.7834	13871	8.72
1079.9951	8364	5.26
1081.7266	13898	8.74
1083.1248	13435	8.45
1084.6290	8364	5.26
1085.9591	17275	10.86
1087.7635	27410	17.23
1089.8213	9505	5.98
1091.3652	13919	8.75
1093.1283	10751	6.76
1096.4622	13051	8.21
1097.7159	10793	6.79
1101.7159	16824	10.58
1102.7119	9967	6.27
1103.7079	8807	5.54
1106.2212	15464	9.72
1109.0055	8541	5.37
1111.1239	15873	9.98
1112.5245	13064	8.21
1115.6046	28448	17.89
1117.5621	14278	8.98
1120.7953	22917	14.41
1123.9406	9398	5.91
1125.9214	17721	11.14
1130.2720	22076	13.88
1132.3801	18709	11.76
1135.7168	10835	6.81
1137.7699	19292	12.13
1140.1508	12472	7.84
1141.6582	12883	8.10
1145.7281	13386	8.42
1150.0477	10446	6.57
1151.9003	14969	9.41
1155.7896	18491	11.63
1157.6145	9670	6.08
1159.3494	14545	9.15
1160.8041	9886	6.22
1163.2095	11576	7.28
1165.1483	9841	6.19
1166.4941	9292	5.84
1168.7251	9349	5.88
1170.3588	14839	9.33
1175.7921	8285	5.21
1177.0034	8022	5.04
1179.4340	13224	8.31
1181.1121	8269	5.20
1183.2296	8855	5.57
1184.7777	10909	6.86
1187.3020	8645	5.44
1189.2590	18980	11.93
