[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_F_061_N_32285_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:38:09

[MS Spectrum]
# of Peaks	527
Raw Spectrum	[2.242->2.983],(scan:[270->359])
Background	No Background Spectrum
Base Peak	m/z 782.51 (Inten : 311,197)
m/z	Absolute Intensity	Relative Intensity
69.2305	17840	5.73
87.1852	36013	11.57
104.2353	216265	69.49
105.2222	17404	5.59
115.1384	18921	6.08
132.1387	19965	6.42
136.2593	17579	5.65
146.2705	21253	6.83
154.0960	18836	6.05
157.1219	23737	7.63
158.2202	40111	12.89
159.0915	28773	9.25
162.1479	25575	8.22
170.0560	45982	14.78
173.0782	17689	5.68
175.0879	80191	25.77
177.0382	17449	5.61
183.1010	16566	5.32
185.0943	25676	8.25
203.2108	79870	25.67
204.1162	47141	15.15
213.1060	17486	5.62
215.2082	73017	23.46
219.0255	35756	11.49
221.0704	25558	8.21
227.2051	87166	28.01
239.1636	22494	7.23
245.1313	16114	5.18
255.1157	18499	5.94
257.1686	16253	5.22
261.0448	15784	5.07
271.1685	126341	40.60
272.2280	18745	6.02
280.0664	18655	5.99
287.1514	77979	25.06
288.2025	16818	5.40
296.0459	28978	9.31
304.2721	21072	6.77
307.0095	53348	17.14
309.0835	21640	6.95
317.0714	17356	5.58
325.1749	17828	5.73
327.2176	17177	5.52
341.2105	15869	5.10
355.2024	20296	6.52
369.2483	22658	7.28
385.2443	19412	6.24
399.2144	18716	6.01
409.1031	24582	7.90
413.2752	27529	8.85
425.1360	48881	15.71
426.2225	17237	5.54
429.2439	32760	10.53
443.1587	18078	5.81
457.3146	27082	8.70
459.2776	28629	9.20
469.2736	16116	5.18
483.2120	20950	6.73
487.3120	17948	5.77
490.6771	19970	6.42
496.3370	42197	13.56
497.4370	27145	8.72
499.3001	23041	7.40
501.2999	23888	7.68
502.2408	18817	6.05
503.2854	29812	9.58
504.3072	28704	9.22
505.3320	17057	5.48
507.2534	17450	5.61
508.7994	38129	12.25
511.5286	43196	13.88
513.2808	38538	12.38
515.6555	44432	14.28
517.4982	16690	5.36
518.3401	112255	36.07
519.3994	36754	11.81
520.4620	35223	11.32
521.3593	20516	6.59
523.2991	39723	12.76
524.3651	26053	8.37
525.8320	53377	17.15
527.3160	40135	12.90
529.4078	62025	19.93
530.5416	46916	15.08
531.4733	28116	9.03
533.2982	19633	6.31
534.3040	98584	31.68
535.7604	89963	28.91
536.2982	16056	5.16
538.2471	92750	29.80
540.8660	88864	28.56
541.6982	15679	5.04
542.6982	17034	5.47
543.4982	23181	7.45
544.2831	63627	20.45
545.3003	53786	17.28
546.3108	57332	18.42
547.7505	119283	38.33
548.2982	21231	6.82
549.2982	16277	5.23
550.4709	66482	21.36
552.8818	113825	36.58
553.5982	15949	5.13
555.4869	135556	43.56
556.3982	19268	6.19
557.2982	23325	7.50
557.7906	121179	38.94
559.0982	21390	6.87
559.9016	129596	41.64
561.2982	27481	8.83
562.6983	121203	38.95
563.3982	17354	5.58
564.1982	18011	5.79
565.0397	137902	44.31
567.6066	132071	42.44
568.2982	20760	6.67
569.2982	20226	6.50
570.0676	153382	49.29
571.1982	18470	5.94
572.1982	20495	6.59
573.5538	93658	30.10
574.6881	60297	19.38
575.2982	24171	7.77
576.1982	23273	7.48
577.1382	158514	50.94
578.0982	19244	6.18
579.5728	163860	52.65
580.2982	23093	7.42
581.2982	17392	5.59
582.2319	173857	55.87
583.2982	18840	6.05
585.1810	174234	55.99
585.6982	29347	9.43
586.6982	20463	6.58
587.7337	166804	53.60
589.6483	82105	26.38
590.2982	21546	6.92
591.5789	196487	63.14
592.2982	27247	8.76
593.2982	21641	6.95
594.2809	190929	61.35
595.4982	19278	6.19
596.9391	206362	66.31
597.8982	21231	6.82
598.8982	23528	7.56
599.7694	217872	70.01
600.8982	24160	7.76
601.8982	27425	8.81
602.8561	262698	84.42
604.2982	24113	7.75
605.9597	204480	65.71
606.5982	28626	9.20
607.5982	19824	6.37
608.8022	227505	73.11
609.8982	19240	6.18
610.8982	22737	7.31
611.7657	194084	62.37
612.8982	20411	6.56
614.4155	234711	75.42
615.3982	27042	8.69
616.3982	25633	8.24
617.3634	231210	74.30
618.5982	23809	7.65
619.5982	28090	9.03
