[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130627_MEC_M_066_N_32223_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:15:04

[MS Spectrum]
# of Peaks	232
Raw Spectrum	[9.208->11.350],(scan:[1106->1363])
Background	No Background Spectrum
Base Peak	m/z 798.54 (Inten : 227,382)
m/z	Absolute Intensity	Relative Intensity
104.2313	52216	22.96
132.1511	14793	6.51
146.2575	15477	6.81
158.2032	14945	6.57
162.1439	15033	6.61
170.0563	23725	10.43
175.0981	35526	15.62
203.2161	68695	30.21
204.1553	25686	11.30
215.2150	41418	18.22
219.0451	12446	5.47
227.2100	22719	9.99
271.1722	32457	14.27
280.0675	13264	5.83
287.1625	28867	12.70
296.0595	25245	11.10
307.0144	23916	10.52
360.3122	11409	5.02
369.2711	13563	5.96
370.3260	12185	5.36
371.2562	11919	5.24
376.3074	13482	5.93
385.2551	12421	5.46
400.3263	24331	10.70
408.3012	14689	6.46
413.3059	14080	6.19
424.3046	34220	15.05
425.2116	20539	9.03
426.3225	14049	6.18
428.2929	11495	5.06
429.2363	25026	11.01
496.3593	18810	8.27
518.3358	45092	19.83
519.3965	14428	6.35
520.4017	12977	5.71
534.3312	60975	26.82
535.3869	19387	8.53
536.3611	12177	5.36
544.3496	19331	8.50
546.3787	22576	9.93
558.3046	14182	6.24
560.4153	33413	14.69
561.4016	15845	6.97
562.3550	29718	13.07
563.4437	11838	5.21
576.5338	20526	9.03
577.5426	12785	5.62
589.4139	11814	5.20
591.3990	11480	5.05
599.8667	12635	5.56
605.4692	13116	5.77
608.9194	13825	6.08
617.5179	18492	8.13
620.9832	15868	6.98
626.9132	14887	6.55
629.3777	14173	6.23
631.4839	19680	8.66
633.5013	23127	10.17
635.4107	12552	5.52
641.4077	13000	5.72
643.5618	16246	7.14
645.3817	14138	6.22
647.4381	14245	6.26
649.4605	11994	5.27
652.9542	14113	6.21
655.4725	13310	5.85
657.4744	13831	6.08
659.4497	26206	11.53
660.5306	12267	5.39
661.5723	20318	8.94
663.4894	13934	6.13
664.9835	16880	7.42
671.4929	15947	7.01
672.4875	15918	7.00
673.5524	15640	6.88
675.2998	20742	9.12
676.3907	12580	5.53
677.4337	15767	6.93
679.4526	11838	5.21
685.4183	15058	6.62
687.5956	24002	10.56
688.5662	21955	9.66
689.5528	17403	7.65
691.5081	11769	5.18
693.4520	12643	5.56
700.4046	12762	5.61
701.4316	19047	8.38
702.4561	12135	5.34
703.5101	23604	10.38
704.5431	13354	5.87
705.5273	19249	8.47
706.5309	11665	5.13
707.4962	12281	5.40
711.5180	13552	5.96
714.4655	13164	5.79
719.3303	12591	5.54
721.4249	19106	8.40
722.4329	13503	5.94
723.4421	15978	7.03
725.5609	30027	13.21
726.5595	18029	7.93
728.5478	15248	6.71
732.4862	12585	5.53
734.5619	14668	6.45
735.5681	12993	5.71
737.4573	15313	6.73
738.5070	13579	5.97
739.5056	15588	6.86
740.4728	14910	6.56
741.5366	34847	15.33
742.5715	23451	10.31
743.5689	17874	7.86
744.5203	25346	11.15
745.5244	11677	5.14
746.5088	12582	5.53
749.5034	15680	6.90
754.5352	28097	12.36
755.4973	13771	6.06
756.5550	38282	16.84
757.5139	18420	8.10
758.5760	55977	24.62
759.5467	29651	13.04
760.6022	59616	26.22
761.6431	30139	13.25
762.5936	14991	6.59
764.5211	12451	5.48
765.5117	14627	6.43
766.5529	25668	11.29
767.5368	14607	6.42
768.5657	25210	11.09
769.5227	14469	6.36
770.5074	36739	16.16
771.5100	15793	6.95
772.5541	47673	20.97
773.5500	24073	10.59
774.5485	16030	7.05
778.5024	16323	7.18
780.5522	160901	70.76
781.5113	78769	34.64
782.5466	209652	92.20
783.5596	103143	45.36
784.5563	69929	30.75
785.5838	24806	10.91
786.5919	43696	19.22
787.6330	23161	10.19
788.5963	24818	10.91
789.5885	11828	5.20
790.5394	17158	7.55
792.5334	16111	7.09
793.5178	18929	8.32
794.5604	34624	15.23
796.5428	194442	85.51
797.5077	89572	39.39
798.5433	227382	100.00
799.5362	104406	45.92
800.5408	47435	20.86
801.5784	15475	6.81
802.5272	19560	8.60
804.5539	51096	22.47
805.5170	25398	11.17
806.5579	88350	38.86
807.5547	45136	19.85
808.5781	106695	46.92
809.5798	61648	27.11
810.5751	58879	25.89
811.6126	27034	11.89
812.5713	23605	10.38
813.5887	15116	6.65
814.5728	14608	6.42
816.5634	14416	6.34
818.5054	22947	10.09
820.5513	67581	29.72
821.5198	34961	15.38
822.5538	115819	50.94
823.5579	61820	27.19
824.5580	144877	63.72
825.5685	75050	33.01
826.5723	61001	26.83
827.6235	27816	12.23
828.5671	31540	13.87
829.5451	16433	7.23
830.5424	30844	13.56
831.5535	16853	7.41
832.5504	36244	15.94
833.5794	20449	8.99
834.5773	21377	9.40
835.6002	15948	7.01
836.5966	15190	6.68
837.5941	15513	6.82
838.5770	12552	5.52
844.5212	30115	13.24
845.5583	16609	7.30
846.5397	32191	14.16
847.5507	17424	7.66
848.5498	33211	14.61
849.5866	20780	9.14
850.5870	23224	10.21
851.6001	19278	8.48
852.5952	19021	8.37
853.6097	17875	7.86
854.6047	17326	7.62
856.6221	14721	6.47
869.5838	16216	7.13
870.5871	15340	6.75
871.6317	14181	6.24
872.6125	16254	7.15
881.6586	16260	7.15
895.6933	16951	7.45
896.6538	11645	5.12
897.6976	22918	10.08
898.7471	13891	6.11
923.7427	12106	5.32
925.6967	12295	5.41
955.6242	12223	5.38
969.4282	13355	5.87
1016.1616	11602	5.10
1030.1915	13791	6.07
1032.5697	14292	6.29
1044.8562	13708	6.03
1072.2426	11465	5.04
1086.7960	17616	7.75
1092.3574	14066	6.19
1097.1523	11738	5.16
1137.0891	12952	5.70
1151.2788	13857	6.09
1172.6223	12888	5.67
1198.5238	11587	5.10
1272.6039	12362	5.44
1384.8065	12272	5.40
1396.6071	13261	5.83
1465.3947	11425	5.02
1529.4534	14228	6.26

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	9088	1.6504
10.3982	8864	1.6098
10.4982	8576	1.5575
10.5982	8432	1.5313
10.6982	8480	1.5400
10.7982	8672	1.5749
10.8982	8768	1.5923
10.9982	8784	1.5952
11.0982	8704	1.5807
11.1982	8560	1.5546
11.2982	8416	1.5284
11.3982	8320	1.5110
11.4982	8288	1.5052
11.5982	8288	1.5052
11.6982	8336	1.5139
11.7982	8368	1.5197
11.8982	8384	1.5226
11.9982	8384	1.5226
12.0982	8368	1.5197
12.1982	8336	1.5139
12.2982	8304	1.5081
12.3982	8304	1.5081
12.4982	8304	1.5081
12.5982	8304	1.5081
12.6982	8304	1.5081
12.7982	8336	1.5139
12.8982	8448	1.5342
12.9982	8656	1.5720
13.0982	8896	1.6156
13.1982	9072	1.6475
13.2982	9120	1.6563
13.3982	9056	1.6446
13.4982	8880	1.6127
13.5982	8704	1.5807
13.6982	8592	1.5604
13.7982	8560	1.5546
