[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_F_057_N_32287_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:46:28

[MS Spectrum]
# of Peaks	244
Raw Spectrum	[1.033->1.983],(scan:[125->239])
Background	No Background Spectrum
Base Peak	m/z 104.22 (Inten : 365,956)
m/z	Absolute Intensity	Relative Intensity
87.1783	33894	9.26
104.2227	365956	100.00
105.2353	22797	6.23
115.1358	21235	5.80
158.1989	48301	13.20
170.0512	43986	12.02
175.0679	36496	9.97
203.1711	36627	10.01
204.0766	46142	12.61
215.2094	73761	20.16
219.0174	38411	10.50
221.0654	23552	6.44
227.2081	177289	48.45
228.2790	27535	7.52
239.1606	19580	5.35
247.1809	35091	9.59
271.1665	114410	31.26
287.1446	78918	21.56
296.0587	19921	5.44
304.2610	67906	18.56
305.3263	21087	5.76
307.0027	42218	11.54
325.2199	20397	5.57
327.1755	18820	5.14
341.2148	26175	7.15
355.2245	30145	8.24
369.2708	41341	11.30
371.2016	35205	9.62
385.2032	41453	11.33
399.2795	32824	8.97
409.0759	18462	5.04
413.2998	37342	10.20
415.2022	38962	10.65
425.1322	38492	10.52
429.2794	55767	15.24
430.2517	20026	5.47
443.2812	35618	9.73
445.2617	19134	5.23
457.3191	32591	8.91
459.2561	38171	10.43
469.4921	22205	6.07
473.3226	37507	10.25
483.2709	20454	5.59
487.3832	28149	7.69
489.3142	19210	5.25
496.2830	20406	5.58
501.3684	25889	7.07
503.3430	57780	15.79
504.3455	26711	7.30
517.3195	33661	9.20
518.2800	75958	20.76
519.3891	23748	6.49
527.3351	21560	5.89
529.4169	42022	11.48
531.3910	28114	7.68
534.3054	83083	22.70
535.3929	25463	6.96
536.3975	20275	5.54
544.3524	24038	6.57
545.3571	20272	5.54
546.3270	27718	7.57
547.3469	51387	14.04
548.3995	19016	5.20
557.0572	22669	6.19
560.3235	28121	7.68
561.3760	48438	13.24
562.3902	43268	11.82
563.4374	18916	5.17
575.3672	19565	5.35
577.3785	21985	6.01
591.4130	38441	10.50
605.4293	25738	7.03
615.7792	18356	5.02
619.4348	20699	5.66
621.3691	25588	6.99
629.1765	22583	6.17
633.4251	20628	5.64
635.4030	51500	14.07
636.4442	22671	6.20
645.1156	20555	5.62
649.4564	37716	10.31
650.4632	19160	5.24
659.3632	25352	6.93
663.4302	25283	6.91
665.3704	29036	7.93
671.2929	30143	8.24
675.1970	36482	9.97
677.4288	23540	6.43
679.4771	53632	14.66
680.5037	22041	6.02
685.4783	21307	5.82
687.5141	20802	5.68
693.4828	35913	9.81
701.4080	27143	7.42
703.5007	26104	7.13
705.5073	20092	5.49
707.4534	19331	5.28
709.4653	24897	6.80
719.2571	23420	6.40
721.3713	23456	6.41
723.4555	48523	13.26
724.4430	24740	6.76
725.5059	45899	12.54
726.5604	22157	6.05
737.4811	36298	9.92
738.4820	24879	6.80
739.4879	22997	6.28
741.5259	43949	12.01
742.5353	25268	6.90
743.5394	27884	7.62
744.5737	22245	6.08
751.5127	22285	6.09
753.4656	25632	7.00
754.5197	29810	8.15
756.5077	37316	10.20
757.4993	19142	5.23
758.5604	58346	15.94
759.5450	34084	9.31
760.5541	61045	16.68
761.5941	35024	9.57
764.4774	25742	7.03
765.4985	21791	5.95
766.5398	33197	9.07
767.4921	43193	11.80
768.5365	39516	10.80
769.5493	24869	6.80
770.5433	35614	9.73
771.4943	20502	5.60
772.5104	40853	11.16
773.5253	22639	6.19
774.5370	21844	5.97
776.9437	24281	6.63
778.4691	27692	7.57
780.5536	220354	60.21
781.5004	119741	32.72
782.5201	258516	70.64
783.5461	126911	34.68
784.5831	80271	21.93
785.5735	29000	7.92
786.5472	46261	12.64
787.5388	25862	7.07
788.5405	32670	8.93
789.5590	20886	5.71
790.5314	27573	7.53
792.5720	27677	7.56
794.5286	50786	13.88
796.5336	238962	65.30
797.5002	115253	31.49
798.5212	262690	71.78
799.5298	120567	32.95
800.5696	58462	15.98
801.5471	19859	5.43
802.4946	44304	12.11
804.5203	78455	21.44
805.5078	37956	10.37
806.5510	126481	34.56
807.5090	60350	16.49
808.5206	147392	40.28
809.5642	73485	20.08
810.5771	63197	17.27
811.5596	51843	14.17
812.5490	35084	9.59
813.5350	20075	5.49
814.5444	22338	6.10
816.5483	20492	5.60
818.4766	40526	11.07
820.5247	71906	19.65
821.5083	33760	9.23
822.5385	114130	31.19
823.5074	52834	14.44
824.5504	128869	35.21
825.5559	77637	21.21
826.5907	61443	16.79
827.5870	26005	7.11
828.5388	43979	12.02
829.4954	21691	5.93
830.5024	39349	10.75
831.5368	22371	6.11
832.5397	38469	10.51
833.5387	21615	5.91
834.5433	24573	6.71
844.5142	40062	10.95
845.5465	23039	6.30
846.5323	36412	9.95
847.5441	20798	5.68
848.5462	34197	9.34
849.5416	19685	5.38
850.5411	22424	6.13
855.5422	27363	7.48
856.5694	21075	5.76
869.4808	20113	5.50
870.5242	19649	5.37
913.2759	20383	5.57
985.4880	20899	5.71
1058.2299	19346	5.29
1062.3459	20067	5.48
1074.2286	18379	5.02
1081.7831	26341	7.20
1091.0112	18309	5.00
1093.0072	18630	5.09
1110.7841	25814	7.05
1118.0560	25304	6.91
1127.9752	22391	6.12
1131.9413	20842	5.70
1142.4911	23366	6.38
1146.1438	23235	6.35
1149.9818	29559	8.08
1152.3740	19591	5.35
1154.9260	21200	5.79
1159.3850	21146	5.78
1162.9547	19687	5.38
1170.3048	22838	6.24
1173.7067	27418	7.49
1181.2722	18594	5.08
1186.7959	32071	8.76
1190.2601	18373	5.02
1194.1655	20144	5.50
1198.5516	25290	6.91
1219.4369	19826	5.42
1277.3754	19025	5.20
1296.5107	19098	5.22
1337.3649	18327	5.01
1342.5763	21165	5.78
1351.8997	21296	5.82
1366.9005	25392	6.94
1412.7744	21057	5.75
1423.4607	18914	5.17
1425.4749	19240	5.26
1461.5613	21568	5.89
1472.4310	18862	5.15
1489.3162	18939	5.18
1518.0347	19242	5.26
1524.3251	24688	6.75
1526.6335	21517	5.88
1530.4304	23840	6.51
1536.3894	21296	5.82
1542.0537	26733	7.30
1544.1831	22953	6.27
1554.5237	31097	8.50
1556.5068	32835	8.97
1558.5227	23950	6.54
1561.1117	28769	7.86
1568.1357	18709	5.11
1582.2644	18426	5.04

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	10980	0.8642
10.3982	10800	0.8500
10.4982	10400	0.8185
10.5982	10060	0.7918
10.6982	9880	0.7776
10.7982	10040	0.7902
10.8982	10500	0.8264
10.9982	11300	0.8894
11.0982	12280	0.9665
11.1982	13060	1.0279
11.2982	13340	1.0499
11.3982	13000	1.0232
11.4982	12160	0.9571
11.5982	11080	0.8721
11.6982	10160	0.7996
11.7982	9660	0.7603
11.8982	9580	0.7540
11.9982	9640	0.7587
12.0982	9720	0.7650
12.1982	9920	0.7808
12.2982	10400	0.8185
12.3982	11160	0.8784
12.4982	11980	0.9429
12.5982	12620	0.9933
12.6982	13140	1.0342
12.7982	13820	1.0877
12.8982	14800	1.1648
12.9982	15820	1.2451
13.0982	16560	1.3034
13.1982	16800	1.3223
13.2982	16480	1.2971
13.3982	15700	1.2357
13.4982	14780	1.1633
13.5982	14100	1.1097
13.6982	13980	1.1003
13.7982	14560	1.1460
13.8982	15820	1.2451
13.9982	17300	1.3616
14.0982	18420	1.4498
14.1982	18680	1.4702
14.2982	18060	1.4214
14.3982	16960	1.3348
14.4982	16420	1.2923
14.5982	17240	1.3569
14.6982	19140	1.5064
14.7982	20780	1.6355
14.8982	21000	1.6528
14.9982	19740	1.5536
15.0982	17840	1.4041
15.1982	16240	1.2782
15.2982	15560	1.2247
15.3982	15720	1.2372
15.4982	16140	1.2703
15.5982	16200	1.2750
15.6982	15840	1.2467
15.7982	15480	1.2184
15.8982	15600	1.2278
15.9982	16160	1.2719
16.0982	16800	1.3223
16.1982	17000	1.3380
16.2982	16720	1.3160
16.3982	16120	1.2687
16.4982	15700	1.2357
16.5982	15820	1.2451
16.6982	16740	1.3175
16.7982	18220	1.4340
16.8982	19720	1.5521
16.9982	20520	1.6150
17.0982	20240	1.5930
17.1982	18900	1.4875
17.2982	17040	1.3411
17.3982	15440	1.2152
17.4982	14720	1.1585
17.5982	15100	1.1885
17.6982	16180	1.2735
17.7982	17340	1.3648
17.8982	17780	1.3994
17.9982	17120	1.3474
18.0982	15520	1.2215
18.1982	13540	1.0657
18.2982	11700	0.9209
18.3982	10460	0.8233
18.4982	9960	0.7839
18.5982	10000	0.7871
18.6982	10180	0.8012
18.7982	10260	0.8075
18.8982	10300	0.8107
18.9982	10500	0.8264
19.0982	10840	0.8532
19.1982	11100	0.8736
19.2982	11200	0.8815
19.3982	11280	0.8878
19.4982	11580	0.9114
19.5982	12120	0.9539
19.6982	12720	1.0011
19.7982	13200	1.0389
19.8982	13340	1.0499
19.9982	12980	1.0216
20.0982	12140	0.9555
20.1982	11200	0.8815
20.2982	10580	0.8327
20.3982	10320	0.8122
20.4982	10240	0.8059
20.5982	10220	0.8044
20.6982	10280	0.8091
20.7982	10380	0.8170
20.8982	10400	0.8185
20.9982	10300	0.8107
21.0982	10100	0.7949
21.1982	9900	0.7792
21.2982	9740	0.7666
21.3982	9660	0.7603
21.4982	9680	0.7619
21.5982	9760	0.7682
21.6982	9860	0.7760
21.7982	9880	0.7776
21.8982	9880	0.7776
21.9982	9960	0.7839
22.0982	10260	0.8075
22.1982	10860	0.8547
22.2982	11620	0.9146
22.3982	12340	0.9712
22.4982	12780	1.0059
22.5982	12720	1.0011
22.6982	12160	0.9571
22.7982	11280	0.8878
22.8982	10460	0.8233
22.9982	10000	0.7871
23.0982	10120	0.7965
23.1982	10780	0.8484
23.2982	11700	0.9209
23.3982	12520	0.9854
23.4982	12960	1.0200
23.5982	12800	1.0074
23.6982	12100	0.9523
23.7982	11220	0.8831
23.8982	10460	0.8233
23.9982	9920	0.7808
24.0982	9640	0.7587
24.1982	9640	0.7587
24.2982	9880	0.7776
24.3982	10260	0.8075
24.4982	10640	0.8374
24.5982	10960	0.8626
24.6982	11100	0.8736
24.7982	11040	0.8689
24.8982	10780	0.8484
24.9982	10440	0.8217
25.0982	10120	0.7965
25.1982	9920	0.7808
25.2982	9960	0.7839
25.3982	10280	0.8091
25.4982	10700	0.8421
25.5982	11060	0.8705
25.6982	11200	0.8815
25.7982	11080	0.8721
25.8982	10820	0.8516
25.9982	10600	0.8343
26.0982	10580	0.8327
26.1982	10720	0.8437
26.2982	10960	0.8626
26.3982	11260	0.8862
26.4982	11480	0.9035
26.5982	11520	0.9067
26.6982	11320	0.8909
26.7982	11020	0.8673
26.8982	10640	0.8374
26.9982	10340	0.8138
27.0982	10240	0.8059
27.1982	10380	0.8170
27.2982	10540	0.8296
27.3982	10560	0.8311
27.4982	10420	0.8201
27.5982	10160	0.7996
27.6982	9880	0.7776
27.7982	9720	0.7650
27.8982	9760	0.7682
27.9982	10000	0.7871
28.0982	10340	0.8138
28.1982	10680	0.8406
28.2982	10880	0.8563
28.3982	10880	0.8563
28.4982	10620	0.8359
28.5982	10260	0.8075
28.6982	10000	0.7871
28.7982	9940	0.7823
28.8982	10040	0.7902
28.9982	10160	0.7996
29.0982	10200	0.8028
29.1982	10160	0.7996
29.2982	10000	0.7871
29.3982	9860	0.7760
29.4982	9780	0.7697
29.5982	9800	0.7713
29.6982	9920	0.7808
29.7982	10140	0.7981
29.8982	10580	0.8327
29.9982	11200	0.8815
30.0982	11780	0.9272
30.1982	12120	0.9539
30.2982	12120	0.9539
30.3982	11900	0.9366
30.4982	11500	0.9051
30.5982	11040	0.8689
30.6982	10680	0.8406
30.7982	10440	0.8217
30.8982	10240	0.8059
30.9982	10060	0.7918
31.0982	9900	0.7792
31.1982	9840	0.7745
31.2982	9860	0.7760
31.3982	9880	0.7776
31.4982	9900	0.7792
31.5982	9900	0.7792
31.6982	9920	0.7808
31.7982	9940	0.7823
31.8982	9980	0.7855
31.9982	10000	0.7871
32.0982	10000	0.7871
32.1982	9960	0.7839
32.2982	9920	0.7808
32.3982	9840	0.7745
32.4982	9800	0.7713
32.5982	9860	0.7760
32.6982	10020	0.7886
32.7982	10180	0.8012
32.8982	10260	0.8075
32.9982	10240	0.8059
33.0982	10100	0.7949
33.1982	9920	0.7808
33.2982	9760	0.7682
33.3982	9680	0.7619
33.4982	9700	0.7634
33.5982	9820	0.7729
33.6982	10000	0.7871
33.7982	10220	0.8044
33.8982	10340	0.8138
33.9982	10380	0.8170
34.0982	10280	0.8091
34.1982	10100	0.7949
34.2982	9920	0.7808
34.3982	9800	0.7713
34.4982	9760	0.7682
34.5982	9780	0.7697
34.6982	9800	0.7713
34.7982	9820	0.7729
34.8982	9820	0.7729
34.9982	9840	0.7745
35.0982	9860	0.7760
35.1982	9920	0.7808
35.2982	9980	0.7855
35.3982	9980	0.7855
35.4982	9960	0.7839
35.5982	9900	0.7792
35.6982	9820	0.7729
35.7982	9720	0.7650
35.8982	9660	0.7603
35.9982	9720	0.7650
36.0982	9900	0.7792
36.1982	10140	0.7981
36.2982	10400	0.8185
36.3982	10640	0.8374
36.4982	10900	0.8579
36.5982	11120	0.8752
36.6982	11180	0.8799
36.7982	11120	0.8752
36.8982	10920	0.8595
36.9982	10600	0.8343
37.0982	10200	0.8028
37.1982	9880	0.7776
37.2982	9680	0.7619
37.3982	9660	0.7603
37.4982	9760	0.7682
37.5982	9940	0.7823
37.6982	10120	0.7965
37.7982	10220	0.8044
37.8982	10260	0.8075
37.9982	10200	0.8028
38.0982	10120	0.7965
38.1982	10080	0.7934
38.2982	10080	0.7934
38.3982	10100	0.7949
