[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_M_054_N_32207_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:51:44

[MS Spectrum]
# of Peaks	538
Raw Spectrum	[1.067->1.917],(scan:[129->231])
Background	No Background Spectrum
Base Peak	m/z 104.22 (Inten : 231,930)
m/z	Absolute Intensity	Relative Intensity
69.2058	15386	6.63
87.1720	18720	8.07
104.2244	231930	100.00
105.2316	14095	6.08
127.2244	13101	5.65
129.1377	12451	5.37
132.1297	12185	5.25
136.1835	12888	5.56
146.2333	46624	20.10
147.2097	17499	7.54
151.0435	11955	5.15
154.0846	16517	7.12
156.0975	16387	7.07
157.1063	23764	10.25
158.1993	40174	17.32
159.0747	19272	8.31
162.1246	43272	18.66
169.1170	17107	7.38
170.0477	19354	8.34
175.0963	50211	21.65
177.0479	16197	6.98
183.0966	14406	6.21
185.1021	20070	8.65
188.1597	18431	7.95
191.1222	16587	7.15
193.0665	12010	5.18
197.0816	12744	5.49
203.1979	100966	43.53
204.1092	53640	23.13
207.0673	13289	5.73
213.0869	12907	5.57
215.2061	70737	30.50
217.1010	19767	8.52
219.0052	23424	10.10
221.0574	21094	9.09
227.1954	25109	10.83
230.2580	20113	8.67
239.1445	22700	9.79
245.1104	20919	9.02
255.1002	12086	5.21
257.1291	12884	5.56
261.0415	13306	5.74
263.0559	12494	5.39
271.1637	82963	35.77
272.2339	12389	5.34
287.1339	35259	15.20
291.0850	15903	6.86
297.2107	17669	7.62
301.0924	17159	7.40
307.0000	34431	14.85
309.0996	22382	9.65
311.1821	29500	12.72
312.3022	19439	8.38
313.1942	13832	5.96
314.2991	14977	6.46
317.0353	14752	6.36
319.0976	11708	5.05
325.2253	28841	12.44
326.2668	16091	6.94
327.2113	22759	9.81
328.2930	16906	7.29
341.2408	36045	15.54
354.1646	20000	8.62
355.2204	59886	25.82
356.2889	19557	8.43
357.1840	23726	10.23
360.2947	41845	18.04
361.3240	16143	6.96
369.2703	67714	29.20
370.3196	52155	22.49
371.2640	56912	24.54
372.3126	44981	19.39
373.2987	14989	6.46
376.3073	23261	10.03
384.3972	46904	20.22
385.2563	58652	25.29
386.2341	17487	7.54
399.2632	65037	28.04
400.3328	31113	13.41
401.2388	23812	10.27
408.3189	46232	19.93
409.3103	21258	9.17
413.2840	59262	25.55
414.2830	19933	8.59
415.2290	37139	16.01
416.3018	12179	5.25
424.3007	53309	22.98
425.2277	40221	17.34
426.2753	22275	9.60
427.2587	14929	6.44
429.2582	57280	24.70
430.3133	20290	8.75
431.2859	17251	7.44
441.2685	15903	6.86
443.2871	36203	15.61
445.2283	15294	6.59
457.3190	34143	14.72
458.2949	11719	5.05
459.2719	31444	13.56
467.1619	12013	5.18
469.3018	14129	6.09
473.3305	26811	11.56
483.2808	12539	5.41
485.2716	14878	6.41
487.3520	23052	9.94
492.3876	19712	8.50
493.3507	13043	5.62
496.2966	19841	8.55
497.3634	12559	5.41
501.3632	24428	10.53
502.3001	13208	5.69
503.2986	28823	12.43
504.3535	15251	6.58
508.2994	12818	5.53
509.3049	12150	5.24
511.3112	12068	5.20
513.3602	14909	6.43
517.3148	22638	9.76
518.3025	67459	29.09
519.3390	24574	10.60
520.3630	13318	5.74
522.3967	12032	5.19
527.2741	14692	6.33
529.3845	18959	8.17
531.3832	17340	7.48
534.3168	41487	17.89
535.3644	13180	5.68
536.4536	36911	15.91
537.4641	17962	7.74
542.3082	21699	9.36
544.3181	29222	12.60
545.3530	20293	8.75
546.3477	28372	12.23
547.3937	21882	9.43
552.4110	19069	8.22
557.3575	18848	8.13
558.3654	17679	7.62
559.3589	13645	5.88
560.3723	27293	11.77
561.3932	28200	12.16
562.3939	26865	11.58
563.4458	11845	5.11
571.4460	13237	5.71
573.3979	15543	6.70
575.3823	15650	6.75
576.4411	15043	6.49
577.4755	11974	5.16
580.4683	21283	9.18
581.4628	12597	5.43
585.3984	12530	5.40
589.3958	17033	7.34
591.3938	17068	7.36
597.4872	12210	5.26
601.4521	13990	6.03
605.4309	17090	7.37
611.4324	13670	5.89
613.5178	13912	6.00
615.4815	13860	5.98
617.3678	17908	7.72
619.4040	14810	6.39
625.6082	11752	5.07
627.4385	14791	6.38
629.3876	14350	6.19
631.4747	13205	5.69
633.3890	19835	8.55
635.4003	18381	7.93
639.3931	12755	5.50
641.4518	12301	5.30
645.4105	15060	6.49
647.4025	13546	5.84
649.4098	19435	8.38
650.4832	12992	5.60
653.1306	17084	7.37
655.4172	16377	7.06
657.4502	13302	5.74
659.2567	37258	16.06
660.3770	11859	5.11
661.4402	22841	9.85
663.4435	15580	6.72
665.4169	13110	5.65
669.5625	13592	5.86
671.5531	30378	13.10
672.5812	21573	9.30
673.5901	19467	8.39
675.2494	35848	15.46
676.3342	15307	6.60
677.4008	29091	12.54
678.4498	13586	5.86
679.4199	18157	7.83
685.4497	24214	10.44
686.4487	14395	6.21
687.5071	23507	10.14
688.5455	15216	6.56
689.5141	18755	8.09
691.4343	13440	5.79
693.3937	24809	10.70
694.4359	12299	5.30
695.4443	14632	6.31
697.5244	18032	7.77
699.4702	16564	7.14
701.4180	27028	11.65
702.4467	14535	6.27
703.4907	24349	10.50
705.4395	22394	9.66
706.4422	12577	5.42
707.4703	15741	6.79
711.5302	14066	6.06
713.5279	12935	5.58
715.4649	14611	6.30
716.5072	11727	5.06
721.4517	24448	10.54
722.4454	15404	6.64
723.4383	22916	9.88
724.4094	12630	5.45
725.5538	43445	18.73
726.5543	24172	10.42
727.5836	16137	6.96
728.5363	13764	5.93
729.4849	13007	5.61
732.5107	12245	5.28
733.4963	12667	5.46
734.5207	13715	5.91
735.5370	14659	6.32
737.1785	28867	12.45
738.4907	15999	6.90
739.5029	15595	6.72
740.4739	14122	6.09
741.5266	32815	14.15
742.5554	21305	9.19
743.5517	17144	7.39
744.5415	19173	8.27
745.5345	14746	6.36
746.5031	15795	6.81
747.5045	15909	6.86
749.5042	23705	10.22
750.5366	14759	6.36
751.5061	15031	6.48
752.5375	17446	7.52
754.5227	39770	17.15
755.5202	21236	9.16
756.5175	63257	27.27
757.5364	31914	13.76
758.5433	47799	20.61
759.5354	26155	11.28
760.5579	36462	15.72
761.5669	22824	9.84
762.5763	15343	6.62
764.4761	13945	6.01
765.4760	23177	9.99
766.5460	32386	13.96
767.5712	24407	10.52
768.5883	37510	16.17
769.5897	20484	8.83
770.5281	35264	15.20
771.4960	17581	7.58
772.5053	40079	17.28
773.5672	22038	9.50
774.5773	17787	7.67
775.5275	12030	5.19
777.4286	14128	6.09
778.5070	27869	12.02
780.5466	210374	90.71
781.5363	114471	49.36
782.5235	204825	88.31
783.5496	94727	40.84
784.5848	61180	26.38
785.5781	23841	10.28
786.5505	34306	14.79
787.5495	20654	8.91
788.5410	24711	10.65
789.5524	18071	7.79
790.5342	25583	11.03
791.5525	16047	6.92
792.5201	19180	8.27
793.5338	30711	13.24
794.5536	41054	17.70
795.4982	13576	5.85
796.5425	130655	56.33
797.5355	66161	28.53
798.5151	114070	49.18
799.5493	53071	22.88
800.5575	29146	12.57
801.5528	15279	6.59
802.5406	23453	10.11
804.5507	101147	43.61
805.5045	49031	21.14
806.5469	137312	59.20
807.5483	70851	30.55
808.5530	145243	62.62
809.5615	78682	33.92
810.5629	55515	23.94
