[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130618_MEC_M_056_N_32279_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:26:40

[MS Spectrum]
# of Peaks	775
Raw Spectrum	[0.917->3.325],(scan:[111->400])
Background	No Background Spectrum
Base Peak	m/z 104.21 (Inten : 214,754)
m/z	Absolute Intensity	Relative Intensity
69.1988	15791	7.35
87.1674	35314	16.44
104.2137	214754	100.00
105.2171	17753	8.27
112.1564	55950	26.05
115.1168	17744	8.26
127.1491	13265	6.18
129.1408	14306	6.66
132.1338	26472	12.33
136.1660	12223	5.69
140.1281	13910	6.48
143.0959	15656	7.29
145.1320	16661	7.76
146.2178	52528	24.46
147.2468	12875	6.00
150.9928	16018	7.46
153.0384	12330	5.74
154.0847	31884	14.85
156.0607	22810	10.62
157.0968	32645	15.20
158.1879	39747	18.51
159.0787	21605	10.06
160.1756	12377	5.76
162.1241	72316	33.67
166.0298	11207	5.22
167.0270	13020	6.06
169.0460	18833	8.77
170.0314	50262	23.40
171.0999	12175	5.67
172.0731	22404	10.43
173.0618	21355	9.94
175.0731	38741	18.04
177.0235	16641	7.75
181.0142	12630	5.88
183.0959	21003	9.78
184.1114	18486	8.61
185.1099	26778	12.47
186.0983	10858	5.06
188.1407	19949	9.29
191.1080	13850	6.45
193.0628	12026	5.60
197.0582	17139	7.98
199.0556	16091	7.49
200.1059	17667	8.23
201.0868	16921	7.88
203.2031	139576	64.99
204.1067	107425	50.02
205.1445	15823	7.37
207.0529	14745	6.87
209.0416	15036	7.00
211.0473	11718	5.46
213.0922	24576	11.44
215.1961	94193	43.86
216.2643	14360	6.69
217.1369	13271	6.18
219.0123	54878	25.55
221.0452	50759	23.64
223.0905	16138	7.51
225.0762	13215	6.15
226.0647	13908	6.48
227.1742	41460	19.31
229.0696	18401	8.57
233.0300	10816	5.04
237.0956	12589	5.86
239.1283	30984	14.43
241.0739	13303	6.19
243.1076	12281	5.72
245.0971	22195	10.34
247.1552	24362	11.34
248.1057	10885	5.07
249.0638	24859	11.58
251.0780	11492	5.35
253.0914	12496	5.82
255.0800	21250	9.90
257.1430	25461	11.86
258.1059	12566	5.85
261.0338	19026	8.86
263.0445	23078	10.75
265.1073	15666	7.29
266.0474	11198	5.21
267.0560	17287	8.05
