[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130523_MEC_M_081_N_32219_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:10:59

[MS Spectrum]
# of Peaks	341
Raw Spectrum	[0.925->5.008],(scan:[112->602])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 241,737)
m/z	Absolute Intensity	Relative Intensity
69.2178	19567	8.09
87.1889	36868	15.25
104.2299	241737	100.00
105.2321	17901	7.41
112.1785	45577	18.85
113.1302	23367	9.67
115.1338	20961	8.67
129.1364	26169	10.83
131.1424	19034	7.87
132.1221	21874	9.05
135.0990	13487	5.58
136.1665	13255	5.48
140.1363	12683	5.25
141.1138	14104	5.83
143.1214	18386	7.61
145.1172	13252	5.48
146.2375	43105	17.83
147.2171	15537	6.43
148.1216	12803	5.30
151.0379	16169	6.69
153.0442	13455	5.57
154.0978	23668	9.79
156.0771	17016	7.04
157.1101	32241	13.34
158.1705	16426	6.79
159.0651	24766	10.25
162.1439	48581	20.10
164.0204	13861	5.73
166.0728	17805	7.37
167.0806	18867	7.80
169.0921	21700	8.98
170.0348	33526	13.87
172.1152	14858	6.15
173.0739	19705	8.15
175.0949	36545	15.12
177.0854	19583	8.10
181.0506	12992	5.37
183.1074	25871	10.70
184.1129	12449	5.15
185.1202	29251	12.10
188.1486	14685	6.07
191.1305	22171	9.17
193.1090	15556	6.44
195.1022	12912	5.34
197.0951	19235	7.96
199.0666	16023	6.63
201.0988	16464	6.81
203.2032	90216	37.32
204.1144	59179	24.48
207.0816	17029	7.04
209.0679	15650	6.47
213.1080	25359	10.49
215.1555	24619	10.18
217.1699	29483	12.20
218.1306	21513	8.90
218.9983	38167	15.79
221.0635	33310	13.78
223.1060	16286	6.74
225.0900	13050	5.40
227.1366	16889	6.99
229.1008	15579	6.44
233.0877	35687	14.76
239.1580	30933	12.80
241.1308	12482	5.16
245.1183	23446	9.70
246.1535	12481	5.16
247.1441	23481	9.71
249.0628	23879	9.88
251.0522	12931	5.35
253.1183	12453	5.15
255.0910	18923	7.83
257.1521	20784	8.60
261.0610	17653	7.30
263.0576	20498	8.48
265.1669	15743	6.51
267.0843	17814	7.37
269.0710	12438	5.15
271.1724	140049	57.93
272.2298	21552	8.92
280.0701	26065	10.78
281.1625	13276	5.49
285.1042	14242	5.89
287.1539	55484	22.95
288.2020	13620	5.63
291.0826	16941	7.01
293.1384	14063	5.82
296.0608	24540	10.15
301.1050	27313	11.30
307.0070	32944	13.63
309.1284	35286	14.60
311.1350	16311	6.75
317.0783	21618	8.94
319.1191	19407	8.03
325.1660	21252	8.79
327.1543	19668	8.14
337.0779	20691	8.56
339.0536	12226	5.06
351.9793	12936	5.35
353.0366	14125	5.84
355.1195	13374	5.53
365.0637	12717	5.26
368.0663	13267	5.49
369.1526	13460	5.57
383.1193	15234	6.30
393.0648	16670	6.90
399.1502	14572	6.03
409.1241	25798	10.67
413.2392	19962	8.26
425.1201	45646	18.88
426.2078	15806	6.54
427.1421	13444	5.56
429.2146	18063	7.47
467.1037	17931	7.42
483.0711	13345	5.52
518.3454	27041	11.19
524.5385	12229	5.06
527.1664	12807	5.30
529.4009	21056	8.71
531.7179	14998	6.20
534.3052	20065	8.30
546.2734	12728	5.27
548.7020	12609	5.22
570.6253	12717	5.26
575.3929	12455	5.15
577.6142	13632	5.64
585.3831	12403	5.13
589.5504	12741	5.27
599.5156	12507	5.17
601.4844	13591	5.62
603.4651	13262	5.49
605.4588	17901	7.41
614.8017	15190	6.28
617.4164	14252	5.90
619.4806	12455	5.15
621.4955	12210	5.05
633.5167	13412	5.55
637.2751	13980	5.78
639.4227	12318	5.10
643.1054	13683	5.66
645.4738	15992	6.62
655.5435	13810	5.71
659.3853	14325	5.93
663.3743	13408	5.55
671.3059	18907	7.82
675.3949	13901	5.75
679.2636	13412	5.55
685.4410	13649	5.65
687.5260	12306	5.09
690.1362	32241	13.34
693.3690	13076	5.41
695.1597	16273	6.73
699.1805	13970	5.78
703.2603	23808	9.85
705.1683	21518	8.90
713.1611	14467	5.98
716.2961	15043	6.22
719.4586	18398	7.61
721.4128	14280	5.91
723.4910	12717	5.26
725.5501	29144	12.06
726.5660	15941	6.59
741.5172	19788	8.19
742.5838	13475	5.57
743.5820	12703	5.25
754.5084	18968	7.85
756.5098	22463	9.29
758.5275	31476	13.02
759.5501	17050	7.05
760.5796	27744	11.48
761.6487	14221	5.88
766.5542	13346	5.52
768.5573	13525	5.59
770.5455	16864	6.98
772.5484	18939	7.83
776.9551	13300	5.50
778.4734	14362	5.94
780.5452	109361	45.24
781.5425	59031	24.42
782.5254	101249	41.88
783.5531	47768	19.76
784.5899	29460	12.19
785.5912	12245	5.07
786.5488	20652	8.54
787.5524	13451	5.56
788.5527	17433	7.21
790.6217	13411	5.55
794.5184	18566	7.68
796.5438	67855	28.07
797.5417	36622	15.15
798.5358	61010	25.24
799.5613	32808	13.57
800.5640	18683	7.73
802.5049	37369	15.46
803.5127	17732	7.34
804.5090	43693	18.07
805.5065	19406	8.03
806.5378	50061	20.71
807.5454	25406	10.51
808.5513	50517	20.90
809.5739	28358	11.73
810.5729	22869	9.46
811.5820	14940	6.18
812.5887	12501	5.17
813.6031	13128	5.43
814.5924	13586	5.62
815.6111	14129	5.84
816.5875	14281	5.91
818.5021	28473	11.78
819.5079	13781	5.70
820.5100	28966	11.98
821.5541	16634	6.88
822.5415	31860	13.18
823.5704	21705	8.98
824.5538	36462	15.08
825.6440	36416	15.06
826.6279	24506	10.14
827.6434	27799	11.50
828.6094	33969	14.05
829.5914	17512	7.24
830.5385	27177	11.24
831.5372	14866	6.15
832.5425	19728	8.16
833.5850	13023	5.39
834.5799	12836	5.31
839.6166	17223	7.12
841.6614	28893	11.95
842.6468	18688	7.73
843.6424	29034	12.01
844.6068	30404	12.58
845.6448	18306	7.57
846.5728	20813	8.61
847.5892	14052	5.81
848.6011	15908	6.58
849.6537	19965	8.26
850.6183	14292	5.91
851.7275	48605	20.11
852.7027	27078	11.20
853.7374	75992	31.44
854.7269	44987	18.61
855.7308	53394	22.09
856.7483	30379	12.57
857.7452	17825	7.37
865.6379	20755	8.59
867.6758	51732	21.40
868.6626	33059	13.68
869.6772	83613	34.59
870.6783	50802	21.02
871.6897	52812	21.85
872.6733	33293	13.77
873.6783	22240	9.20
874.7044	17936	7.42
875.6949	22986	9.51
877.7463	65378	27.05
878.7156	37757	15.62
879.7489	138502	57.29
880.7418	78694	32.55
881.7329	124835	51.64
882.7521	67647	27.98
883.7503	35640	14.74
884.7676	17064	7.06
889.6650	13005	5.38
891.6803	24586	10.17
893.6983	70843	29.31
894.6284	41610	17.21
895.7023	152311	63.01
896.6597	91894	38.01
897.6931	154388	63.87
898.7431	82492	34.12
899.7277	50935	21.07
900.7311	25459	10.53
901.7259	31885	13.19
902.7056	17981	7.44
903.7131	43602	18.04
904.7084	23280	9.63
905.7518	59959	24.80
906.7480	36919	15.27
907.7495	66111	27.35
908.7736	38713	16.01
909.7640	31071	12.85
910.7764	17729	7.33
911.7645	13939	5.77
913.6515	12301	5.09
915.6702	18057	7.47
916.6640	12360	5.11
917.7098	30987	12.82
918.7046	17175	7.10
919.7276	45668	18.89
920.7108	25724	10.64
921.7461	69659	28.82
922.7495	40159	16.61
923.7440	73639	30.46
924.7433	40429	16.72
925.7191	48063	19.88
926.7448	26030	10.77
927.7335	41483	17.16
928.7355	24240	10.03
929.7349	32393	13.40
930.7408	18630	7.71
931.7208	19758	8.17
933.7400	14231	5.89
935.7460	12228	5.06
941.6709	23538	9.74
942.6694	16159	6.68
943.7217	43689	18.07
944.7343	26215	10.84
945.7314	35697	14.77
946.7351	19795	8.19
947.7339	20913	8.65
949.7488	15618	6.46
951.7535	15986	6.61
953.7480	16508	6.83
955.7555	14112	5.84
969.7018	17861	7.39
971.7344	15129	6.26
984.0368	12526	5.18
991.2799	14311	5.92
1015.2214	13889	5.75
1018.1857	12168	5.03
1024.1458	12659	5.24
1030.3134	14841	6.14
1035.7729	14607	6.04
1064.8369	14872	6.15
1078.1912	13117	5.43
1080.7542	15517	6.42
1083.8308	12765	5.28
1112.1346	12943	5.35
1115.6445	15623	6.46
1121.2742	12223	5.06
1144.2189	12111	5.01
1158.6334	13165	5.45
1167.5098	12281	5.08
1175.0662	12835	5.31
1183.8740	12519	5.18
1190.2441	13400	5.54
1192.5354	12158	5.03
1198.8905	12248	5.07
1312.2711	12521	5.18
1405.1487	12253	5.07
1409.1775	13585	5.62
1415.1006	13255	5.48
1417.7645	12346	5.11

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	12933	1.1336
10.3982	12879	1.1289
10.4982	12798	1.1218
10.5982	12744	1.1170
10.6982	12771	1.1194
10.7982	12771	1.1194
10.8982	12771	1.1194
10.9982	12744	1.1170
11.0982	12690	1.1123
11.1982	12609	1.1052
11.2982	12555	1.1005
11.3982	12528	1.0981
11.4982	12528	1.0981
11.5982	12555	1.1005
11.6982	12609	1.1052
11.7982	12636	1.1076
11.8982	12636	1.1076
11.9982	12609	1.1052
12.0982	12582	1.1028
12.1982	12582	1.1028
12.2982	12582	1.1028
12.3982	12582	1.1028
12.4982	12636	1.1076
12.5982	12663	1.1099
12.6982	12663	1.1099
12.7982	12663	1.1099
12.8982	12636	1.1076
12.9982	12663	1.1099
13.0982	12717	1.1147
13.1982	12852	1.1265
13.2982	12933	1.1336
13.3982	12960	1.1360
13.4982	12933	1.1336
13.5982	12852	1.1265
13.6982	12717	1.1147
13.7982	12636	1.1076
13.8982	12636	1.1076
13.9982	12717	1.1147
14.0982	12798	1.1218
14.1982	12798	1.1218
14.2982	12798	1.1218
14.3982	12771	1.1194
14.4982	12798	1.1218
14.5982	12906	1.1312
14.6982	13068	1.1454
14.7982	13176	1.1549
14.8982	13203	1.1573
14.9982	13149	1.1525
15.0982	13014	1.1407
15.1982	12879	1.1289
15.2982	12771	1.1194
15.3982	12744	1.1170
15.4982	12744	1.1170
15.5982	12717	1.1147
15.6982	12717	1.1147
15.7982	12717	1.1147
15.8982	12690	1.1123
15.9982	12663	1.1099
16.0982	12663	1.1099
16.1982	12717	1.1147
16.2982	12825	1.1241
16.3982	12933	1.1336
16.4982	13014	1.1407
16.5982	13014	1.1407
16.6982	12987	1.1383
16.7982	12906	1.1312
16.8982	12852	1.1265
16.9982	12825	1.1241
17.0982	12825	1.1241
17.1982	12852	1.1265
17.2982	12852	1.1265
17.3982	12825	1.1241
17.4982	12825	1.1241
17.5982	12798	1.1218
17.6982	12798	1.1218
17.7982	12798	1.1218
17.8982	12798	1.1218
17.9982	12798	1.1218
18.0982	12798	1.1218
18.1982	12825	1.1241
18.2982	12825	1.1241
18.3982	12852	1.1265
18.4982	12852	1.1265
