[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_058_N_32291_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:50:47

[MS Spectrum]
# of Peaks	507
Raw Spectrum	[3.700->4.508],(scan:[445->542])
Background	No Background Spectrum
Base Peak	m/z 782.53 (Inten : 367,226)
m/z	Absolute Intensity	Relative Intensity
87.1990	20597	5.61
104.2381	225951	61.53
112.1649	20215	5.50
132.1560	22319	6.08
154.0948	19304	5.26
157.0967	18695	5.09
158.2058	87248	23.76
159.1477	21343	5.81
162.1496	28681	7.81
170.0536	29273	7.97
175.1017	27843	7.58
203.1366	40692	11.08
204.1068	114708	31.24
215.2252	113452	30.89
219.0269	28619	7.79
221.0653	29272	7.97
227.2249	352586	96.01
228.2575	54636	14.88
230.2546	46203	12.58
239.1670	23928	6.52
271.1805	154390	42.04
272.2293	23003	6.26
280.0876	20112	5.48
286.1982	20735	5.65
287.1167	81605	22.22
288.2568	24973	6.80
296.1006	19585	5.33
297.2075	37013	10.08
299.1839	22390	6.10
304.2715	60488	16.47
305.3660	21903	5.96
307.0052	34442	9.38
309.1242	23315	6.35
311.2155	44115	12.01
312.2568	23200	6.32
313.1717	24954	6.80
314.2897	23676	6.45
325.2689	37375	10.18
326.2750	24656	6.71
327.2117	35556	9.68
328.3376	31486	8.57
332.3338	19348	5.27
341.2477	79331	21.60
342.3378	28405	7.74
354.1522	23750	6.47
355.2432	121643	33.12
356.2872	33795	9.20
357.1850	52547	14.31
360.3277	30390	8.28
369.2841	104159	28.36
370.2479	33696	9.18
371.2081	89457	24.36
372.3071	45259	12.32
373.2966	18396	5.01
376.3214	25349	6.90
385.2651	145396	39.59
386.3188	37423	10.19
399.2969	140199	38.18
400.3262	124393	33.87
401.2781	64671	17.61
402.2980	19075	5.19
408.2127	18586	5.06
409.1530	32657	8.89
413.3027	124218	33.83
414.3047	44801	12.20
415.2345	110620	30.12
416.2935	30272	8.24
417.2967	19666	5.36
425.1242	63727	17.35
426.3064	64564	17.58
427.2781	24946	6.79
428.3253	47289	12.88
429.2812	144836	39.44
430.3792	38347	10.44
431.3350	23326	6.35
443.3007	113152	30.81
444.3275	39579	10.78
445.2654	44894	12.23
457.3295	100856	27.46
458.3087	25847	7.04
459.2872	110003	29.96
460.3355	35925	9.78
461.3227	20039	5.46
473.3213	97649	26.59
474.3909	30965	8.43
475.3223	21465	5.85
476.3151	21024	5.73
487.3832	87594	23.85
488.3838	31915	8.69
489.3083	54489	14.84
490.4017	19054	5.19
496.3561	44910	12.23
501.3787	63888	17.40
502.3147	30972	8.43
503.3135	105920	28.84
504.3468	48416	13.18
505.3394	25680	6.99
515.4833	21801	5.94
517.3756	85038	23.16
518.3042	164592	44.82
519.3812	49419	13.46
520.3716	26074	7.10
529.4433	33235	9.05
531.4050	58478	15.92
532.3945	24185	6.59
533.3081	44022	11.99
534.2878	106616	29.03
535.3832	33248	9.05
536.4019	23790	6.48
542.3189	20680	5.63
544.2957	37439	10.20
545.3572	47207	12.86
546.3311	69774	19.00
547.3317	109055	29.70
548.3976	34465	9.39
549.3917	23057	6.28
560.2621	26706	7.27
561.4111	85014	23.15
562.3900	64907	17.67
563.4261	28382	7.73
571.5171	19609	5.34
575.4521	75776	20.63
576.4117	31687	8.63
577.3798	81567	22.21
578.4126	27739	7.55
579.3612	19298	5.26
589.4494	44934	12.24
591.4001	114107	31.07
592.4342	45511	12.39
593.4395	25971	7.07
605.4532	88181	24.01
606.4927	32017	8.72
607.4492	23040	6.27
611.3334	18958	5.16
617.4024	19365	5.27
619.4764	66791	18.19
620.4496	22838	6.22
621.3925	74191	20.20
622.4485	29193	7.95
623.4702	20422	5.56
633.4933	40170	10.94
635.4179	104405	28.43
636.4373	44719	12.18
637.4542	25733	7.01
649.4664	65670	17.88
650.4656	33142	9.02
651.4690	24919	6.79
655.4055	18885	5.14
661.4844	19682	5.36
663.4922	49771	13.55
665.4036	53398	14.54
666.4729	26461	7.21
671.5486	32645	8.89
672.5696	26151	7.12
673.5644	18424	5.02
677.4719	32196	8.77
679.4595	78232	21.30
680.5033	32328	8.80
681.4938	25580	6.97
687.4872	23054	6.28
688.4933	19471	5.30
689.5280	20388	5.55
693.4596	55265	15.05
694.4721	28719	7.82
695.5023	25449	6.93
697.5038	21329	5.81
699.4811	18624	5.07
703.4832	34206	9.31
705.4778	25815	7.03
707.5046	37699	10.27
709.4248	43228	11.77
710.4720	21735	5.92
711.5352	21881	5.96
721.5088	39159	10.66
723.4932	84077	22.90
724.4816	35305	9.61
725.5430	83451	22.72
726.5516	40524	11.04
727.5598	28002	7.63
728.5671	18486	5.03
734.5578	18500	5.04
737.5165	55277	15.05
738.5285	30852	8.40
739.5207	33639	9.16
740.5181	22333	6.08
741.5121	57709	15.71
742.5792	35493	9.67
743.5639	30261	8.24
744.5777	24344	6.63
745.5381	18428	5.02
746.4991	20990	5.72
747.4778	18742	5.10
749.4573	23429	6.38
751.5015	32103	8.74
753.4731	40347	10.99
754.5243	43993	11.98
755.5046	21487	5.85
756.5211	56990	15.52
757.5054	26863	7.32
758.5590	69265	18.86
759.5440	39496	10.76
760.5589	68540	18.66
761.5615	40411	11.00
762.5742	24444	6.66
764.4780	23984	6.53
765.5137	28835	7.85
766.4948	35226	9.59
767.5043	71224	19.40
768.5773	52433	14.28
769.5320	33971	9.25
770.5368	38012	10.35
771.5016	21811	5.94
772.5112	46713	12.72
773.5267	23334	6.35
774.5419	25084	6.83
778.5108	30098	8.20
780.5584	330075	89.88
781.5389	191341	52.10
782.5302	367226	100.00
783.5472	174963	47.64
784.5800	92244	25.12
785.5800	34429	9.38
786.5549	49245	13.41
787.5417	31500	8.58
788.5457	38207	10.40
789.5463	24984	6.80
790.5424	32760	8.92
791.5299	18636	5.07
792.5376	24483	6.67
793.5214	28952	7.88
794.5584	46342	12.62
795.5982	20079	5.47
796.5486	222831	60.68
797.5374	122201	33.28
798.5301	227912	62.06
799.5461	109551	29.83
800.5479	51760	14.09
801.5643	26413	7.19
802.5212	41047	11.18
804.5482	122974	33.49
805.5026	59194	16.12
806.5474	155085	42.23
807.5477	77867	21.20
808.5604	166782	45.42
809.5695	93111	25.36
810.5844	74160	20.19
811.5563	66402	18.08
812.5542	41485	11.30
813.5786	27405	7.46
814.5886	24988	6.80
815.5472	20436	5.56
816.5471	26393	7.19
817.5698	19035	5.18
818.5399	30756	8.38
820.5426	66132	18.01
821.5092	36600	9.97
822.5175	89039	24.25
823.5522	47589	12.96
824.5578	97110	26.44
825.5828	81190	22.11
826.5723	58602	15.96
827.5872	42581	11.60
828.5391	65371	17.80
829.5483	36704	9.99
830.5387	50845	13.85
831.5371	28398	7.73
832.5507	51782	14.10
833.5817	32547	8.86
834.5728	30660	8.35
835.5938	24343	6.63
836.5825	19022	5.18
837.5997	21090	5.74
839.5942	28691	7.81
841.6141	47328	12.89
842.6209	26529	7.22
843.6413	38641	10.52
844.5795	47812	13.02
845.5975	34031	9.27
846.5732	36318	9.89
847.5501	22769	6.20
848.5510	35726	9.73
849.5972	27053	7.37
850.6031	25289	6.89
851.6687	44936	12.24
852.6150	28017	7.63
853.7128	85433	23.26
854.7021	49572	13.50
855.6505	85845	23.38
856.6578	53989	14.70
857.7068	27758	7.56
858.7018	21094	5.74
865.6073	23971	6.53
867.6630	49303	13.43
868.6251	30954	8.43
869.6723	109401	29.79
870.6710	71564	19.49
871.7242	82909	22.58
872.7349	46563	12.68
873.7542	27959	7.61
875.6569	21656	5.90
877.7493	50806	13.84
878.7113	31467	8.57
879.7548	121198	33.00
880.7500	71928	19.59
881.7449	139344	37.95
882.7654	80393	21.89
883.7438	51252	13.96
884.7480	24331	6.63
885.6591	26876	7.32
891.6735	23084	6.29
893.6963	63958	17.42
894.6266	40646	11.07
895.7032	164005	44.66
896.6599	100732	27.43
897.7036	202184	55.06
898.7275	106441	28.99
899.6960	87660	23.87
900.7084	38924	10.60
901.7081	31664	8.62
903.7162	32996	8.99
905.7358	54928	14.96
906.7476	33798	9.20
907.7592	68429	18.63
908.7753	43572	11.87
909.7653	37034	10.08
910.7273	21821	5.94
911.7750	22442	6.11
913.5955	29077	7.92
915.6340	19884	5.41
917.7010	26494	7.21
919.7196	43512	11.85
920.7134	26190	7.13
921.7448	79938	21.77
922.7538	48440	13.19
923.7503	98915	26.94
924.7396	54725	14.90
925.7261	58213	15.85
926.7310	29341	7.99
927.7109	35746	9.73
929.6358	26779	7.29
941.6313	25686	6.99
943.6204	44746	12.18
944.6873	26495	7.21
945.7380	28921	7.88
947.7426	20190	5.50
953.7980	19438	5.29
955.3395	29265	7.97
957.6012	20972	5.71
960.0638	26542	7.23
967.9080	20469	5.57
969.5145	26756	7.29
971.6534	22557	6.14
973.6845	20272	5.52
975.2190	26472	7.21
977.1181	22581	6.15
983.4739	21093	5.74
986.0608	21164	5.76
987.6061	23068	6.28
989.5752	19784	5.39
1001.6212	19593	5.34
1010.0240	21653	5.90
1018.9433	32329	8.80
1022.3520	23468	6.39
1027.8515	31293	8.52
1031.6461	20713	5.64
1035.7994	19004	5.18
1037.4987	22284	6.07
1039.2363	18594	5.06
1040.7095	19778	5.39
1044.2130	26043	7.09
1045.6930	21363	5.82
1047.2076	31377	8.54
1049.0714	21935	5.97
1054.5193	20786	5.66
1056.1046	20604	5.61
1057.6057	20714	5.64
1058.9946	20004	5.45
1065.1802	33616	9.15
1067.2218	21973	5.98
1068.9175	22082	6.01
1073.2957	30075	8.19
1076.1281	28602	7.79
1078.6965	18725	5.10
1080.3512	31843	8.67
1084.5023	22030	6.00
1087.0055	24825	6.76
1089.8853	19486	5.31
1092.5846	40293	10.97
1095.0225	35466	9.66
1097.2574	40084	10.92
1099.2565	28823	7.85
1101.9868	51533	14.03
1103.8424	19996	5.45
1105.4426	38390	10.45
1107.3103	30239	8.23
1108.7813	27239	7.42
1111.8800	37434	10.19
1113.5472	24378	6.64
1114.8535	25074	6.83
1117.6619	43834	11.94
1119.6777	26094	7.11
1121.7145	38806	10.57
1123.9648	35802	9.75
1126.2758	35205	9.59
1128.8582	49880	13.58
1132.1187	25724	7.00
1133.8540	31703	8.63
1135.4020	20060	5.46
1138.2290	22463	6.12
1142.0680	19783	5.39
1143.7454	26681	7.27
1145.4692	23584	6.42
1150.5088	35234	9.59
1153.9082	28244	7.69
1155.7430	25366	6.91
1157.2333	19203	5.23
1158.5255	18669	5.08
1159.9009	20294	5.53
1163.2212	26429	7.20
1164.8412	24837	6.76
1168.2690	34250	9.33
1170.0476	24303	6.62
1171.5983	27291	7.43
1173.0737	21712	5.91
1175.6091	25003	6.81
1182.3979	32195	8.77
1187.3602	45058	12.27
1189.9802	34652	9.44
1193.3801	29652	8.07
1194.9810	26070	7.10
1196.6167	26479	7.21
1198.7870	20236	5.51
1200.5358	30972	8.43
1202.6322	29431	8.01
1204.7667	27493	7.49
1206.5460	20538	5.59
1208.9565	24012	6.54
1211.8954	21317	5.80
1213.6000	24038	6.55
1217.0811	19049	5.19
1218.6840	20902	5.69
1220.4086	22225	6.05
1224.2021	31296	8.52
1228.9408	33079	9.01
1236.3556	22393	6.10
1238.3175	25562	6.96
1240.2899	18830	5.13
1242.1836	23342	6.36
1247.3455	18823	5.13
1249.3959	28307	7.71
1263.6794	27659	7.53
1270.5103	26302	7.16
1277.3959	22490	6.12
1280.3239	23642	6.44
1282.3224	28625	7.79
1290.4312	19166	5.22
1292.4178	30004	8.17
1298.4188	26264	7.15
1310.2754	18475	5.03
1312.1154	20224	5.51
1316.7716	20774	5.66
1323.2979	23151	6.30
1326.4529	27095	7.38
1328.4486	19783	5.39
1334.2600	20441	5.57
1338.1238	18437	5.02
1349.7305	19005	5.18
1351.6180	24846	6.77
1354.3105	19735	5.37
1356.2072	23034	6.27
1358.0513	22569	6.15
1362.7767	21222	5.78
1365.1947	26043	7.09
1367.8734	18541	5.05
1370.8943	29620	8.07
1377.4510	24479	6.67
1382.1027	20151	5.49
1385.7734	22386	6.10
1387.9515	28305	7.71
1391.0929	23904	6.51
1393.5778	25116	6.84
1403.4967	24230	6.60
1405.1010	19120	5.21
1406.6754	24223	6.60
1411.4733	22860	6.23
1413.2712	26174	7.13
1415.0421	22041	6.00
1419.7975	31667	8.62
1421.7394	19475	5.30
1423.4230	19951	5.43
1427.4915	20077	5.47
1429.6071	28528	7.77
1431.9396	25527	6.95
1433.9944	23893	6.51
1443.0593	24385	6.64
1451.4520	22585	6.15
1456.3701	19291	5.25
1461.3450	22394	6.10
1476.3636	24864	6.77
1482.4249	20125	5.48
1486.9003	21126	5.75
1540.3909	21912	5.97
1543.7440	20690	5.63
1548.8329	19259	5.24
1553.8054	20106	5.48
1561.9056	19947	5.43
1739.9617	21871	5.96

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	10248	0.8545
10.3982	10248	0.8545
10.4982	10374	0.8650
10.5982	10605	0.8842
10.6982	10794	0.9000
10.7982	10899	0.9087
10.8982	10878	0.9070
10.9982	10731	0.8947
11.0982	10521	0.8772
