[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130618_MEC_M_059_N_32281_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:30:39

[MS Spectrum]
# of Peaks	371
Raw Spectrum	[4.750->7.425],(scan:[571->892])
Background	No Background Spectrum
Base Peak	m/z 782.54 (Inten : 233,618)
m/z	Absolute Intensity	Relative Intensity
104.2327	43451	18.60
175.0992	13156	5.63
203.2224	25565	10.94
204.1118	14850	6.36
215.2033	12067	5.17
271.1709	28681	12.28
287.1475	19054	8.16
304.2692	48864	20.92
305.2820	12603	5.39
341.2462	19804	8.48
355.2339	23128	9.90
357.1942	14523	6.22
369.2768	19435	8.32
371.2282	23930	10.24
385.2640	27287	11.68
399.2985	30992	13.27
400.2953	22770	9.75
401.2411	16873	7.22
409.1536	12561	5.38
413.3032	20406	8.73
415.2443	25187	10.78
425.1292	27873	11.93
426.2784	14285	6.11
429.2834	31771	13.60
441.3304	12680	5.43
443.3056	26204	11.22
445.2404	12363	5.29
457.3004	26465	11.33
459.2889	26613	11.39
473.3237	19719	8.44
487.3719	21814	9.34
489.3201	15397	6.59
496.3538	15842	6.78
501.3754	14495	6.20
503.3369	33120	14.18
504.3405	15580	6.67
517.3769	24907	10.66
518.3161	49349	21.12
519.3904	16098	6.89
520.4388	15307	6.55
523.3302	12124	5.19
527.2542	12179	5.21
529.4064	14211	6.08
531.3752	27523	11.78
532.4009	12540	5.37
533.3405	24088	10.31
534.3267	43081	18.44
535.3998	16163	6.92
538.3950	13385	5.73
540.8075	17917	7.67
542.3242	15474	6.62
544.2823	21691	9.28
545.3624	24353	10.42
546.3231	18090	7.74
547.3688	53988	23.11
548.3929	19409	8.31
549.3916	13384	5.73
550.4323	12613	5.40
552.8469	22313	9.55
555.4799	26752	11.45
558.2219	19037	8.15
560.3764	33502	14.34
561.4346	44691	19.13
562.4497	28233	12.09
563.4149	13080	5.60
564.8730	25792	11.04
567.6769	28944	12.39
570.3292	22314	9.55
572.4265	11783	5.04
573.5143	16123	6.90
575.4001	32769	14.03
576.4645	25978	11.12
577.4443	36625	15.68
578.4938	14134	6.05
579.7313	29585	12.66
582.3517	37506	16.05
584.9332	31453	13.46
587.8293	31405	13.44
589.4169	23764	10.17
591.4052	59455	25.45
592.4377	23915	10.24
593.4563	16356	7.00
594.4241	18334	7.85
596.9583	37208	15.93
599.6927	41231	17.65
603.4363	21274	9.11
605.5024	51499	22.04
606.5330	23082	9.88
608.8875	42980	18.40
611.5431	53563	22.93
614.3955	56680	24.26
617.7102	41827	17.90
619.3988	40693	17.42
621.3519	40082	17.16
623.5685	54152	23.18
626.4338	65240	27.93
629.4117	59627	25.52
631.8526	52518	22.48
633.5116	31288	13.39
635.3729	80733	34.56
636.5017	25101	10.74
638.5034	35624	15.25
641.1018	59938	25.66
643.8959	64094	27.44
647.0547	52200	22.34
649.4314	61950	26.52
650.5288	27603	11.82
652.5939	76322	32.67
655.8842	65013	27.83
658.8343	65929	28.22
661.7219	49191	21.06
663.3781	41783	17.89
665.0609	59504	25.47
667.3099	72831	31.18
670.5103	73308	31.38
673.7994	53888	23.07
675.4653	42182	18.06
676.5154	18397	7.87
679.3695	72589	31.07
680.5126	22194	9.50
682.5388	35667	15.27
685.1584	59470	25.46
688.0821	49158	21.04
689.4824	22791	9.76
691.1956	40862	17.49
693.4174	52070	22.29
694.5480	22694	9.71
696.4778	63884	27.35
699.9920	61622	26.38
703.0150	47432	20.30
704.5428	15492	6.63
705.7982	36328	15.55
707.3917	42469	18.18
709.1785	43734	18.72
711.3638	59988	25.68
714.5711	56679	24.26
718.2516	51373	21.99
722.3536	27322	11.70
723.4376	54560	23.35
724.5341	22803	9.76
725.5583	33500	14.34
726.5914	26415	11.31
727.5933	14166	6.06
729.2633	56134	24.03
732.7943	59495	25.47
735.3569	39187	16.77
737.3685	45023	19.27
738.5385	20940	8.96
740.4415	43011	18.41
741.5253	20981	8.98
742.5746	15209	6.51
744.1415	65840	28.18
745.5759	12939	5.54
747.4935	20492	8.77
748.4581	16514	7.07
751.1562	47846	20.48
752.4926	13954	5.97
753.4219	21051	9.01
754.4982	13075	5.60
755.4198	35883	15.36
756.5292	33594	14.38
758.5999	65187	27.90
759.5779	30566	13.08
760.5985	67554	28.92
761.6959	43252	18.51
762.6384	31040	13.29
764.5267	16905	7.24
766.1941	65130	27.88
767.4871	41298	17.68
768.5522	38930	16.66
769.5556	26398	11.30
770.5262	35434	15.17
772.5442	41990	17.97
773.5472	30488	13.05
774.5429	17512	7.50
777.0859	42362	18.13
778.5246	21228	9.09
780.5612	163975	70.19
781.5100	92372	39.54
782.5449	233618	100.00
783.5656	120819	51.72
784.5613	86249	36.92
785.5699	27778	11.89
786.5704	45625	19.53
787.5764	33278	14.24
788.5436	48743	20.86
789.5790	17829	7.63
790.5461	22426	9.60
792.5334	24521	10.50
794.5640	40874	17.50
795.5982	16992	7.27
796.5438	152337	65.21
797.5114	77254	33.07
798.5485	210740	90.21
799.5411	106670	45.66
800.5495	49132	21.03
801.5968	18305	7.84
802.5518	31939	13.67
803.4959	19061	8.16
804.5223	52935	22.66
805.4982	14934	6.39
806.5449	105627	45.21
807.5478	49420	21.15
808.5716	119213	51.03
809.5921	68537	29.34
810.5750	71290	30.52
811.5563	46672	19.98
812.5688	31126	13.32
813.5958	22131	9.47
814.5671	21035	9.00
815.6036	16234	6.95
817.5453	24688	10.57
818.5460	20838	8.92
820.5654	44932	19.23
821.5048	28863	12.35
822.5474	82864	35.47
823.5573	43401	18.58
824.5697	105608	45.21
