[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_M_080_N_32201_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:41:50

[MS Spectrum]
# of Peaks	367
Raw Spectrum	[0.958->2.333],(scan:[116->281])
Background	No Background Spectrum
Base Peak	m/z 104.22 (Inten : 321,285)
m/z	Absolute Intensity	Relative Intensity
69.1989	26377	8.21
87.1644	37359	11.63
104.2230	321285	100.00
105.2312	21156	6.58
115.1317	25605	7.97
127.3655	23532	7.32
132.1314	17455	5.43
136.2195	20297	6.32
146.2365	29462	9.17
147.1684	24292	7.56
151.0549	16633	5.18
154.0795	19747	6.15
156.0483	16097	5.01
157.0969	31775	9.89
158.1229	16564	5.16
159.0043	27156	8.45
162.1284	27935	8.69
169.0782	20193	6.29
170.0222	33055	10.29
173.0665	17374	5.41
175.0885	100247	31.20
177.0304	21349	6.64
183.0966	18378	5.72
185.0983	28078	8.74
188.1418	17543	5.46
197.1042	16491	5.13
203.1820	123376	38.40
204.1527	38444	11.97
213.0926	19002	5.91
219.0137	35053	10.91
221.0696	30144	9.38
239.1469	25076	7.80
245.1135	20292	6.32
247.1707	16942	5.27
249.0896	16296	5.07
271.1645	89938	27.99
287.1344	42127	13.11
304.2632	18833	5.86
306.9994	25038	7.79
309.1385	17876	5.56
311.1556	25524	7.94
325.2227	30342	9.44
327.1976	21133	6.58
341.2184	22876	7.12
355.2158	32533	10.13
357.1931	16255	5.06
369.2563	34508	10.74
370.2697	18674	5.81
371.2152	24617	7.66
385.2202	34148	10.63
399.2360	38649	12.03
401.2115	22074	6.87
409.1143	28953	9.01
413.2769	51201	15.94
414.2810	17320	5.39
415.2299	31619	9.84
425.1436	59163	18.41
426.2066	17728	5.52
427.1984	16199	5.04
429.2603	42873	13.34
441.2236	20086	6.25
443.2886	25274	7.87
445.2715	17218	5.36
457.3013	24325	7.57
459.2765	26942	8.39
473.3119	26063	8.11
483.2675	19492	6.07
487.3494	17520	5.45
493.3424	20513	6.38
497.3396	19825	6.17
501.2917	23719	7.38
503.3190	25537	7.95
505.3833	18665	5.81
509.2562	21524	6.70
511.3117	20513	6.38
513.3582	24170	7.52
515.7982	29193	9.09
517.2904	26509	8.25
518.3760	30788	9.58
520.8567	34073	10.61
523.2694	49006	15.25
525.7563	39057	12.16
527.3144	28369	8.83
528.3344	17762	5.53
529.5738	32056	9.98
531.0674	35960	11.19
532.9622	47499	14.78
535.7822	56204	17.49
537.9279	53843	16.76
540.9031	59374	18.48
543.3343	86408	26.89
545.2919	39562	12.31
547.7195	75083	23.37
549.9547	73092	22.75
552.6155	87357	27.19
555.5192	70408	21.91
557.3015	44697	13.91
559.8994	69873	21.75
561.4171	56192	17.49
562.7874	60942	18.97
564.8535	71773	22.34
567.4734	79823	24.84
570.0042	93416	29.08
573.7506	55900	17.40
575.1347	48496	15.09
576.4982	17749	5.52
576.9247	92836	28.90
579.4738	107316	33.40
582.0439	90786	28.26
585.0201	94770	29.50
587.5742	102765	31.99
589.5810	55027	17.13
591.6033	109828	34.18
594.0147	92683	28.85
594.5982	16885	5.26
596.7368	123837	38.54
599.6028	110261	34.32
602.8632	92544	28.80
603.3982	16487	5.13
605.9475	113217	35.24
608.6646	113286	35.26
611.5873	108146	33.66
613.3982	17483	5.44
614.3239	141127	43.93
617.6110	86925	27.06
619.5982	17122	5.33
620.6541	103085	32.09
623.4630	108102	33.65
626.2095	118784	36.97
629.3086	119278	37.13
629.9982	18180	5.66
631.8158	112859	35.13
635.4852	110693	34.45
637.2982	18327	5.70
637.9161	107568	33.48
640.7911	140537	43.74
643.7385	112394	34.98
646.9508	89862	27.97
649.9339	101715	31.66
652.5809	122674	38.18
655.7411	110828	34.50
658.8005	113178	35.23
659.4982	16848	5.24
661.7022	74543	23.20
663.3140	67544	21.02
664.9351	67587	21.04
667.2665	117796	36.66
670.4863	137517	42.80
673.8853	85594	26.64
676.2625	59113	18.40
679.3792	76916	23.94
681.7419	106245	33.07
684.9559	141877	44.16
687.8884	89482	27.85
689.4488	45272	14.09
691.0254	64134	19.96
693.8908	78330	24.38
696.5015	115851	36.06
699.7021	112600	35.05
702.9852	91878	28.60
705.6701	59310	18.46
707.3525	83539	26.00
709.0266	34423	10.71
711.1324	102036	31.76
714.3655	124846	38.86
718.2328	92396	28.76
