[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130627_MEC_F_079_N_32225_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:18:31

[MS Spectrum]
# of Peaks	199
Raw Spectrum	[9.467->10.675],(scan:[1137->1282])
Background	No Background Spectrum
Base Peak	m/z 441.19 (Inten : 166,848)
m/z	Absolute Intensity	Relative Intensity
104.2321	69054	41.39
146.2400	13897	8.33
175.1053	13457	8.07
203.2160	53014	31.77
204.2086	11969	7.17
215.2160	8811	5.28
230.2436	9386	5.63
271.1765	21936	13.15
286.2758	8620	5.17
287.1224	20002	11.99
325.2420	8716	5.22
327.2112	10511	6.30
328.3554	12087	7.24
341.2509	18077	10.83
355.2369	22370	13.41
357.1658	15422	9.24
369.3029	30236	18.12
370.3124	13801	8.27
371.2006	27616	16.55
372.3069	10346	6.20
383.1933	38470	23.06
384.3008	18560	11.12
385.2299	35416	21.23
386.3256	8392	5.03
399.1892	64573	38.70
400.2790	24482	14.67
401.2086	19257	11.54
413.2936	25204	15.11
414.3022	9304	5.58
415.2498	22363	13.40
425.1983	125421	75.17
426.2570	33299	19.96
427.2622	10472	6.28
429.2831	32191	19.29
430.3441	10689	6.41
441.1851	166848	100.00
442.2419	31686	18.99
443.1914	30305	18.16
445.2365	9214	5.52
457.2901	16782	10.06
459.2975	12895	7.73
473.3256	15140	9.07
501.3736	8807	5.28
503.3079	9465	5.67
517.3649	12961	7.77
518.3234	18889	11.32
519.3524	8395	5.03
520.4502	10221	6.13
529.4142	22923	13.74
530.4211	9164	5.49
534.3277	19855	11.90
536.4419	10126	6.07
545.3731	9368	5.61
547.3413	9447	5.66
560.4319	12442	7.46
561.4216	16896	10.13
562.4181	9634	5.77
576.5017	11546	6.92
577.4505	10556	6.33
589.4553	8467	5.07
591.4063	9173	5.50
605.4671	11667	6.99
633.4930	11824	7.09
635.4183	8479	5.08
649.4562	11638	6.98
659.3604	13019	7.80
661.4616	9026	5.41
663.4962	9809	5.88
671.5842	15761	9.45
672.5436	10499	6.29
673.5334	11850	7.10
675.2258	22434	13.45
677.4074	12820	7.68
679.4724	8516	5.10
687.5790	16738	10.03
688.5471	10533	6.31
689.5432	13874	8.32
693.4622	10256	6.15
701.4512	8542	5.12
703.5616	15601	9.35
705.5212	9305	5.58
721.4545	8486	5.09
723.4497	9240	5.54
725.5661	24372	14.61
726.5701	12363	7.41
727.5565	9319	5.59
737.4691	8764	5.25
739.5313	8948	5.36
741.5659	26274	15.75
742.5386	14928	8.95
743.5220	16661	9.99
744.5447	10277	6.16
754.5020	13554	8.12
