[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130612_MEC_M_073_N_32211_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:00:54

[MS Spectrum]
# of Peaks	128
Raw Spectrum	[1.175->2.442],(scan:[142->294])
Background	No Background Spectrum
Base Peak	m/z 104.22 (Inten : 496,258)
m/z	Absolute Intensity	Relative Intensity
87.1776	27741	5.59
104.2230	496258	100.00
105.2308	30892	6.22
132.1477	65548	13.21
146.2586	42953	8.66
147.2088	24991	5.04
154.0921	25252	5.09
157.0955	41907	8.44
159.0426	31487	6.34
162.1336	35306	7.11
170.0439	49537	9.98
172.1097	25428	5.12
173.0681	31293	6.31
175.0966	141729	28.56
185.0922	27258	5.49
203.2373	118260	23.83
204.1458	49914	10.06
218.9891	35302	7.11
221.0925	30817	6.21
271.1706	100057	20.16
287.1414	58346	11.76
306.9998	49426	9.96
311.1653	33019	6.65
325.2317	33445	6.74
355.2216	30379	6.12
369.2659	49130	9.90
371.1953	31601	6.37
383.1942	27518	5.55
385.2527	57107	11.51
399.2176	52548	10.59
413.2956	58416	11.77
415.2264	36402	7.34
425.1811	84277	16.98
429.2796	56649	11.42
441.2181	38209	7.70
457.3430	25697	5.18
499.3763	26696	5.38
513.4143	30228	6.09
527.4436	40889	8.24
529.4023	39404	7.94
541.4160	31026	6.25
543.3526	33445	6.74
557.3978	31921	6.43
599.4808	26545	5.35
601.4701	34105	6.87
613.4689	25835	5.21
615.4644	32734	6.60
627.4957	28576	5.76
629.4797	33553	6.76
631.4741	25977	5.23
641.5290	28131	5.67
643.5134	36491	7.35
645.4994	45692	9.21
657.5254	33629	6.78
659.4622	44597	8.99
671.5449	35233	7.10
673.4953	37245	7.51
675.3395	39393	7.94
685.5488	30342	6.11
687.5085	35012	7.06
689.4904	31336	6.31
701.5184	39573	7.97
703.5199	39550	7.97
715.5541	38337	7.73
717.5353	26970	5.43
729.5843	34592	6.97
731.5423	26458	5.33
741.5297	26216	5.28
743.5679	35171	7.09
745.5424	41620	8.39
747.5187	26243	5.29
756.5311	28904	5.82
758.5751	59962	12.08
759.5577	60898	12.27
760.5562	84119	16.95
761.5887	49733	10.02
770.5549	26121	5.26
772.5243	30426	6.13
773.5613	44522	8.97
774.5842	32327	6.51
775.5612	26445	5.33
780.5612	142215	28.66
781.5125	70937	14.29
782.5484	192137	38.72
783.5620	95523	19.25
784.5989	74616	15.04
785.5860	30005	6.05
786.5668	54972	11.08
787.5896	44403	8.95
788.5886	35136	7.08
789.5995	37753	7.61
790.6038	28851	5.81
794.5317	31220	6.29
796.5560	130178	26.23
797.5066	60183	12.13
798.5460	166778	33.61
799.5541	81724	16.47
800.5513	40425	8.15
802.5145	32862	6.62
803.5469	51447	10.37
804.5410	67380	13.58
805.5142	35464	7.15
